Store_ID,City,Item1,Item2,Item3,Item4,Monthly_Sales,Currency
007606992-3,Capital City,2,2,0,2,16926.21,JOD
699121797-2,amman,0,2,2,2,18447.49,JOD
284657620-3,A'zarqa,0,0,1,0,48865.93,JOD
353426959-4,zaqra,0,0,2,1,44615.41,JOD
855405860-7,Amman,0,1,0,0,47162.95,USD
867444061-4,Zarqa,2,1,2,1,47864.33,JOD
410803256-X,Amman,0,2,0,2,41658.76,USD
025401184-5,amman,1,1,0,0,31661.87,JOD
883179128-1,Amman,1,2,2,0,28382.84,USD
582128258-6,Amman,2,2,2,1,41829.74,USD
380151272-X,amman,0,1,0,2,39609.64,USD
438452685-7,A'zarqa,1,1,1,1,45304.19,JOD
219783821-0,Amman,2,0,2,2,20469.76,USD
178916007-3,Capital City,1,2,1,0,25416.30,USD
099416077-1,,0,1,0,0,52446.27,USD
151551596-6,Amman,2,1,0,1,21877.25,JOD
928434740-8,Capital City,1,1,2,0,17169.20,JOD
590766741-9,Amman,2,2,2,0,32365.47,USD
119731114-9,zaqra,0,2,2,0,39359.44,USD
854546862-8,zaqra,0,0,1,1,44999.74,USD
693241878-9,,1,1,1,1,26826.27,JOD
823676094-4,amman,2,1,0,0,47104.85,USD
579011421-0,Capital City,0,2,2,2,36183.37,JOD
189299309-0,amman,0,0,2,2,14726.53,JOD
309220814-5,Amman,2,2,2,0,18055.83,JOD
873929815-9,amman,2,2,1,0,34877.62,USD
352749550-9,Zarqa,0,2,0,1,23828.87,JOD
800505551-X,amman,2,2,2,2,28768.57,JOD
985952896-9,A'zarqa,2,0,1,0,34861.95,JOD
829659348-3,,1,1,1,2,35359.00,JOD
295159689-8,A'zarqa,0,2,1,0,46416.31,JOD
918259915-7,Amman,0,2,2,0,24516.94,JOD
718015310-9,A'zarqa,0,1,2,2,45655.92,JOD
902415642-4,Zarqa,2,1,0,1,34520.01,USD
134119485-X,zaqra,1,0,2,1,25352.64,USD
527748185-0,Capital City,0,0,1,1,38918.96,USD
804105050-6,amman,2,2,2,2,38382.53,JOD
951254534-9,A'zarqa,2,2,2,2,28245.29,USD
056375985-2,Capital City,2,0,0,2,42664.59,JOD
342149025-2,Amman,2,0,2,2,21348.19,USD
695479334-5,amman,0,0,1,0,27737.57,JOD
325397943-1,Capital City,1,2,1,1,45622.47,USD
870471302-8,amman,0,0,0,1,48999.74,JOD
133023484-7,zaqra,1,1,2,0,25451.95,USD
539101030-6,A'zarqa,2,0,0,2,26574.65,JOD
503423124-7,Capital City,1,1,1,2,30074.05,USD
038599798-1,zaqra,2,2,2,1,36226.10,USD
777225625-6,,0,0,2,1,34457.92,JOD
604784206-2,A'zarqa,1,2,2,1,33540.89,JOD
005906789-6,amman,1,0,0,0,41735.32,USD
872380119-0,Zarqa,1,0,1,1,16571.01,JOD
604693621-7,Zarqa,2,2,2,1,27337.00,USD
183601367-1,zaqra,2,1,0,1,29584.53,JOD
099058753-3,zaqra,2,0,0,2,26730.96,USD
499968618-X,amman,2,1,0,2,16905.31,JOD
583251242-1,amman,0,2,1,2,25700.79,JOD
754180308-1,Capital City,0,1,2,2,18217.00,JOD
374694961-0,amman,0,2,0,0,15546.60,JOD
573960790-6,Amman,1,0,2,0,35267.24,USD
961357123-X,amman,2,2,1,1,37011.83,USD
380926378-8,A'zarqa,0,0,1,0,31314.31,USD
221615259-5,amman,1,2,2,2,29413.34,USD
871739981-5,A'zarqa,2,2,2,0,25897.39,JOD
851390802-9,Capital City,2,0,1,2,17642.37,USD
277730766-0,,0,1,2,1,15210.44,USD
406844576-1,A'zarqa,0,2,0,0,36848.50,JOD
687415276-9,Amman,0,0,1,2,18344.23,USD
069010406-5,A'zarqa,2,0,2,1,20505.52,JOD
868288277-9,A'zarqa,1,2,2,0,50709.96,JOD
366381428-9,Capital City,0,1,1,1,22328.79,USD
163846255-0,Capital City,0,2,0,2,21948.45,USD
702087356-1,zaqra,1,0,2,2,44184.89,JOD
684995370-2,A'zarqa,2,1,1,2,39434.66,JOD
794041940-4,Capital City,2,1,1,2,38567.67,USD
769299637-7,zaqra,1,2,0,2,45858.60,USD
612036617-2,Amman,2,0,1,1,46577.00,USD
909171417-4,amman,1,2,2,1,30347.68,JOD
240214549-8,zaqra,1,2,1,0,35039.64,JOD
196784673-1,Zarqa,0,2,1,1,51587.84,JOD
464271206-2,Amman,0,2,0,2,51891.20,USD
887455522-9,,0,0,0,1,12516.55,JOD
234143223-9,Capital City,1,1,2,1,13335.79,USD
576067901-5,amman,2,0,1,2,40678.58,USD
248928668-4,Amman,0,2,0,2,41813.99,USD
589338905-0,amman,2,2,1,1,18788.77,USD
608717154-1,Zarqa,2,2,1,2,31790.32,JOD
281773360-6,zaqra,0,2,1,0,18947.50,JOD
673485406-X,zaqra,2,0,1,2,52617.22,USD
167025887-4,Capital City,0,1,0,2,21179.27,USD
774161974-8,Amman,2,2,2,1,44151.95,JOD
995408390-1,zaqra,2,1,0,0,48794.39,JOD
216564682-0,amman,0,1,2,1,34446.97,JOD
953652415-5,Zarqa,0,1,2,0,12613.96,JOD
260081261-X,Capital City,1,2,0,1,41620.31,JOD
653227332-5,Amman,1,1,1,2,14516.12,JOD
771175486-8,A'zarqa,0,2,0,0,44713.81,JOD
851909567-4,amman,2,0,2,2,17217.80,JOD
155153057-0,Capital City,0,1,1,0,20483.61,JOD
936880152-5,amman,2,0,2,2,15456.94,JOD
401201043-3,amman,0,2,2,0,25924.60,JOD
106855443-6,zaqra,1,2,1,1,31916.01,USD
133976186-6,Amman,0,2,1,1,38390.10,JOD
469456467-6,amman,0,0,0,0,52064.52,JOD
291888986-5,A'zarqa,1,1,1,0,52743.56,JOD
139555067-0,Amman,0,1,0,0,22512.12,JOD
244851819-X,Amman,1,0,1,0,12842.54,JOD
717754166-7,Zarqa,1,0,0,0,51376.48,JOD
900608702-5,Amman,2,2,1,2,15861.78,JOD
795968550-9,Capital City,2,0,1,1,39419.10,JOD
988453180-3,Zarqa,2,1,0,1,17592.52,JOD
093309214-8,amman,1,1,2,0,19907.57,JOD
821563101-0,Zarqa,1,0,0,2,33368.75,USD
846802074-5,A'zarqa,2,2,1,2,51811.33,JOD
938448389-3,zaqra,0,2,1,0,48993.38,JOD
358620281-4,amman,2,0,1,2,41535.58,JOD
382400588-3,zaqra,1,0,1,1,39089.00,JOD
221049122-3,amman,0,1,2,0,34980.13,JOD
423604776-4,Capital City,0,2,1,1,22009.89,USD
859739442-0,zaqra,2,0,0,1,43590.75,USD
736601425-7,amman,0,2,2,1,15149.68,JOD
781870957-6,A'zarqa,1,0,2,1,34107.66,JOD
348243956-7,A'zarqa,1,1,2,2,12617.52,USD
317519968-2,A'zarqa,0,0,0,2,43653.13,USD
024099229-6,Zarqa,2,0,0,1,40782.35,USD
553728583-5,zaqra,2,1,2,1,37510.31,USD
757976485-7,Zarqa,2,2,0,1,36390.17,JOD
569498513-3,Capital City,1,0,1,2,38667.84,JOD
729604521-3,A'zarqa,0,2,1,1,52264.81,JOD
290638238-8,Capital City,2,0,1,2,38341.02,USD
963381933-4,Capital City,2,2,0,2,36981.21,USD
257334114-3,,2,0,2,2,28282.96,USD
171795412-X,,2,2,2,2,29746.35,USD
350871709-7,amman,2,0,0,0,27421.16,JOD
196308991-X,Capital City,2,0,2,1,40046.57,JOD
226242735-6,Capital City,0,1,2,0,48097.40,JOD
911294103-4,Zarqa,1,2,1,1,42640.22,JOD
401770397-6,Amman,2,0,2,2,50534.12,USD
490504302-6,Zarqa,1,1,0,0,25447.48,JOD
962341014-X,zaqra,0,2,0,1,14673.05,USD
965314456-1,A'zarqa,1,0,2,2,18303.40,USD
972948305-1,A'zarqa,2,0,0,2,50089.05,USD
466406844-1,zaqra,1,1,0,0,15670.11,USD
363422205-0,Zarqa,2,0,0,0,41332.28,USD
417362246-5,amman,1,2,0,1,15219.48,USD
732623842-1,amman,0,0,0,1,22682.64,USD
218361495-1,Amman,1,2,0,1,51070.09,JOD
375428115-1,Zarqa,1,2,0,0,44639.30,USD
031495179-2,Zarqa,0,1,1,0,37405.96,USD
126762004-8,zaqra,2,2,2,2,41916.42,USD
101662821-8,Amman,1,0,2,2,52121.00,USD
015789577-7,Amman,0,1,0,0,43042.06,JOD
735452222-8,Amman,0,0,2,0,24101.50,JOD
687240161-3,zaqra,1,1,0,0,48171.43,USD
166954310-2,zaqra,0,0,2,0,45585.65,JOD
710508321-2,Capital City,2,2,2,0,29510.39,USD
094430372-2,Amman,1,0,2,1,40865.55,JOD
746119278-7,zaqra,0,0,1,0,34977.50,JOD
943909619-5,amman,2,0,0,0,45997.29,USD
649677844-2,amman,2,1,2,1,25815.28,USD
516583523-5,amman,0,2,2,0,42334.65,USD
832189133-0,amman,0,0,1,0,23364.22,JOD
902713695-5,zaqra,0,2,0,2,25050.62,USD
671421770-6,Capital City,2,2,1,1,16845.25,USD
626362591-0,Capital City,2,2,2,0,16272.59,JOD
325636736-4,Capital City,1,1,1,2,42955.93,JOD
642616431-3,Capital City,1,1,0,0,38798.32,USD
211798299-9,Amman,2,2,0,2,46228.84,USD
776646787-9,Zarqa,0,0,2,0,21096.58,USD
779851960-2,,1,1,2,1,38330.24,JOD
518516448-4,Zarqa,0,2,0,2,25872.58,JOD
420571003-8,A'zarqa,2,0,0,1,32204.37,JOD
330117886-3,Amman,0,0,2,1,51110.73,JOD
893384088-5,,2,2,2,2,51222.40,JOD
183492858-3,zaqra,1,1,0,2,15187.09,JOD
838583565-2,A'zarqa,0,1,1,1,21305.29,USD
371963648-8,amman,2,0,1,2,49867.41,USD
556085755-6,Capital City,1,0,1,2,13285.26,JOD
795702294-4,zaqra,2,1,2,0,28005.98,JOD
987090400-9,zaqra,1,0,0,2,33272.72,JOD
028680529-4,A'zarqa,0,1,2,1,18629.06,USD
407436549-9,Amman,1,2,2,1,48416.32,USD
770708756-9,zaqra,2,2,0,0,35739.41,JOD
143334014-3,Amman,0,2,0,2,27078.05,JOD
732302920-1,amman,1,1,1,0,26790.86,USD
806290519-5,A'zarqa,1,2,2,2,39681.91,USD
391297377-6,zaqra,0,0,2,1,24929.77,JOD
211661315-9,Amman,2,0,0,0,51004.51,JOD
516348148-7,Capital City,2,2,0,0,51670.92,USD
339007891-6,zaqra,1,2,0,2,27546.35,USD
098654087-0,Amman,2,0,0,1,12222.22,USD
345002041-2,zaqra,1,0,1,0,22115.95,JOD
317966755-9,amman,2,1,2,0,28791.60,JOD
315022342-3,Amman,0,1,2,1,16990.68,USD
673713106-9,Zarqa,1,1,2,1,45215.12,USD
422053199-8,Amman,2,2,0,2,25157.28,JOD
849672643-6,zaqra,1,1,0,1,27646.29,USD
674520877-6,amman,1,0,2,2,51283.83,JOD
165918059-7,Amman,1,2,2,2,12773.35,JOD
493016513-X,Capital City,1,1,0,1,43777.22,USD
345678951-3,Capital City,1,0,0,1,21584.90,USD
688269409-5,Amman,2,1,1,2,34054.68,USD
683856830-6,A'zarqa,2,2,1,1,44230.79,JOD
769708031-1,A'zarqa,2,2,1,0,37422.53,USD
707745804-0,Amman,1,1,2,0,32185.71,USD
999417088-0,Capital City,0,2,0,1,19322.41,USD
556231881-4,Zarqa,0,1,0,2,32177.55,USD
443480216-X,zaqra,2,1,0,1,31123.46,JOD
696977815-0,zaqra,1,1,0,0,24770.23,JOD
920720280-8,Amman,1,1,2,2,22931.42,JOD
698441009-6,A'zarqa,0,2,1,2,40888.69,USD
990756736-1,amman,1,1,0,1,35191.02,USD
600713629-9,A'zarqa,2,0,2,2,49118.79,USD
675467274-9,amman,2,2,1,2,27481.13,JOD
662522650-5,amman,2,2,2,0,26973.85,JOD
515726590-5,A'zarqa,2,0,1,2,16825.22,JOD
028926321-2,A'zarqa,1,1,1,1,12975.44,USD
360082733-2,zaqra,1,2,1,1,12163.37,USD
584747507-1,Zarqa,2,1,2,1,44641.31,JOD
175127701-1,Capital City,1,0,0,2,25722.16,JOD
481460897-7,Amman,1,0,2,1,44201.69,JOD
009703112-7,Zarqa,2,2,1,0,40185.34,JOD
325955421-1,zaqra,0,0,2,2,12275.98,USD
031432585-9,A'zarqa,2,2,1,0,41628.47,USD
744281862-5,A'zarqa,1,0,0,2,15876.65,JOD
426184666-7,Zarqa,0,2,2,2,12011.04,USD
603916927-3,Amman,2,0,0,1,47006.78,USD
881778038-3,Zarqa,2,0,2,0,15977.55,USD
136187783-9,A'zarqa,1,1,2,2,36319.10,USD
620500278-7,zaqra,1,1,2,2,29694.91,JOD
605197235-8,zaqra,1,1,1,2,17852.61,USD
744391123-8,Capital City,2,0,0,2,28656.74,JOD
780434167-9,amman,2,2,1,0,40855.94,USD
612509553-3,Zarqa,1,0,0,0,34812.75,USD
581260934-9,Capital City,2,1,1,2,51677.27,JOD
981848548-3,A'zarqa,0,2,0,0,28084.07,USD
213900847-2,A'zarqa,1,2,1,1,31906.81,USD
445712622-5,amman,0,2,2,2,22526.50,USD
382421560-8,Zarqa,2,1,1,1,12790.00,USD
345553239-X,Zarqa,1,2,1,2,16699.42,USD
239380912-0,zaqra,1,0,1,2,40343.32,USD
630241280-3,Zarqa,1,2,0,0,12746.66,USD
905070118-3,Zarqa,0,2,2,1,32735.98,USD
916967098-6,Capital City,1,2,1,1,35795.55,USD
631030764-9,zaqra,0,2,0,0,27748.42,USD
976387744-X,zaqra,2,0,0,2,37091.18,USD
101023909-0,Capital City,0,1,2,2,19681.43,JOD
312327898-0,A'zarqa,0,0,2,1,36417.47,JOD
333997061-0,amman,0,1,1,1,28188.05,JOD
770686618-1,A'zarqa,1,1,1,2,13234.09,JOD
945266628-5,A'zarqa,0,2,0,1,48259.11,USD
016593906-0,A'zarqa,1,1,2,1,36756.25,JOD
631446364-5,zaqra,2,2,0,2,27439.15,JOD
255188931-6,A'zarqa,1,2,2,2,22600.17,JOD
142903488-2,zaqra,0,2,0,0,39103.48,USD
494465752-8,A'zarqa,2,0,1,1,24632.14,USD
645344072-5,A'zarqa,0,0,0,0,50778.86,JOD
955399170-X,Zarqa,0,1,2,1,45788.55,USD
533722839-0,Zarqa,2,1,1,0,46198.24,JOD
976534752-9,,0,2,2,0,18620.28,JOD
172238138-8,Zarqa,1,2,0,2,26149.39,JOD
874537725-1,Capital City,0,0,0,0,27898.44,USD
319677230-6,zaqra,0,2,0,2,47835.37,JOD
661164086-X,,1,2,0,2,34277.14,USD
855897085-8,Zarqa,1,2,0,1,47242.97,JOD
784820418-9,A'zarqa,0,0,2,2,12227.13,JOD
755624591-8,zaqra,2,0,0,2,30413.90,USD
226057941-8,zaqra,1,0,0,2,50048.25,JOD
018860712-9,Zarqa,1,0,1,2,39170.51,USD
533743464-0,Zarqa,0,1,2,1,34719.55,JOD
219532647-6,amman,0,0,1,1,47168.94,JOD
235686104-1,A'zarqa,2,2,1,1,19258.02,USD
447538851-1,Amman,0,2,2,1,16711.05,USD
324742841-0,amman,1,0,2,2,17730.42,USD
224627547-4,A'zarqa,2,2,0,2,38017.46,JOD
352063929-7,amman,1,1,2,0,15076.20,JOD
692818670-4,,0,0,2,2,34733.74,JOD
264078487-0,Capital City,0,1,0,1,45459.95,JOD
351927407-8,zaqra,1,1,1,0,35160.91,USD
268808069-5,amman,2,2,1,0,32659.34,USD
679447801-3,zaqra,1,1,2,1,30620.28,JOD
388588913-7,Capital City,0,2,1,0,14016.78,JOD
134852757-9,A'zarqa,1,2,1,0,27522.02,USD
613015746-0,Amman,2,0,2,1,31529.78,USD
069351641-0,A'zarqa,0,2,0,2,38066.26,JOD
504345043-6,A'zarqa,2,2,0,1,22373.84,JOD
919079552-0,amman,2,0,1,2,25072.21,JOD
911563794-8,Amman,0,0,2,2,29248.16,JOD
490009479-X,Zarqa,1,1,0,1,43426.93,JOD
112644055-8,amman,0,2,1,2,20809.73,USD
323983366-2,Zarqa,1,0,0,2,18948.19,JOD
811630311-2,zaqra,0,2,1,2,32633.18,USD
125930804-9,zaqra,2,2,2,1,21993.65,USD
006611388-1,Capital City,2,1,2,2,35740.43,JOD
446581141-1,A'zarqa,1,2,0,2,41741.67,JOD
548149862-6,amman,1,2,2,0,49552.15,USD
019071465-4,amman,1,0,0,1,50946.33,JOD
368555225-2,zaqra,2,0,0,1,14378.42,USD
564328018-3,zaqra,0,1,1,1,15195.04,USD
174875085-2,Capital City,1,0,1,1,14175.33,JOD
656622384-3,amman,1,0,0,1,21426.34,JOD
654997079-2,amman,1,1,2,2,19550.74,JOD
475289535-8,Capital City,0,0,0,1,31579.61,USD
237320477-0,Capital City,0,0,1,1,40074.69,USD
438895523-X,Capital City,0,1,1,2,50449.06,JOD
634718907-0,A'zarqa,2,2,1,0,39136.18,USD
001279529-1,zaqra,1,1,2,1,36769.92,USD
430469548-7,Zarqa,2,0,1,2,45247.20,JOD
021027016-0,zaqra,2,2,2,2,36013.71,USD
844670008-5,A'zarqa,1,1,2,1,22691.01,USD
227783512-9,Amman,2,0,2,2,29367.29,JOD
156944143-X,amman,1,0,1,2,24548.60,JOD
721019851-2,Amman,2,0,2,2,21601.36,USD
550677251-3,zaqra,2,1,1,2,50964.55,JOD
677472238-5,amman,2,2,1,2,40095.46,JOD
140333788-8,Zarqa,0,2,2,2,16394.39,JOD
284229847-0,zaqra,2,2,1,1,37033.33,JOD
433148864-0,zaqra,1,2,1,0,28583.57,JOD
507787233-3,Capital City,0,0,2,1,25521.60,USD
513737960-3,Amman,0,1,2,0,35643.68,JOD
189683868-5,Amman,2,2,1,0,51098.28,JOD
911006460-5,A'zarqa,1,2,1,2,36628.77,JOD
149206149-2,Amman,0,0,0,1,44269.27,JOD
812896243-4,A'zarqa,1,2,2,2,51018.41,JOD
464872665-0,Amman,1,2,0,2,34995.23,JOD
147746730-0,Capital City,0,2,1,0,46044.34,JOD
443356876-7,Capital City,0,0,0,2,43483.36,JOD
826936303-0,A'zarqa,0,2,0,2,33205.76,USD
243403189-7,Amman,2,1,2,2,41676.24,USD
827546000-X,Zarqa,1,2,1,2,33955.26,USD
927506528-4,Zarqa,1,2,1,2,30868.61,USD
067020158-8,Zarqa,2,2,0,1,20673.29,USD
970282419-2,,2,0,0,2,52715.40,USD
160832510-5,Amman,0,2,2,0,39253.03,JOD
176965714-2,zaqra,1,2,1,2,45642.06,USD
066740463-5,Amman,0,2,0,0,14196.88,USD
329683676-4,Zarqa,2,0,2,1,13532.51,JOD
838422715-2,,0,1,2,0,13890.70,USD
270965237-4,Zarqa,2,0,0,0,19202.16,USD
983528159-9,amman,1,1,0,1,20818.33,USD
500705211-6,zaqra,0,0,1,1,21337.36,JOD
158846094-0,Capital City,2,0,2,1,49692.44,USD
152025935-2,zaqra,1,0,2,1,21385.38,JOD
168148935-X,Capital City,1,1,2,0,28925.75,JOD
753802148-5,zaqra,0,0,1,2,42747.94,USD
727517750-1,A'zarqa,2,0,1,2,14420.67,USD
052829102-5,Amman,0,0,2,2,28229.52,USD
840147577-5,Zarqa,1,1,2,2,48864.22,USD
820089577-7,Amman,0,0,0,0,45059.92,USD
641957681-4,A'zarqa,2,0,0,1,46940.99,USD
198993236-3,A'zarqa,1,0,2,1,27099.14,USD
782936404-4,amman,0,1,1,2,35248.16,JOD
513899162-0,Amman,0,2,1,1,36564.65,USD
273694146-2,A'zarqa,2,1,1,1,51407.77,JOD
266622063-X,A'zarqa,2,2,2,0,12299.33,USD
191659852-8,zaqra,0,0,2,0,52299.86,USD
222025796-7,amman,0,0,1,0,52830.30,USD
079897200-9,amman,1,2,2,1,24376.92,USD
004840799-2,Capital City,1,2,1,1,46458.20,USD
942329096-5,A'zarqa,1,1,2,2,49238.74,USD
611060086-5,amman,2,0,0,2,42975.65,USD
506503803-1,A'zarqa,0,2,2,0,20854.58,JOD
371520344-7,Amman,2,0,0,2,13236.40,JOD
796142448-2,zaqra,2,0,0,2,16570.93,USD
421280665-7,A'zarqa,0,0,0,2,22942.64,USD
351507794-4,Zarqa,2,0,2,2,27171.61,JOD
282508511-1,zaqra,0,2,0,1,31046.76,JOD
931405636-8,Capital City,0,0,1,1,21006.71,JOD
237495485-4,amman,2,1,0,2,30635.89,USD
586623103-4,Amman,1,0,1,1,30514.13,USD
248988136-1,amman,2,0,1,2,22910.43,USD
138320585-X,Zarqa,1,2,1,0,39067.92,USD
098841398-1,Amman,1,0,0,0,32425.17,JOD
084436121-6,Zarqa,0,0,0,2,39419.31,USD
606302478-6,Amman,0,2,1,1,12281.77,JOD
371113765-2,zaqra,1,1,1,0,44391.47,JOD
279594240-2,Capital City,0,0,0,1,27747.73,USD
906455882-5,Amman,2,1,2,2,24556.68,USD
722271249-6,Zarqa,0,2,0,1,20377.81,USD
367429434-6,Capital City,2,2,2,2,49708.47,JOD
836496397-X,amman,1,1,0,0,52922.56,JOD
251535784-9,amman,2,0,2,0,23390.75,JOD
719759966-0,Amman,2,0,2,1,18730.59,USD
809027506-0,Zarqa,1,2,2,2,44538.81,JOD
905814996-X,A'zarqa,0,2,0,1,24021.94,JOD
585286245-2,Zarqa,2,1,1,0,12009.04,USD
097337756-9,A'zarqa,2,2,0,2,28033.57,USD
616634223-3,amman,1,0,1,0,47049.51,JOD
221914115-2,zaqra,1,2,0,1,20143.85,USD
511199373-8,Amman,2,1,2,0,12556.04,JOD
842277278-7,A'zarqa,2,1,2,2,12220.68,JOD
884240170-6,Capital City,1,1,2,1,38155.87,JOD
896269768-8,zaqra,0,1,0,2,40133.34,USD
956413860-4,Amman,1,1,0,0,29587.18,USD
715459586-8,zaqra,1,1,0,1,29226.00,USD
560343655-7,A'zarqa,2,1,1,0,17898.10,JOD
450230229-5,Capital City,2,0,2,0,44253.20,USD
698495978-0,Capital City,0,0,1,2,39079.09,JOD
602495814-5,A'zarqa,2,0,2,1,48011.97,USD
779984244-X,Amman,2,2,2,0,23695.69,USD
571609673-5,Zarqa,1,1,0,1,19764.20,USD
567528887-2,Amman,2,1,1,0,24230.15,JOD
083890767-9,amman,0,0,2,2,37175.04,JOD
367883902-9,Amman,0,2,0,1,33490.99,JOD
469068969-5,A'zarqa,1,2,1,0,13079.42,USD
976245361-1,Zarqa,1,0,0,0,23092.85,USD
115569266-7,Capital City,1,1,1,0,39049.09,JOD
018602209-3,Zarqa,2,1,2,2,35238.41,USD
360383447-X,Zarqa,0,1,2,0,46164.48,USD
490539218-7,Capital City,1,2,0,2,48236.00,USD
521880681-1,Amman,1,2,0,1,47234.05,USD
840753347-5,Amman,2,0,1,0,30950.97,JOD
703466738-1,Amman,0,2,1,2,31617.28,USD
596216910-7,Zarqa,0,2,1,2,26873.58,USD
498464392-7,A'zarqa,2,2,0,1,19536.32,JOD
143992114-8,Zarqa,1,0,0,1,42436.40,USD
575344799-6,amman,1,1,0,0,45294.14,JOD
228144195-4,,2,2,0,0,33564.51,JOD
467607247-3,,0,2,0,1,43792.49,JOD
014852869-4,zaqra,0,2,2,0,16636.28,USD
302116088-3,zaqra,2,2,1,0,48524.30,JOD
160363441-X,A'zarqa,2,2,2,0,18066.62,JOD
394944779-2,Zarqa,1,1,1,2,29997.49,JOD
920416736-X,Zarqa,2,2,0,2,44461.68,USD
677701151-X,Zarqa,1,1,2,1,25608.61,JOD
931550744-4,zaqra,2,0,0,0,47021.51,USD
109621400-8,Zarqa,0,2,2,1,29784.72,JOD
100740176-1,Amman,1,2,2,1,20426.92,USD
915339506-9,Capital City,2,2,2,0,15665.86,USD
328641765-3,Capital City,2,1,0,0,31476.18,JOD
241792280-0,Zarqa,1,2,1,0,33114.92,JOD
475297486-X,zaqra,2,0,0,2,27092.31,USD
715285892-6,Capital City,0,1,2,2,20912.52,USD
535420328-7,zaqra,2,1,1,0,22322.08,JOD
487380252-0,zaqra,0,1,2,0,39997.85,USD
048375884-1,A'zarqa,0,2,1,1,23270.94,JOD
157873444-4,Amman,1,1,1,0,13250.25,JOD
729761263-4,zaqra,0,1,0,1,52519.03,USD
944748888-9,zaqra,2,0,1,1,52478.88,JOD
003351110-1,Amman,2,1,1,1,27072.81,JOD
262128051-X,Zarqa,0,1,1,1,16783.34,USD
645668158-8,Amman,2,0,2,2,27399.48,USD
040763837-7,Amman,0,1,1,0,17063.46,USD
926541309-3,A'zarqa,2,0,0,0,47000.66,JOD
138536806-3,zaqra,0,0,0,1,26347.34,USD
662463521-5,Capital City,0,0,1,1,39304.24,USD
144335337-X,Zarqa,0,0,0,0,40035.82,USD
625711454-3,Zarqa,1,1,1,1,48434.62,USD
171075998-4,A'zarqa,1,1,2,1,28042.01,JOD
489696181-1,A'zarqa,2,1,2,0,37993.26,USD
682757831-3,A'zarqa,2,1,1,0,26318.61,USD
291748461-6,Amman,0,0,0,1,31340.65,USD
808402661-5,A'zarqa,1,0,2,1,18428.17,JOD
502367426-6,Amman,2,0,2,2,37810.46,JOD
414862174-4,Amman,1,0,1,2,48642.37,JOD
263897717-9,Amman,1,0,1,0,19473.50,USD
142163227-6,A'zarqa,0,0,0,2,35595.98,JOD
244112102-2,Capital City,0,2,2,1,42127.50,USD
167808735-1,Capital City,0,2,1,0,19493.85,JOD
200130259-2,Amman,1,2,2,2,30265.04,USD
811622642-8,Zarqa,2,0,2,2,14339.88,USD
289691967-8,zaqra,1,1,1,2,25111.36,JOD
529484173-8,Zarqa,2,1,1,1,17871.98,USD
320829641-X,Capital City,0,2,1,1,43923.89,JOD
904417729-X,zaqra,2,0,1,2,28781.10,USD
914206788-X,Zarqa,0,1,1,1,30121.69,JOD
192042460-1,Amman,0,1,2,1,41951.76,JOD
720884492-5,Amman,0,0,2,1,40157.82,USD
187504595-3,zaqra,0,1,0,2,16928.01,USD
526852346-5,Capital City,0,0,0,2,29088.23,JOD
543011565-7,zaqra,2,0,1,2,38488.18,JOD
731521872-6,Amman,1,2,0,0,18309.88,JOD
049450193-6,A'zarqa,2,1,0,1,23780.14,JOD
382228649-4,Capital City,2,2,1,1,22866.95,JOD
218020519-8,Zarqa,0,0,2,1,28640.98,USD
897529584-2,A'zarqa,2,2,2,1,25953.39,JOD
707295791-X,zaqra,2,0,2,2,16296.03,USD
408409436-6,Capital City,1,1,2,0,21235.57,USD
641199480-3,amman,2,0,2,2,18558.24,USD
324638132-1,Zarqa,2,1,2,0,16305.77,USD
659116098-1,amman,1,2,2,1,44968.59,JOD
368347320-7,amman,2,0,0,1,27614.52,USD
867070738-1,Capital City,2,1,2,2,31633.79,JOD
681766895-6,amman,0,1,0,2,50246.43,USD
944436156-X,zaqra,0,0,0,0,34736.68,USD
116525262-7,Zarqa,0,2,0,0,52574.93,USD
240817125-3,amman,0,2,0,1,49692.39,JOD
553661046-5,Amman,1,0,1,1,23180.01,JOD
819378554-1,Amman,1,0,0,1,33486.78,USD
730866818-5,Zarqa,0,0,2,2,48844.40,USD
095760312-6,Amman,1,2,0,2,17851.50,JOD
980154148-2,amman,2,0,1,2,21619.79,JOD
572714447-7,zaqra,2,2,2,2,39546.81,USD
637267765-2,Amman,1,1,0,1,22919.75,USD
030873376-2,A'zarqa,2,1,1,2,30700.57,JOD
848093670-3,Capital City,0,0,0,2,20813.07,USD
163786667-4,Capital City,1,2,0,0,41184.88,JOD
865896641-0,zaqra,2,0,2,1,46308.83,JOD
371022244-3,zaqra,0,1,2,2,46452.37,JOD
211295930-1,zaqra,2,2,1,0,42697.15,JOD
837729949-6,Zarqa,1,1,2,1,26402.47,USD
958844176-5,Amman,0,0,1,2,28215.02,USD
531385548-4,Amman,2,1,1,2,27793.52,JOD
864281867-0,Amman,1,1,0,1,36859.90,USD
080672540-0,,1,1,1,0,26572.22,JOD
522148420-X,Zarqa,2,1,2,0,45263.82,USD
532972929-7,amman,2,1,0,2,30308.07,USD
729460475-4,amman,2,1,1,0,28249.27,USD
630632833-5,amman,0,1,1,1,34635.04,USD
224142801-9,amman,2,0,0,2,33763.83,JOD
524091986-0,amman,2,1,0,0,33704.62,JOD
