StoreID,City,Item1,Item2,Item3,Item4,MonthlySales,Currency
907273140-9,Zarqa,1,2,0,1,43052.22,USD
578479927-4,zaqra,2,2,1,2,49945.88,JOD
013921327-9,Capital City,2,2,0,2,16972.20,USD
690417714-4,zaqra,1,1,0,2,41096.65,USD
137259785-9,Zarqa,1,2,1,2,51264.21,USD
117330729-X,Capital City,2,1,1,2,12717.56,USD
224700032-0,,0,2,0,2,42282.53,JOD
700610740-7,Capital City,0,0,1,1,24304.63,JOD
333077109-7,Zarqa,2,0,2,1,27000.97,USD
003865188-2,Zarqa,1,2,2,0,24303.32,USD
066919796-3,A'zarqa,0,2,0,0,47469.07,USD
955522691-1,Amman,1,0,2,2,36996.27,USD
780427110-7,Capital City,2,0,0,0,43373.15,USD
155024486-8,A'zarqa,1,2,0,2,35575.45,USD
501702273-2,zaqra,2,0,0,1,32792.00,JOD
304752714-8,Capital City,1,2,1,1,30305.44,JOD
159536334-3,zaqra,2,2,0,1,37616.83,USD
952045435-7,amman,2,1,1,2,17768.95,USD
271859606-6,A'zarqa,1,2,1,1,44352.58,USD
719795287-5,zaqra,1,0,2,0,22806.33,JOD
073404723-1,A'zarqa,0,0,0,0,35958.16,USD
127923136-X,Capital City,1,0,0,2,30013.82,USD
799294681-2,A'zarqa,2,0,1,0,51405.88,USD
991347180-X,zaqra,2,2,1,0,36080.51,JOD
573112344-6,zaqra,1,1,1,2,28313.11,USD
626423742-6,zaqra,2,0,1,0,35492.81,USD
796304437-7,zaqra,2,2,2,1,26931.26,USD
800197300-X,Amman,2,1,1,2,20009.46,USD
646348268-4,amman,0,1,0,2,45455.64,JOD
015617039-6,zaqra,2,1,1,1,20418.83,JOD
509309006-9,Amman,2,2,1,0,21799.01,USD
142547478-0,Capital City,1,2,2,2,44245.75,JOD
740347367-1,zaqra,2,0,0,2,28065.52,JOD
961353608-6,A'zarqa,0,0,1,2,44010.61,JOD
898616566-X,Amman,0,1,2,0,45869.93,JOD
547717015-8,A'zarqa,2,0,2,0,48406.00,USD
373699511-3,Capital City,1,2,2,1,45837.57,JOD
705387288-2,Capital City,0,2,2,2,46302.95,USD
952560227-3,A'zarqa,1,1,1,2,35959.37,USD
587638914-5,amman,2,1,0,0,32453.27,JOD
060236172-9,Capital City,0,0,1,1,33414.62,JOD
181696955-9,Zarqa,1,1,0,2,43437.88,JOD
803236563-X,Zarqa,2,0,0,0,41822.67,USD
063340112-9,amman,0,2,1,0,46107.25,JOD
353451514-5,Amman,1,1,0,1,48231.75,USD
328088366-0,Zarqa,2,0,1,1,43453.22,USD
240784125-5,amman,2,1,2,2,51525.97,USD
614922738-3,amman,0,1,0,0,38760.37,JOD
342057498-3,A'zarqa,0,2,2,2,25928.56,USD
220895099-2,A'zarqa,0,2,0,1,34573.69,JOD
667971009-X,Capital City,2,1,0,2,29654.29,USD
741137248-X,Amman,2,1,1,1,36826.37,JOD
960878714-9,A'zarqa,1,0,0,2,36489.12,JOD
338925768-3,Zarqa,2,1,2,1,51289.84,JOD
100271424-9,A'zarqa,1,2,0,2,38635.03,USD
384492174-5,Capital City,0,0,2,0,49644.43,USD
009078073-6,Capital City,1,2,0,0,29309.82,JOD
475897388-1,Amman,1,1,2,1,26740.72,USD
531390489-2,A'zarqa,2,1,0,0,20032.72,JOD
199166683-7,zaqra,1,2,0,2,40054.78,USD
345644136-3,Amman,1,0,0,0,43280.90,JOD
114782622-6,amman,0,0,2,1,19575.56,USD
543107765-1,Amman,0,2,2,1,13409.96,JOD
497351699-6,A'zarqa,2,0,2,2,15904.65,JOD
175278098-1,Zarqa,1,2,2,2,25980.62,JOD
105597268-4,amman,0,0,0,1,27610.72,JOD
051576466-3,Zarqa,2,2,0,0,40021.29,USD
000520520-4,zaqra,1,0,2,2,27323.37,JOD
123814041-6,zaqra,0,2,2,1,32180.97,JOD
685281861-6,Amman,0,2,1,0,39558.27,USD
000918234-9,zaqra,2,1,1,0,12965.38,USD
524090764-1,amman,1,0,2,0,50986.52,USD
256038679-8,amman,0,1,2,2,28214.45,JOD
493391139-8,Capital City,0,1,0,2,31286.15,USD
387069280-4,A'zarqa,1,2,2,0,39499.95,JOD
376136314-1,A'zarqa,2,1,1,0,27096.42,USD
390227183-3,Capital City,1,2,0,1,33472.45,USD
067381641-9,zaqra,0,1,1,1,12885.41,USD
179611711-0,amman,1,2,0,0,14810.62,JOD
950569201-3,A'zarqa,1,2,1,1,46225.21,USD
501810811-8,Amman,2,0,1,1,36530.56,USD
514253519-7,A'zarqa,0,2,1,2,30021.56,USD
331581435-X,amman,0,2,2,0,36857.64,JOD
650729062-9,Zarqa,1,2,0,2,28865.70,USD
164147139-5,zaqra,1,1,2,0,24810.05,JOD
069877585-6,Capital City,1,0,0,2,49287.30,USD
144836838-3,Zarqa,1,0,2,1,51462.11,JOD
389908244-3,A'zarqa,0,1,1,1,51659.15,JOD
442932437-9,zaqra,0,2,1,2,45119.16,USD
697842271-1,zaqra,0,0,2,2,15941.03,USD
324875071-5,Amman,1,0,1,1,42328.72,JOD
477417208-1,Capital City,1,0,1,0,17448.46,JOD
650843315-6,Capital City,2,2,1,2,45984.03,USD
544427629-1,Zarqa,1,1,1,2,16532.75,JOD
199996318-0,A'zarqa,1,1,1,2,46881.96,JOD
429001517-4,zaqra,1,2,1,1,34480.31,JOD
692834731-7,zaqra,0,0,2,0,20589.22,USD
950694330-3,Amman,2,2,0,1,14871.47,USD
442909739-9,amman,2,2,2,0,16905.03,JOD
361152187-6,A'zarqa,2,2,0,0,17225.81,JOD
072807432-X,amman,0,1,2,0,37796.15,USD
382824597-8,Zarqa,0,2,0,2,38257.17,USD
636568652-8,Capital City,1,2,0,1,40895.99,JOD
563829184-9,Zarqa,2,1,2,0,17398.65,JOD
737266578-7,A'zarqa,1,1,2,0,44158.58,USD
195238101-0,Zarqa,2,0,0,1,13776.00,JOD
687812507-3,Capital City,2,0,2,1,32686.60,JOD
038964663-6,Amman,1,1,0,2,30480.53,JOD
284464680-8,Amman,0,0,1,1,35923.00,JOD
781241204-0,Amman,0,2,1,2,22720.89,JOD
292217939-7,Amman,2,2,2,0,42556.44,JOD
648301400-7,amman,2,2,0,1,15590.19,JOD
641901712-2,amman,1,1,2,1,29173.21,USD
547035138-6,Amman,0,1,2,2,13044.52,USD
577413631-0,amman,2,1,2,0,26534.50,JOD
831598902-2,Amman,2,2,1,0,39063.93,JOD
651280573-9,Capital City,1,2,2,2,24107.53,USD
737542228-1,A'zarqa,2,2,1,2,33862.84,USD
239353618-3,Amman,1,1,0,1,51352.89,JOD
952628413-5,zaqra,1,0,0,0,24427.60,JOD
309981465-2,,2,2,1,0,16959.33,JOD
653671206-4,Zarqa,2,2,0,0,38495.12,USD
107285952-1,Amman,2,2,1,1,33609.08,USD
566866082-6,amman,2,2,2,1,15964.39,JOD
517991505-8,Amman,1,0,0,0,30891.67,JOD
328944934-3,zaqra,2,0,1,2,15468.83,USD
573123095-1,A'zarqa,0,0,1,0,34064.21,USD
944789185-3,zaqra,2,1,1,0,42915.43,JOD
592789244-2,Zarqa,2,1,0,1,16459.63,USD
794048499-0,Amman,2,1,1,2,37039.79,USD
686563186-2,zaqra,1,2,1,0,33904.86,USD
914412382-5,amman,2,0,2,2,41463.32,USD
709374031-6,Zarqa,2,2,2,2,40330.59,JOD
853319203-7,,2,1,0,0,40791.82,JOD
043520688-5,A'zarqa,2,2,1,1,20818.93,USD
109486575-3,amman,0,0,0,1,28690.60,JOD
757536004-2,Zarqa,0,1,1,1,28149.10,USD
240405421-X,amman,2,1,1,0,27672.59,USD
161696347-6,amman,1,1,0,1,38112.41,JOD
010446145-4,Capital City,1,0,2,1,20197.65,USD
427326848-5,Amman,1,2,1,2,38170.23,JOD
306262154-0,A'zarqa,0,2,0,1,23996.08,JOD
196622668-3,A'zarqa,0,2,0,0,23549.14,JOD
466244857-3,A'zarqa,2,1,0,2,13541.38,USD
160519540-5,Amman,2,2,0,0,31632.14,JOD
071659559-1,Capital City,2,1,1,0,47315.94,USD
861184187-5,amman,1,1,2,0,44302.79,JOD
707771927-8,Amman,1,0,2,0,42411.47,USD
223157110-2,A'zarqa,1,2,1,0,33141.95,USD
629846656-8,Amman,0,0,0,1,14884.77,USD
245612121-X,Zarqa,2,2,2,0,47855.20,JOD
333849785-7,zaqra,1,0,1,2,40737.95,JOD
413248683-4,Zarqa,0,1,1,0,41478.06,USD
955126130-5,A'zarqa,1,0,0,1,47564.59,JOD
746037415-6,Amman,0,0,2,2,13465.13,JOD
262195374-3,zaqra,0,2,1,1,27038.41,USD
329764640-3,Capital City,1,0,1,0,14175.74,USD
052167585-5,zaqra,0,2,2,2,51951.85,USD
692224795-7,A'zarqa,2,2,1,1,49638.76,JOD
677672991-3,Capital City,1,2,2,0,25848.07,USD
717187946-1,amman,0,1,2,0,20959.34,JOD
199541777-7,amman,1,2,2,0,47369.07,USD
667675617-X,zaqra,0,0,2,2,36538.64,JOD
228034597-8,Amman,0,2,0,0,25150.38,JOD
213548535-7,Zarqa,2,1,2,0,29422.97,USD
842791847-X,Capital City,1,0,0,2,17393.24,JOD
510594155-1,A'zarqa,0,1,2,1,17595.87,JOD
346776474-6,zaqra,0,0,2,1,29349.28,USD
244136851-6,Zarqa,1,0,2,1,33449.63,USD
327486625-3,A'zarqa,0,0,0,1,14713.94,JOD
330774334-1,Amman,1,2,1,0,35926.00,JOD
656989845-0,Zarqa,1,1,1,1,40204.92,JOD
058755457-6,amman,1,0,0,0,45933.65,JOD
501920056-5,zaqra,1,2,0,0,28395.65,JOD
688416225-2,Amman,0,1,2,1,22297.25,USD
378791369-6,Zarqa,1,1,1,1,22655.77,JOD
370099368-4,Capital City,1,1,0,0,15786.75,JOD
378409665-4,A'zarqa,2,1,1,0,38913.28,USD
676474113-1,Amman,2,0,1,1,46550.89,JOD
883497257-0,amman,2,1,2,1,24932.27,USD
214249039-5,,0,0,0,2,26196.68,USD
993875808-8,amman,1,0,1,0,36758.82,JOD
441799280-0,zaqra,2,0,1,2,50984.88,USD
074228159-0,amman,1,0,1,2,15028.70,JOD
614156722-3,Zarqa,1,1,2,1,16005.70,JOD
173995479-3,zaqra,1,2,1,1,31034.68,USD
261404021-5,amman,0,1,1,0,14220.18,JOD
055169861-6,Zarqa,2,1,1,0,50025.43,USD
969160895-2,amman,1,2,1,2,35082.81,USD
283163269-2,zaqra,0,1,0,0,45228.44,USD
679458539-1,Capital City,2,0,1,0,45736.62,JOD
249242446-4,Zarqa,1,0,1,1,27131.96,USD
794961473-0,Amman,2,2,1,1,49914.71,JOD
992493563-2,amman,2,2,1,2,33386.93,JOD
694564224-0,Capital City,0,1,2,1,48733.78,USD
923376828-7,zaqra,1,1,2,1,45233.59,JOD
747355915-X,amman,2,1,1,1,51064.08,JOD
143254206-0,Zarqa,2,0,1,0,49478.48,JOD
289127292-7,amman,1,1,0,1,39904.50,USD
616565512-2,Capital City,0,2,2,2,29910.09,USD
952522185-7,A'zarqa,1,1,0,1,18707.23,JOD
716278661-8,Capital City,1,2,1,0,12381.63,JOD
224758968-5,amman,1,2,1,1,47767.79,USD
628146747-7,A'zarqa,2,0,2,1,27108.23,JOD
201009603-7,Zarqa,1,2,0,1,46162.95,JOD
310755545-2,Amman,0,1,1,1,17214.73,USD
694005778-1,Amman,1,0,1,0,23479.46,USD
438426705-3,A'zarqa,0,1,0,1,22055.87,USD
919311182-7,Amman,1,1,0,1,50232.66,JOD
316257700-4,Zarqa,1,1,1,1,13120.14,JOD
386547449-7,zaqra,1,2,1,2,15778.83,JOD
877968790-3,Capital City,2,2,1,0,40616.10,USD
735450736-9,Amman,1,0,0,1,39002.75,JOD
041551287-5,A'zarqa,2,2,2,2,33271.13,USD
048267718-X,amman,1,0,1,0,52484.15,JOD
086487586-X,Capital City,0,0,2,0,12159.87,JOD
690143417-0,A'zarqa,0,0,0,0,22258.65,USD
409432056-3,zaqra,1,0,0,2,34450.82,JOD
017208864-X,Amman,2,0,2,2,30799.74,USD
723050190-3,Amman,0,0,2,2,14408.95,USD
405187699-3,A'zarqa,2,1,0,0,33089.60,JOD
532403857-1,,0,1,1,2,15163.84,USD
367856385-6,Amman,0,2,1,0,42998.25,JOD
769317908-9,,2,2,0,2,44898.20,USD
628581112-1,Zarqa,0,1,1,2,13485.51,USD
545742703-X,Zarqa,2,2,1,1,42147.19,JOD
059526259-7,Capital City,0,0,2,2,12400.56,JOD
965144086-4,zaqra,2,2,2,0,48103.90,JOD
085356735-2,zaqra,2,0,1,0,27988.43,USD
253944382-6,Zarqa,2,1,1,0,31989.01,JOD
578481978-X,zaqra,2,0,0,1,24013.11,JOD
156700944-1,A'zarqa,0,0,2,0,26106.75,USD
154998593-0,Capital City,2,0,1,1,50549.64,USD
853782471-2,Amman,1,2,2,2,37092.79,USD
626168512-6,Zarqa,1,0,1,1,16178.31,JOD
647898983-6,Amman,1,1,0,1,38350.98,JOD
845217243-5,Amman,0,1,0,2,37140.36,USD
208460258-0,Zarqa,1,0,2,2,41787.32,USD
209936142-8,Capital City,0,0,1,2,27215.23,USD
027375060-7,Zarqa,1,1,1,2,40118.25,JOD
343672910-8,amman,0,1,0,2,14500.36,JOD
090125792-3,Amman,1,1,0,0,40574.22,JOD
028562781-3,amman,2,0,2,0,20217.66,USD
223511361-3,zaqra,1,2,2,2,40073.78,USD
519330859-7,Capital City,0,2,0,2,39923.08,USD
370950755-3,Capital City,2,0,1,0,19548.05,JOD
916754369-3,Zarqa,2,2,0,0,37687.77,JOD
948385498-9,Capital City,2,0,0,0,16632.05,USD
176393338-5,Zarqa,0,1,2,1,43538.82,JOD
185260385-2,A'zarqa,2,1,0,1,48217.72,USD
171148873-9,amman,1,0,2,2,30348.74,USD
281368941-6,Zarqa,0,1,1,2,44060.24,USD
710124811-X,A'zarqa,2,0,1,0,16532.66,JOD
047233640-1,A'zarqa,0,1,0,1,36024.35,JOD
350642624-9,zaqra,0,1,0,0,51816.18,JOD
223958287-1,zaqra,1,2,2,1,50327.55,USD
897711937-5,zaqra,2,0,2,0,33484.95,USD
487501395-7,Zarqa,1,1,0,2,14247.25,JOD
030691618-5,zaqra,1,0,2,0,35025.80,USD
228526975-7,A'zarqa,0,1,1,1,24036.88,JOD
613147604-7,Capital City,1,2,2,0,35918.10,USD
007680918-8,Amman,0,2,0,0,50825.67,JOD
036402992-7,zaqra,0,2,2,2,40774.97,USD
915517367-5,Zarqa,0,0,1,2,13393.51,USD
818549108-9,Zarqa,2,1,0,0,40008.04,JOD
312348035-6,Zarqa,2,1,0,1,22951.82,JOD
355868431-1,Amman,1,2,0,0,19566.74,USD
633275976-3,Capital City,0,1,1,0,42139.69,USD
312077347-6,zaqra,0,2,1,1,14608.21,JOD
420741384-7,A'zarqa,0,2,0,0,37981.55,USD
269277001-3,Capital City,0,2,1,1,29883.68,JOD
880767389-4,zaqra,0,0,2,0,13477.85,USD
749448381-0,Capital City,1,0,2,0,45835.52,JOD
946913451-6,Zarqa,1,0,1,1,35590.17,USD
738275902-4,Capital City,2,1,1,2,40668.16,USD
307078430-5,A'zarqa,1,2,2,2,35609.70,USD
370183777-5,Capital City,0,1,1,2,36393.99,USD
593550437-5,,1,2,2,0,29896.64,USD
926001441-7,A'zarqa,1,0,1,1,50523.09,JOD
526754488-4,zaqra,0,0,1,2,16512.08,USD
060703103-4,zaqra,2,0,2,1,22466.97,JOD
874868561-5,A'zarqa,1,0,1,2,30127.07,USD
517003393-1,zaqra,2,2,1,1,32583.37,USD
987610500-0,A'zarqa,0,0,1,2,35759.06,USD
112842423-1,A'zarqa,0,1,0,1,25027.10,JOD
678812494-9,Zarqa,1,2,0,0,50832.03,JOD
549293447-3,amman,2,2,1,1,42554.48,USD
759048379-6,amman,2,0,1,1,13128.32,USD
158797736-2,Amman,2,1,1,1,13349.26,JOD
533723710-1,zaqra,1,1,0,2,21916.48,USD
564193439-9,Amman,0,2,2,0,15531.98,JOD
318277770-X,zaqra,1,1,2,2,40923.93,JOD
830580161-6,Zarqa,2,1,1,1,20749.13,JOD
369603017-1,Zarqa,2,2,2,1,19744.40,USD
763949074-X,zaqra,2,0,1,1,29433.20,USD
860637571-3,Capital City,0,2,0,2,27532.97,JOD
525916102-5,Amman,2,0,0,2,28337.39,JOD
164361413-4,zaqra,0,1,0,1,13011.74,JOD
998283115-1,zaqra,0,2,0,1,33648.40,JOD
390226795-X,A'zarqa,1,2,2,1,45021.62,JOD
666455555-7,amman,0,1,0,2,26801.28,USD
976555518-0,Capital City,0,1,2,2,24230.68,JOD
699934484-1,zaqra,0,0,1,2,20928.84,USD
431853956-3,amman,1,2,2,2,16086.61,JOD
058704405-5,amman,0,2,1,2,19727.36,USD
442040298-9,zaqra,2,0,0,1,18699.48,USD
058660251-8,A'zarqa,1,0,2,2,41335.93,USD
612456313-4,A'zarqa,0,1,2,1,36491.96,JOD
179150135-4,zaqra,0,2,2,2,45869.99,JOD
172263877-X,Capital City,1,2,2,0,44609.59,JOD
840682468-9,Zarqa,1,2,2,2,34585.82,USD
954680532-7,Zarqa,2,0,2,1,20956.56,USD
789974020-7,amman,1,2,0,1,46842.21,USD
406794925-1,Amman,1,0,1,0,38247.64,JOD
760609165-X,Capital City,2,2,2,2,23778.61,USD
800150711-4,zaqra,2,0,0,0,45047.90,JOD
976851405-1,Capital City,2,2,1,2,39143.33,JOD
693319422-1,Amman,2,0,1,0,15017.58,USD
766224518-7,Zarqa,2,1,1,1,48214.04,JOD
889518779-2,Zarqa,0,1,2,0,49628.48,JOD
955672759-0,amman,0,0,0,0,12226.19,JOD
296018394-0,zaqra,0,1,0,2,18501.06,JOD
719117529-X,,2,2,1,1,14269.14,JOD
465926261-8,amman,1,2,1,0,30703.85,USD
028151012-1,A'zarqa,2,1,2,1,13301.26,JOD
997510583-1,Amman,0,1,0,2,48381.07,JOD
039684346-8,amman,1,0,2,0,35498.27,USD
673670944-X,amman,2,2,0,2,16101.25,USD
294785113-7,A'zarqa,0,0,0,0,21506.09,USD
460491727-2,A'zarqa,1,1,0,0,42488.12,JOD
117844675-1,zaqra,2,0,1,0,19482.54,USD
830102281-7,amman,2,2,1,1,23518.67,JOD
549578432-4,Zarqa,1,1,1,1,43248.95,USD
286165799-5,Capital City,0,1,0,1,50067.58,USD
913482443-X,A'zarqa,0,0,2,2,26984.99,USD
759790395-2,Zarqa,1,1,1,1,52644.64,USD
654091980-8,Capital City,1,1,0,2,33386.19,USD
845464375-3,zaqra,2,2,1,0,35966.72,USD
759117653-6,amman,2,1,0,2,43928.42,JOD
504076745-5,,2,2,1,1,28152.85,JOD
050814112-5,zaqra,1,2,0,0,36059.53,USD
180715090-9,Zarqa,2,2,0,2,45373.66,JOD
241959748-6,Zarqa,2,0,0,2,43988.99,USD
285920239-0,zaqra,2,1,2,1,48624.85,JOD
580086916-2,Zarqa,1,2,1,0,38494.11,USD
095415790-7,A'zarqa,0,1,2,2,40584.41,JOD
055803487-X,Capital City,0,2,0,2,38510.40,USD
587427333-6,Capital City,1,0,2,2,43897.26,JOD
970436542-X,Amman,2,2,1,0,24729.94,USD
354717882-7,amman,1,1,2,2,30762.11,USD
603428603-4,Amman,0,0,0,2,26364.29,JOD
300464559-9,,0,0,0,2,38747.77,USD
430308424-7,zaqra,0,2,1,1,32564.95,USD
188436040-8,Capital City,1,0,2,1,46569.77,USD
005592586-3,A'zarqa,2,1,1,0,39802.51,USD
308558120-0,Capital City,2,1,2,0,28805.69,JOD
314084054-3,zaqra,2,0,1,1,16142.76,USD
923020299-1,Zarqa,0,1,1,2,50664.70,JOD
980650337-6,amman,1,0,1,1,36183.75,USD
692924680-8,Amman,1,1,1,2,41216.49,USD
245043018-0,,0,2,1,0,15479.73,JOD
640332685-6,A'zarqa,1,0,2,1,17115.46,JOD
678491143-1,amman,2,1,1,0,25648.77,JOD
838922651-0,Amman,1,1,1,2,48317.88,USD
365989209-2,zaqra,2,1,2,2,28673.33,USD
872412631-4,zaqra,1,0,0,1,50898.48,USD
810183241-6,Amman,1,1,1,2,18015.82,USD
066726658-5,A'zarqa,0,2,2,0,32815.95,USD
602535562-2,Amman,1,2,2,0,18489.12,USD
398502633-5,A'zarqa,1,1,0,1,19894.80,JOD
151698751-9,Amman,2,1,2,2,27840.05,USD
149327648-4,Capital City,2,1,0,0,41253.51,USD
300517671-1,amman,2,1,0,0,31284.24,USD
096821031-7,Amman,1,0,1,2,14614.82,USD
151834372-4,Zarqa,0,0,1,0,51377.82,JOD
793765855-X,Amman,2,0,0,0,41551.72,JOD
858092355-7,zaqra,2,2,2,2,20650.33,JOD
627373862-9,Capital City,0,1,2,1,36678.46,USD
857129557-3,A'zarqa,0,0,2,2,46633.33,JOD
362641231-8,Capital City,2,0,0,0,51839.90,JOD
535878904-9,Zarqa,2,1,1,1,51875.39,JOD
464211000-3,Zarqa,1,2,0,2,22067.75,JOD
118905960-6,A'zarqa,2,2,0,0,13684.05,USD
361081078-5,Amman,0,1,0,1,14031.80,JOD
470429017-4,zaqra,0,1,1,0,28072.51,JOD
540970522-X,,0,1,1,1,12238.90,JOD
287723280-8,zaqra,2,1,1,0,18631.40,USD
979646129-3,Capital City,2,1,1,0,51724.42,JOD
840298857-1,Amman,1,1,0,2,41265.35,USD
148942076-2,Amman,2,2,0,2,15891.12,JOD
798576514-X,amman,0,1,0,2,24081.35,USD
465322257-6,zaqra,2,1,0,1,52682.07,USD
025976700-X,amman,1,2,2,0,51747.22,JOD
627450337-4,Zarqa,0,1,0,0,18551.92,JOD
639110480-8,Zarqa,2,1,1,2,30558.53,JOD
708271812-8,zaqra,2,1,1,1,46674.34,USD
629678726-X,zaqra,0,1,0,0,44694.68,JOD
218689908-6,amman,2,1,0,2,39106.68,USD
846396794-9,zaqra,2,0,0,0,47705.83,JOD
989491017-3,Capital City,2,0,2,1,20348.77,JOD
917622032-X,Capital City,1,0,1,1,36748.74,JOD
634065580-7,,2,2,2,2,16096.84,USD
932468967-3,Capital City,2,0,0,1,33047.80,USD
267101800-2,zaqra,1,1,1,2,37920.66,JOD
626919226-9,Amman,2,1,0,0,48384.69,JOD
584212782-2,Zarqa,1,0,0,0,28265.07,JOD
835388538-7,zaqra,1,1,0,1,35958.71,USD
653654161-8,Capital City,2,0,2,2,43759.66,USD
993193301-1,Zarqa,2,0,0,2,37605.48,USD
642248940-4,zaqra,0,2,0,2,16773.77,JOD
711405693-1,amman,1,2,1,2,15882.05,USD
931762990-3,Zarqa,0,1,0,1,17834.79,JOD
112639987-6,Capital City,1,2,2,1,49611.72,USD
952206404-1,A'zarqa,2,1,2,0,23642.13,JOD
420876347-7,Zarqa,0,2,1,1,18376.09,JOD
580617055-1,zaqra,1,1,2,0,37858.78,USD
687618074-3,Capital City,2,1,1,2,36781.90,USD
610242534-0,Amman,2,2,2,1,30828.41,USD
632278006-9,A'zarqa,2,1,1,0,42687.42,USD
759694232-6,,2,0,2,2,49859.86,JOD
346445494-0,zaqra,1,0,2,1,48647.57,JOD
460227469-2,Zarqa,2,2,0,2,39693.65,USD
951691341-5,Capital City,0,1,1,0,15459.13,JOD
696870991-0,Capital City,1,0,2,2,29131.69,USD
283655003-1,Amman,0,2,0,1,30913.42,JOD
699445971-3,Capital City,1,1,1,1,52302.65,USD
745026918-X,Capital City,2,1,0,1,21589.67,USD
788932185-6,Zarqa,1,0,1,1,50319.70,JOD
735227642-4,A'zarqa,0,2,0,0,13192.55,USD
297939913-2,Amman,1,0,1,1,31202.12,JOD
867790287-2,A'zarqa,1,2,2,0,37767.12,USD
190937179-3,Amman,1,1,0,1,49577.09,JOD
724858797-4,amman,1,0,0,2,16680.66,USD
716516574-6,amman,1,0,0,1,14793.95,USD
617634303-8,Zarqa,0,1,2,2,32905.22,USD
798302534-3,,1,2,1,2,45919.92,USD
953666781-9,Capital City,2,0,2,0,47940.35,USD
611401082-5,A'zarqa,0,0,1,0,43000.45,USD
751463782-6,zaqra,2,1,0,2,29495.06,USD
764019034-7,Amman,1,1,1,1,25592.26,JOD
697718870-7,zaqra,2,2,2,0,45808.55,USD
712086440-8,zaqra,1,0,1,2,13799.28,JOD
739745513-1,A'zarqa,1,0,1,2,33413.63,USD
437639942-6,,0,2,2,1,33904.61,JOD
290067377-1,Amman,2,0,1,2,36463.23,USD
894497183-8,Amman,2,0,0,0,43999.87,USD
801080246-8,zaqra,0,2,1,0,46175.94,USD
819205449-7,Amman,1,0,0,0,49980.30,JOD
278446010-X,amman,0,0,1,2,35877.38,JOD
840669010-0,amman,2,0,0,0,48790.71,USD
491140883-9,zaqra,2,0,0,1,42196.78,JOD
284483867-7,Zarqa,1,1,2,1,30008.53,USD
545674199-7,amman,1,1,2,2,42694.06,JOD
241972193-4,zaqra,1,0,0,2,24834.34,JOD
989358798-0,amman,2,2,1,0,31991.08,JOD
126919448-8,A'zarqa,0,1,1,2,14008.30,USD
019083819-1,Zarqa,2,1,0,2,26753.05,USD
230365036-4,Amman,2,0,0,0,26231.46,JOD
791549443-0,Zarqa,2,1,2,2,33364.97,JOD
592970284-5,,1,1,2,2,15949.42,USD
033779347-6,Zarqa,2,1,2,0,28530.14,JOD
178378347-8,amman,2,1,0,0,32107.36,JOD
958315396-6,Amman,0,2,0,1,39516.40,JOD
794723378-0,A'zarqa,0,0,2,2,23460.90,USD
934620908-9,Amman,0,2,0,1,29962.48,JOD
827615282-1,A'zarqa,2,1,1,0,46239.61,USD
603024846-4,Capital City,1,1,2,0,46229.56,JOD
320474143-5,A'zarqa,1,1,1,2,42021.70,JOD
048725142-3,amman,2,2,1,2,16922.03,JOD
412725863-2,Amman,0,2,2,2,35741.56,JOD
563805026-4,A'zarqa,0,1,1,2,52237.03,JOD
392432356-9,A'zarqa,0,2,1,1,14371.64,JOD
102636824-3,Zarqa,0,1,2,0,30501.61,USD
773944712-9,Amman,0,0,1,2,17785.66,JOD
589198526-8,amman,0,0,1,2,39615.20,JOD
841883544-3,Capital City,2,1,0,2,35667.53,USD
360749906-3,Capital City,2,1,0,0,25835.33,USD
600469226-3,Zarqa,2,1,2,1,50717.71,JOD
940096652-0,amman,0,1,0,1,33750.74,USD
735027494-7,zaqra,1,1,1,2,48936.01,USD
609607590-8,A'zarqa,0,2,2,1,30269.77,JOD
474381680-7,A'zarqa,1,2,1,0,37646.15,USD
945192892-8,amman,1,1,1,0,33456.66,JOD
351734022-7,Capital City,0,1,1,1,39959.35,JOD
804267818-5,Zarqa,0,1,1,2,50177.89,USD
568062628-4,Capital City,2,1,1,2,21367.62,USD
655732756-9,zaqra,2,2,2,0,29290.13,USD
829827960-3,Zarqa,1,1,1,0,28591.49,USD
248677281-2,,0,1,1,2,23381.87,USD
054159423-0,Capital City,1,0,2,2,14985.23,JOD
758298811-6,Zarqa,1,2,2,1,32829.27,USD
053820401-X,Capital City,1,0,0,2,50748.05,USD
888167869-1,Amman,0,1,1,0,40893.86,USD
021190096-6,Capital City,0,2,2,0,23499.92,JOD
159267914-5,Amman,1,0,2,0,37795.60,JOD
847701529-5,zaqra,2,1,0,2,25943.08,JOD
686319350-7,Zarqa,1,2,1,0,38703.97,JOD
465551527-9,zaqra,0,2,1,2,37235.39,JOD
938456867-8,amman,0,1,0,1,19688.65,USD
131825843-X,A'zarqa,1,0,2,0,34379.81,USD
704621500-6,A'zarqa,0,0,2,0,31106.79,JOD
485581925-5,Capital City,1,0,1,0,28433.42,JOD
871493227-X,zaqra,0,0,1,0,28146.48,JOD
664133556-9,amman,1,1,1,0,12157.42,JOD
314367159-9,amman,2,1,0,1,25623.77,JOD
632281911-9,zaqra,1,1,2,0,47016.41,JOD
312991869-8,zaqra,1,2,2,2,44768.11,JOD
857518906-9,Zarqa,2,1,1,0,51270.22,JOD
430427108-3,zaqra,1,0,0,2,51497.13,JOD
