Company,Country,Department_1,Department_2,Department_3,Department_4,Salary,Currency
440264547-6,jod,2,1,0,2,1231.95,Euro
851766873-1,Egypt,2,2,0,2,1234.73,JOD
135715578-6,JOD,2,1,2,1,1033.84,euro
046362006-2,egypt,1,2,0,2,606.45,JOD
181237061-X,JOD,0,2,1,2,789.23,JOD
258504264-2,egypt,0,0,0,0,689.55,euro
486208686-1,JOD,1,1,2,0,1229.63,JOD
022814291-1,Kuwait,1,2,1,2,1073.27,$
904347251-4,Kuwait,0,0,2,1,1235.46,usd
917559417-X,jod,0,2,2,2,642.82,usd
762711973-1,Kuwait,2,0,1,0,637.06,USD
309672737-6,Kuwait,0,2,0,1,1235.66,JOD
061107320-X,Egypt,2,0,0,2,857.70,JOD
119728155-X,jod,1,2,1,1,1410.59,usd
699247484-7,JOD,0,0,2,2,762.05,JOD
766518981-4,Jordan,0,1,1,1,1042.72,USD
762549607-4,jod,1,1,2,2,1198.18,USD
495602564-5,JOD,1,0,2,2,1196.60,usd
950100254-3,JOD,1,0,1,1,1374.64,USD
732970195-5,Egypt,0,1,1,0,802.91,Euro
515864849-2,Kuwait,0,1,2,0,1350.30,euro
565933392-3,Egypt,0,2,1,2,691.24,euro
660913351-4,egypt,0,2,2,0,1222.34,$
529462488-5,JOD,0,2,2,0,733.74,euro
521982645-X,JOD,2,0,0,2,780.86,USD
249561784-0,Kuwait,1,2,0,2,1258.60,$
170411279-6,jod,2,1,2,2,687.82,Euro
149114216-2,egypt,2,1,0,1,734.25,USD
723060069-3,jod,1,2,2,2,725.93,USD
580472427-4,Kuwait,1,0,0,0,1358.73,$
722752382-9,egypt,0,0,0,2,965.29,usd
445786887-6,Egypt,1,0,0,2,1382.05,$
719465402-4,JOD,2,1,2,1,909.98,euro
480677589-4,jod,1,0,1,1,918.14,Euro
005914530-7,egypt,1,1,2,2,743.00,Euro
316508836-5,JOD,2,2,1,2,1038.98,usd
032239853-3,JOD,1,2,2,2,820.59,$
859299106-4,Kuwait,1,2,0,0,1208.18,usd
609773431-X,jod,1,1,0,0,1097.59,$
952042248-X,JOD,1,0,2,1,1262.19,usd
265119951-6,Kuwait,1,1,1,2,1326.84,USD
427427552-3,Egypt,2,1,1,2,856.75,JOD
868387751-5,egypt,0,2,0,1,1021.38,JOD
845647350-2,egypt,0,2,0,2,1176.79,usd
762887426-6,jod,2,2,0,1,1059.09,Euro
337130881-2,JOD,2,0,0,1,981.88,JOD
098834351-7,jod,1,1,1,1,791.84,USD
847962776-X,JOD,1,2,0,1,1228.06,USD
038997752-7,Jordan,0,0,2,0,726.42,JOD
350562381-4,egypt,0,0,2,2,1439.94,$
207884430-6,Jordan,0,2,1,1,1128.24,$
195539706-6,JOD,2,2,0,2,602.78,$
500048737-0,JOD,2,0,1,1,1364.78,Euro
556093018-0,egypt,2,1,2,2,1251.13,usd
427838728-8,jod,2,0,2,2,830.44,JOD
599458361-8,Kuwait,0,2,2,1,1067.88,usd
636891151-4,jod,1,2,1,1,1000.11,euro
574434986-3,JOD,0,2,2,2,1165.51,JOD
234119635-7,JOD,0,0,0,1,1322.28,USD
019546771-X,Egypt,2,1,1,0,1063.51,USD
465485072-4,egypt,1,0,2,1,1481.43,USD
511688187-3,Kuwait,2,2,0,2,674.40,usd
313884001-9,Kuwait,0,0,2,0,853.98,euro
543102766-2,Egypt,1,0,0,2,964.28,euro
269320814-9,Egypt,1,1,1,0,604.24,Euro
923373970-8,Egypt,2,1,2,2,1419.45,usd
937362782-1,jod,1,0,2,0,619.54,$
590545622-4,egypt,0,1,1,1,1411.01,euro
419535555-9,egypt,1,1,1,1,1266.74,Euro
595352512-5,egypt,2,0,2,0,1305.81,Euro
360603079-7,JOD,0,2,2,1,723.16,$
975824981-9,egypt,1,2,2,2,984.88,JOD
558975712-6,JOD,1,0,2,2,1399.38,Euro
720409395-X,JOD,1,1,2,1,954.36,Euro
556662385-9,JOD,0,1,2,2,1005.02,Euro
237175774-8,Egypt,0,0,1,0,697.33,euro
125772002-3,jod,1,1,1,2,757.38,$
399632634-3,Egypt,1,0,1,1,1056.44,$
193328031-X,jod,0,1,2,0,1298.26,Euro
734780074-9,Jordan,2,2,2,2,795.75,Euro
514305785-X,egypt,0,2,1,2,998.57,$
353743639-4,Egypt,1,1,0,2,1273.45,JOD
107274970-X,JOD,1,0,0,0,1038.81,euro
520971132-3,JOD,2,0,1,0,1396.90,euro
549874723-3,egypt,0,1,1,1,1085.95,Euro
825780699-4,jod,2,2,1,2,868.76,USD
364066610-0,Kuwait,2,0,1,1,931.32,Euro
511556056-9,egypt,2,0,2,0,897.85,$
539504568-6,Kuwait,1,1,2,1,1323.51,$
779959205-2,egypt,1,0,1,0,916.46,JOD
352935483-X,egypt,2,0,2,1,738.57,$
739104946-8,jod,1,2,2,1,755.83,JOD
464952722-8,Kuwait,0,0,0,1,1099.02,$
256066014-8,JOD,2,2,1,0,607.23,JOD
629699882-1,jod,0,2,2,0,1439.25,JOD
662679107-9,Jordan,2,2,0,1,659.05,euro
231009832-9,Kuwait,1,1,1,2,629.17,$
360003949-0,JOD,1,1,0,1,1051.83,euro
668643569-4,Jordan,1,2,2,1,724.04,usd
517285672-2,Jordan,1,2,0,2,794.47,usd
498419943-1,jod,1,1,0,2,891.39,$
860589405-9,egypt,2,2,1,1,1280.28,Euro
743308899-7,,2,0,,1,1132.07,euro
323624400-3,egypt,1,1,0,1,1198.37,JOD
948718848-7,egypt,2,2,1,0,842.38,euro
018904629-5,Egypt,2,2,0,2,1084.59,JOD
483080211-1,Jordan,0,1,1,1,864.91,Euro
138473360-4,Kuwait,2,0,1,1,907.56,$
572634912-1,Jordan,1,0,1,2,866.14,Euro
028635898-0,Egypt,1,2,1,0,819.96,euro
632287076-9,egypt,1,0,0,1,1350.96,usd
584355796-0,jod,1,2,0,2,1075.19,JOD
365925297-2,Kuwait,0,0,2,2,1244.74,JOD
214197867-X,jod,1,2,2,0,1484.12,USD
231171292-6,Egypt,1,2,1,1,1464.98,$
352336386-1,JOD,1,1,2,0,919.83,euro
678876695-9,egypt,2,1,2,0,1101.62,JOD
253962153-8,Kuwait,2,1,2,1,1142.50,euro
638555829-0,jod,1,1,0,2,1003.95,Euro
285854094-2,Jordan,0,0,2,2,861.80,usd
747689606-8,Kuwait,2,2,2,0,936.07,usd
602874337-2,Jordan,2,0,1,0,811.72,$
743414104-2,Egypt,1,0,1,0,718.43,JOD
453001400-2,Egypt,0,2,1,1,1279.80,USD
428588996-X,egypt,2,1,1,1,638.94,usd
715354809-2,jod,0,1,2,0,774.94,usd
817881125-1,Egypt,1,1,2,0,1239.23,usd
617585218-4,Egypt,0,0,2,0,781.02,JOD
332155266-3,Egypt,1,0,0,0,1135.19,JOD
580080335-8,Jordan,0,1,1,1,970.38,$
823665505-9,egypt,1,1,1,1,1450.12,usd
765316605-9,Kuwait,2,1,0,0,1115.90,Euro
894844201-5,Kuwait,1,2,2,0,811.42,JOD
657633126-6,Egypt,2,0,1,1,1096.06,usd
246479884-3,jod,0,0,2,0,1191.94,Euro
295492567-1,JOD,1,2,1,2,1347.96,euro
717251810-1,JOD,0,1,2,0,915.71,usd
489495180-0,egypt,1,0,0,1,1173.75,$
306091591-1,jod,0,2,2,0,1044.40,JOD
528708868-X,egypt,0,2,2,0,1369.54,usd
250007631-8,Egypt,1,2,1,1,1172.72,USD
934699077-5,jod,0,0,2,2,1143.01,JOD
866176542-0,Egypt,1,0,2,1,1482.06,euro
096745563-4,Egypt,1,1,2,1,1388.93,usd
233507005-3,JOD,2,2,0,2,682.97,euro
660779568-4,Egypt,1,0,1,2,1127.77,Euro
047238935-1,JOD,1,0,0,0,878.27,usd
356470132-X,jod,2,0,2,2,689.07,usd
578211532-7,Kuwait,2,2,1,0,955.47,Euro
584527398-6,Kuwait,1,1,1,0,884.80,USD
225491043-4,jod,0,1,0,1,670.07,Euro
736336322-6,Jordan,2,0,1,0,1486.68,Euro
716523748-8,JOD,1,1,1,2,984.81,USD
334597717-6,,2,2,,2,884.86,JOD
932010297-X,jod,1,1,1,0,1440.22,$
955179783-3,Kuwait,0,2,0,2,1391.95,JOD
979610207-2,Egypt,1,2,2,0,1077.79,USD
111253217-X,jod,1,0,1,2,772.61,Euro
868198335-0,egypt,0,1,2,2,1343.81,usd
272817875-5,JOD,0,0,1,1,1043.02,USD
834298530-X,JOD,1,1,0,2,1472.04,usd
945733787-5,egypt,1,2,1,1,788.32,euro
076940574-6,JOD,2,0,1,2,1149.82,USD
195610058-X,egypt,0,1,2,1,1411.13,euro
341613645-4,Kuwait,2,2,0,0,726.63,euro
458536315-7,Jordan,0,0,2,2,1378.01,$
259462156-0,Jordan,1,0,0,1,1214.97,euro
520316149-6,Jordan,2,1,0,0,1181.72,JOD
512107158-2,Egypt,2,0,0,1,954.15,euro
671501692-5,jod,1,2,0,2,1293.28,USD
405654514-6,Kuwait,2,0,0,1,858.49,$
249337604-8,Jordan,2,1,1,0,1314.54,usd
861334662-6,Egypt,1,2,1,2,1378.79,euro
242855072-1,egypt,1,2,2,2,1362.16,USD
827686249-7,Egypt,2,0,2,1,608.54,JOD
767491199-3,Egypt,0,2,2,2,639.57,USD
185190431-X,Egypt,0,0,1,2,808.56,$
981681555-9,Jordan,1,1,2,1,910.38,euro
561179244-8,egypt,2,1,0,2,818.25,$
451151150-0,JOD,1,2,1,2,919.51,USD
315962043-3,Jordan,2,1,2,0,1373.11,JOD
774056881-3,Egypt,1,2,2,0,1473.21,euro
068262067-X,jod,1,1,2,1,870.63,USD
747632217-7,Jordan,1,1,1,1,1073.04,usd
040342557-3,JOD,0,1,0,0,1355.76,USD
524957446-7,JOD,1,1,1,2,626.67,JOD
220792481-5,Jordan,0,1,0,0,841.34,JOD
311560695-8,Jordan,1,0,0,1,743.16,USD
687096238-3,egypt,1,0,2,0,902.54,euro
767086418-4,JOD,2,2,1,0,1230.00,usd
945671144-7,JOD,0,0,0,2,1193.00,euro
943035351-9,jod,1,1,2,2,675.06,JOD
709691992-9,Kuwait,0,0,1,2,897.22,$
207416959-0,Egypt,0,0,2,1,993.72,$
930768160-0,egypt,2,2,2,2,1346.26,JOD
899720799-7,Jordan,2,1,0,1,1227.38,Euro
306537574-5,Kuwait,2,1,2,0,643.50,$
007064283-4,jod,0,0,1,2,887.21,JOD
208505029-8,Kuwait,2,0,1,1,716.64,JOD
677251033-X,,1,1,,0,820.85,JOD
608828211-8,egypt,1,0,1,1,1091.07,$
021272205-0,jod,1,0,0,0,868.71,JOD
338309047-7,Kuwait,2,0,1,2,670.23,Euro
402821810-1,Egypt,1,1,2,2,1456.56,Euro
503865022-8,Jordan,0,1,2,0,835.17,JOD
438089283-2,egypt,1,2,0,2,1071.49,euro
372483890-5,Egypt,0,2,0,2,998.78,Euro
873603830-X,Kuwait,2,0,2,0,1007.42,usd
121206643-X,jod,1,0,0,0,1207.03,euro
559402262-7,JOD,2,2,2,1,1375.90,JOD
150625393-8,jod,0,2,2,1,801.70,usd
637322695-6,egypt,1,2,1,2,1145.59,euro
966343678-6,egypt,0,0,0,0,939.23,usd
469756740-4,egypt,2,1,0,1,1057.80,$
239745589-7,jod,0,0,1,0,643.54,usd
069618248-3,egypt,0,2,1,0,698.42,USD
023534825-2,Kuwait,1,1,0,2,1180.80,USD
703464482-9,Jordan,1,2,0,2,762.27,$
547805705-3,Kuwait,0,1,2,0,1430.94,$
808435284-9,jod,0,1,0,0,696.95,usd
326695145-X,Egypt,1,1,0,2,739.45,euro
774347906-4,Kuwait,0,0,0,1,1441.56,Euro
784486445-1,egypt,0,1,2,0,725.44,euro
528824538-X,JOD,0,0,1,2,991.15,USD
799740471-6,Egypt,2,2,2,0,769.80,Euro
147977874-5,JOD,1,1,2,0,961.34,usd
638012252-4,Kuwait,1,2,1,0,908.22,usd
127532447-9,egypt,0,0,1,2,998.94,euro
746065564-3,egypt,2,1,0,2,1101.38,usd
220402942-4,JOD,2,2,1,2,1194.68,$
271062299-8,egypt,0,2,2,1,1221.83,JOD
578180790-X,Egypt,2,1,2,0,887.80,euro
758999485-5,jod,2,1,2,0,602.80,USD
683884929-1,jod,1,0,2,0,826.81,Euro
736992996-5,Kuwait,2,1,0,0,1011.28,JOD
381224067-X,Egypt,1,0,0,1,735.28,$
226261299-4,,2,1,,0,757.89,Euro
724702146-2,Kuwait,2,1,1,1,1475.63,Euro
028953702-9,Kuwait,0,2,1,1,1258.85,usd
320280547-9,JOD,1,1,0,0,661.85,Euro
593223189-0,egypt,2,0,0,2,1310.74,$
736627986-2,Egypt,2,2,2,1,815.04,USD
698468297-5,jod,2,1,0,1,676.94,USD
385658151-0,jod,2,1,2,2,1205.65,USD
500958553-7,Egypt,2,2,1,1,1496.18,usd
568825378-9,egypt,2,0,2,0,1387.43,$
930863888-1,JOD,0,2,2,1,853.58,USD
504164307-5,Jordan,0,1,1,0,1195.09,$
215844164-X,Egypt,2,1,2,0,762.26,USD
860301113-3,JOD,1,1,2,2,1175.69,USD
645425048-2,Jordan,1,1,1,2,785.31,Euro
890988699-4,egypt,0,2,1,0,804.26,euro
084759657-5,Egypt,2,2,0,1,886.78,Euro
595789878-3,Jordan,2,0,2,0,923.11,$
842622383-4,JOD,1,0,0,1,929.93,$
688462556-2,Jordan,0,0,1,2,894.68,euro
549044153-4,egypt,1,1,0,0,1040.70,euro
212683101-9,Egypt,2,0,1,0,1179.09,USD
662166704-3,Egypt,0,1,2,1,719.27,USD
976512421-X,jod,2,1,1,0,738.41,euro
316978706-3,Kuwait,1,1,0,2,1316.97,JOD
478354020-9,JOD,2,2,1,0,607.92,euro
637983134-7,Egypt,0,1,1,1,824.30,euro
022077945-7,Egypt,2,0,2,1,910.76,JOD
813192329-0,Kuwait,1,1,0,1,621.60,JOD
164643794-2,jod,1,2,1,1,818.32,JOD
141804533-0,jod,0,0,1,1,853.52,USD
381971836-2,JOD,0,2,1,2,1388.53,USD
910762365-8,JOD,1,2,0,0,1274.38,JOD
334440943-3,Kuwait,2,1,0,1,1118.34,usd
452705282-9,egypt,2,1,1,2,613.61,USD
994427533-6,egypt,1,2,1,2,1012.53,Euro
388463702-9,Kuwait,0,0,2,1,1272.54,JOD
790412148-4,Kuwait,2,2,2,2,1069.68,$
076169472-2,Egypt,1,2,0,1,727.63,$
218408492-1,egypt,1,1,1,2,869.35,$
845243785-4,JOD,2,2,2,0,1164.40,euro
948835900-5,JOD,2,0,2,0,1447.91,usd
951546248-7,JOD,1,0,0,2,1201.77,Euro
451453862-0,jod,0,2,2,1,1181.43,USD
002031996-7,JOD,0,2,2,1,746.43,usd
163144002-0,Egypt,1,2,2,0,834.06,usd
305043184-9,egypt,2,2,2,1,1339.57,$
508579592-X,Egypt,0,1,0,1,960.52,USD
838784346-6,egypt,1,1,1,1,1330.60,usd
494284811-3,Kuwait,2,0,2,2,1214.95,JOD
048354564-3,jod,1,1,0,1,795.58,USD
354396642-1,Kuwait,2,2,2,0,897.21,$
777879261-3,jod,1,0,0,2,1219.76,Euro
098054575-7,Jordan,0,1,0,1,1067.48,JOD
896764647-X,egypt,1,2,0,2,999.12,JOD
590939271-9,Jordan,2,0,0,0,1007.42,JOD
002209262-5,egypt,2,1,1,1,1234.27,USD
957792034-9,Jordan,1,2,2,0,1250.39,euro
106974128-0,jod,0,2,2,2,956.88,JOD
833070750-4,Jordan,2,1,0,2,804.91,JOD
324473052-3,jod,1,2,2,1,1011.92,USD
163309784-6,Kuwait,0,1,1,1,1205.73,euro
398604562-7,Jordan,0,2,2,0,1433.32,$
280381461-7,jod,1,0,1,0,1191.91,euro
926890110-2,Jordan,1,1,2,1,877.87,euro
203187348-2,Jordan,1,0,2,2,1395.23,USD
227950695-5,Kuwait,1,0,1,0,683.16,euro
400775016-5,egypt,0,1,1,2,1259.06,Euro
476107477-9,egypt,0,0,1,2,973.30,usd
497109640-X,egypt,0,2,2,1,1112.51,Euro
145425560-9,jod,0,1,2,0,1269.95,euro
533758781-1,jod,2,1,0,1,1356.06,usd
808503702-5,JOD,1,0,0,2,1065.32,JOD
526326031-8,jod,0,1,1,0,1067.34,usd
617649439-7,egypt,1,0,0,0,1455.75,Euro
764110217-4,Kuwait,2,0,0,1,1325.66,JOD
891216443-0,egypt,2,2,2,0,1304.76,Euro
972335384-9,JOD,1,1,0,2,636.46,JOD
758180421-6,jod,2,0,2,2,709.05,JOD
481041603-8,Kuwait,0,0,1,1,710.52,usd
504712275-1,Jordan,0,0,2,1,960.35,euro
291772471-4,JOD,0,2,2,1,1375.88,$
792183152-4,JOD,1,0,2,1,1468.86,usd
537508059-1,JOD,0,1,2,1,915.99,usd
469407506-3,JOD,1,2,2,2,1378.67,JOD
271542050-1,egypt,0,1,2,2,1217.44,$
912627764-6,,0,2,,0,937.55,USD
647749198-2,jod,0,1,2,1,972.62,usd
065023374-3,Egypt,0,1,2,0,693.56,$
499760470-4,Kuwait,1,2,1,0,1002.99,usd
104735324-5,egypt,1,1,1,1,1491.59,usd
047056936-0,Egypt,1,1,2,1,922.34,$
862699505-9,Jordan,1,2,2,1,656.99,usd
434037875-5,JOD,1,1,0,1,928.61,$
899329940-4,Kuwait,1,2,0,0,991.98,$
355414701-X,JOD,2,1,1,0,870.94,USD
055957049-X,jod,0,2,0,0,1198.06,JOD
088575718-1,Jordan,0,0,2,0,934.40,JOD
533059444-8,Kuwait,2,0,0,1,1073.15,euro
712121698-1,Egypt,1,0,2,1,1070.77,euro
563906419-6,jod,1,2,0,0,1300.14,euro
944963009-7,Kuwait,0,1,1,2,975.22,$
663180129-X,jod,1,2,0,1,1378.96,JOD
289439702-X,Kuwait,0,2,1,0,1397.37,Euro
312266581-6,jod,2,2,2,2,892.16,usd
171792162-0,Jordan,2,1,0,0,1079.96,usd
930664526-0,Egypt,0,1,2,1,1124.09,USD
431213561-4,,2,0,,1,710.09,USD
383101751-4,JOD,1,0,0,1,616.25,Euro
069904061-2,jod,0,0,2,2,1221.27,USD
055760061-8,JOD,1,0,1,2,1148.51,USD
016630315-1,Kuwait,2,1,0,0,787.33,USD
623721849-1,JOD,2,0,1,2,712.50,usd
257055703-X,Jordan,0,1,1,2,1360.88,Euro
089335884-3,egypt,2,2,2,0,717.76,usd
578783020-2,Kuwait,1,0,1,2,1111.76,$
328047516-3,JOD,1,1,1,0,1269.62,usd
221439269-6,Egypt,2,1,1,2,1067.79,euro
680019607-X,Kuwait,0,0,0,0,1420.37,Euro
997597119-9,Jordan,1,2,0,1,1387.27,euro
218717127-2,egypt,0,1,0,2,1204.95,Euro
848734089-X,Jordan,1,2,0,1,831.28,Euro
680655664-7,jod,2,0,1,2,1139.56,usd
206885774-X,Egypt,2,1,2,0,1411.44,usd
091795646-X,Jordan,2,1,0,1,1031.62,$
832352503-X,Egypt,0,0,0,2,1264.41,usd
067801138-9,egypt,1,0,0,2,1385.24,Euro
020553442-2,JOD,1,0,0,0,1236.66,usd
266242565-2,Egypt,2,0,1,0,767.38,USD
425742381-1,JOD,0,1,2,0,705.82,USD
471257901-3,JOD,0,2,1,0,883.60,JOD
095143424-1,jod,0,0,1,0,605.83,Euro
900306290-0,JOD,1,1,0,1,775.89,usd
002094217-6,egypt,2,0,0,2,1263.65,Euro
590348374-7,JOD,1,1,2,1,612.65,USD
715893861-1,jod,2,2,1,0,772.21,$
663488767-5,Egypt,1,2,2,2,748.44,usd
703916117-6,Kuwait,2,1,1,1,1114.26,USD
234039289-6,Kuwait,2,2,2,2,975.94,euro
790914462-8,jod,0,0,1,0,854.03,USD
997596378-1,JOD,0,1,2,1,700.05,euro
909066289-8,JOD,1,1,0,0,1308.19,usd
528081561-6,jod,0,2,1,1,648.17,JOD
627217134-X,Jordan,1,0,0,0,965.64,JOD
482907103-6,egypt,1,1,1,1,695.61,JOD
906860916-5,jod,2,0,1,2,903.20,usd
611050740-7,Egypt,0,1,2,2,1186.48,USD
235956685-7,egypt,2,2,1,0,1397.12,Euro
507142793-1,Egypt,0,2,1,0,1179.45,euro
732385279-X,egypt,0,1,1,1,873.36,USD
187045689-0,Jordan,2,2,2,2,722.91,Euro
962459997-1,egypt,2,1,0,1,1460.68,JOD
054443087-5,jod,2,0,0,1,1043.92,usd
212774295-8,,0,0,,1,948.68,Euro
910686924-6,Jordan,0,0,1,2,960.41,usd
974242075-0,Egypt,0,2,1,1,957.45,USD
293185356-9,jod,0,0,1,2,1124.24,euro
776133892-2,JOD,1,2,0,2,676.55,Euro
650442702-X,JOD,2,1,1,0,1025.87,euro
259433745-5,Jordan,0,1,1,1,1048.93,Euro
510022755-9,JOD,2,2,0,1,1132.58,$
976455791-0,JOD,0,0,1,1,829.73,Euro
339705666-7,jod,1,1,1,1,1120.66,USD
767729325-5,Egypt,0,1,2,0,1129.43,USD
262993755-0,Egypt,2,1,2,2,870.51,usd
082195167-X,jod,0,1,2,1,1480.72,euro
943288776-6,JOD,0,0,0,0,1493.02,$
769652735-5,Egypt,0,2,0,2,645.93,usd
875009029-1,Kuwait,1,2,1,2,896.64,JOD
100509303-2,Egypt,2,1,0,1,1225.42,JOD
186782245-8,jod,1,2,2,2,1369.52,Euro
916470491-2,,0,2,,0,1004.68,USD
280624799-3,,1,0,,1,1459.30,euro
200053052-4,egypt,2,0,2,2,661.94,euro
912758640-5,Egypt,0,2,1,1,1045.88,euro
713688630-9,egypt,1,1,0,2,604.47,usd
387001201-3,JOD,1,1,2,2,775.95,euro
499679610-3,JOD,2,1,2,1,1448.02,euro
690549278-7,Kuwait,1,2,0,1,695.22,usd
977488190-7,JOD,1,0,2,1,1499.57,Euro
288506989-9,Egypt,1,1,2,1,1007.35,USD
919534999-5,Jordan,1,2,2,2,927.35,JOD
931867481-3,JOD,0,0,0,0,1320.30,Euro
168044239-2,JOD,0,2,1,2,833.83,Euro
918676788-7,egypt,1,0,0,1,1286.99,usd
994755716-2,,1,1,,2,1392.23,USD
894020389-5,Egypt,1,0,2,0,1053.29,Euro
920164887-1,Jordan,0,0,2,1,1313.99,JOD
023154432-4,JOD,2,2,2,2,1313.22,$
695560340-X,JOD,2,2,0,0,1303.08,usd
810422405-0,jod,1,0,0,0,1112.96,usd
076591813-7,Kuwait,0,2,0,2,923.58,JOD
397293051-8,Kuwait,2,0,2,2,1052.44,JOD
967018077-5,egypt,0,0,1,0,1392.15,euro
488532257-X,egypt,0,1,2,0,725.52,Euro
078494294-3,Jordan,1,2,0,0,1429.55,$
775451675-6,Kuwait,0,1,0,0,1422.80,$
743690965-7,Egypt,1,1,0,0,720.18,usd
195422579-2,JOD,1,1,2,1,1305.67,Euro
580455332-1,egypt,1,1,2,1,721.45,euro
705493653-1,Egypt,2,2,1,1,796.78,euro
654273550-X,Egypt,1,0,2,1,1223.27,usd
376384426-0,JOD,2,0,2,1,1442.96,Euro
529144410-X,egypt,2,0,0,1,679.64,euro
573143073-X,Egypt,1,1,2,1,1396.62,usd
501691351-X,JOD,0,1,2,2,777.64,Euro
103137649-6,Kuwait,2,1,0,1,847.70,usd
638195184-2,egypt,2,2,2,1,825.84,usd
320261563-7,Egypt,0,2,0,2,892.27,usd
536742368-X,Kuwait,2,0,2,0,670.79,$
171344626-X,Egypt,2,1,1,2,1274.31,$
054465655-5,Egypt,1,0,1,1,1017.52,JOD
191197508-0,egypt,2,1,0,0,763.66,$
413574774-4,jod,0,0,1,1,907.43,$
550879476-X,JOD,1,2,2,0,1435.10,JOD
519810050-1,Egypt,2,2,1,2,840.43,usd
480039527-5,Egypt,0,2,2,0,1495.24,JOD
460578566-3,jod,1,1,1,2,1150.83,JOD
381229074-X,Kuwait,0,0,0,0,1313.93,usd
399910074-5,Jordan,2,2,1,2,1012.92,Euro
065916389-6,Egypt,0,2,2,2,1325.13,JOD
088790445-9,Kuwait,1,2,1,2,1334.88,$
369936870-X,Egypt,0,2,0,1,1343.56,euro
291538174-7,Egypt,1,2,2,2,1251.86,JOD
423625022-5,Egypt,0,2,0,0,1059.96,Euro
322147769-4,Egypt,1,0,2,0,1097.20,Euro
739475407-3,Jordan,2,1,2,1,1026.08,Euro
540350615-2,JOD,2,1,1,1,1453.31,JOD
146242818-5,JOD,2,1,2,0,1387.95,USD
409804076-X,JOD,2,0,1,0,1475.88,usd
634369241-X,Egypt,1,1,2,1,1238.68,JOD
261790463-6,Egypt,0,1,1,1,1369.34,euro
706510957-7,Kuwait,2,1,0,1,645.89,JOD
300112414-8,JOD,0,1,1,2,1266.89,$
952974293-2,jod,0,0,1,2,829.95,USD
553936568-2,egypt,1,2,0,1,1361.57,JOD
560122120-0,Jordan,1,1,1,0,1302.98,JOD
097922579-5,JOD,1,0,2,0,1119.43,USD
020502601-X,jod,1,1,1,2,1250.16,usd
688159064-4,Kuwait,0,2,2,2,863.51,USD
556267151-4,Egypt,1,1,0,2,641.50,euro
150523289-9,JOD,1,0,2,1,1252.87,Euro
950282540-3,Jordan,1,0,0,0,1129.23,$
461669770-1,Kuwait,1,1,0,2,1329.68,usd
271085539-9,Kuwait,1,1,1,1,1365.29,usd
377182744-2,JOD,0,1,1,2,851.70,USD
190288127-3,Kuwait,0,1,1,0,1101.63,USD
676925771-8,Jordan,0,1,2,1,1083.63,JOD
587704136-3,jod,0,2,2,2,1315.60,euro
975169482-5,egypt,0,2,0,0,645.13,USD
325126038-3,egypt,2,1,1,0,1230.19,JOD
557779859-0,JOD,1,0,2,0,1033.13,$
026391027-X,egypt,0,1,2,2,699.43,JOD
406458456-2,JOD,1,1,2,1,1067.54,USD
705726897-1,Kuwait,1,1,0,2,908.26,JOD
175916773-8,,2,2,,0,1326.06,USD
692361332-9,egypt,1,0,2,2,1156.49,JOD
858641319-4,Jordan,0,1,1,0,1261.96,usd
451041495-1,jod,1,1,0,2,1302.96,$
500759858-5,egypt,1,0,2,1,1422.80,Euro
368714280-9,Egypt,0,1,2,2,1183.16,JOD
955792177-3,Kuwait,0,0,2,1,883.55,$
655219692-X,egypt,2,1,2,0,1071.59,USD
883657826-8,jod,1,0,0,2,1465.06,$
485171943-4,jod,2,1,0,1,1116.77,Euro
802155144-5,Jordan,0,0,0,0,1405.54,$
481933345-3,Kuwait,1,0,1,2,1482.71,usd
274260222-4,Kuwait,1,0,0,1,1113.49,euro
346536313-2,Egypt,2,0,2,2,916.29,$
184035398-8,jod,1,0,1,2,1066.66,usd
053700569-2,Jordan,1,1,1,2,838.66,USD
191069994-2,Egypt,1,0,2,1,762.71,Euro
081443988-8,JOD,2,2,2,1,1415.00,Euro
312170512-1,jod,2,1,0,2,1256.17,Euro
239223634-8,JOD,1,2,1,2,1112.15,$
584062428-4,Egypt,2,1,2,2,776.63,JOD
836931300-0,JOD,1,2,0,1,604.29,$
183722641-5,Jordan,0,0,2,0,825.91,Euro
534159839-3,Kuwait,0,2,1,1,1336.35,Euro
186863917-7,Kuwait,2,1,0,2,609.90,JOD
122589642-8,JOD,1,0,2,1,957.66,Euro
442916422-3,Egypt,2,0,1,1,948.95,euro
893232592-8,Egypt,1,1,1,0,1368.04,usd
604176742-5,jod,1,1,2,1,1181.55,JOD
625479635-X,,0,1,,1,1017.51,USD
626107875-0,jod,2,2,0,0,795.17,usd
715179483-5,Egypt,2,1,0,1,1277.43,USD
069123914-2,Egypt,1,2,1,0,720.92,euro
265359779-9,jod,2,2,0,0,1154.36,$
388199243-X,Jordan,2,1,1,2,886.87,euro
867835933-1,egypt,1,2,1,0,1150.68,Euro
396836950-5,JOD,0,0,0,1,870.44,$
058722539-4,Egypt,0,2,1,1,1073.03,euro
657585381-1,Kuwait,0,1,1,1,737.30,USD
562879552-6,Jordan,2,0,0,2,1114.93,euro
694209662-8,Kuwait,1,1,2,1,1048.83,JOD
825369068-1,Egypt,0,0,1,0,629.14,$
637552737-6,jod,0,1,0,1,1242.73,USD
568552160-X,Kuwait,2,1,2,1,1211.68,euro
