Project_ID,Programming Language,Employee_1,Employee_2,Employee_3,Employee_4,Award,Currency
483419915-0,PYTHON,2,1,2,2,327.31,Euro
551611025-4,c++,2,0,1,0,147.23,Euro
615397340-X,JAVA,1,2,1,1,194.21,USD
330497373-7,C++,1,1,0,1,120.04,Euro
292971526-X,R,1,0,1,2,305.74,Euro
649014265-1,java,1,1,0,2,350.32,Euro
336997281-6,c++,0,2,2,2,236.54,Euro
880973139-5,c++,2,1,0,2,293.36,Euro
182558106-1,java,0,0,0,0,190.89,JOD
649054179-3,C++,0,0,2,0,223.90,JOD
563010310-5,java,1,,1,1,415.77,USD
712942248-3,Python,2,2,0,1,184.37,USD
282139554-X,C++,0,2,1,1,167.54,Euro
507528622-4,R,0,2,0,0,441.06,JOD
775852418-4,C++,0,1,0,0,359.46,JOD
941168280-4,java,0,1,0,1,334.37,USD
544833567-5,PYTHON,0,2,1,2,401.95,USD
658252482-8,java,1,2,1,1,395.63,JOD
731499898-1,Python,0,0,2,0,377.52,USD
839847683-4,c++,0,,0,1,278.86,Euro
562034791-5,R,2,2,2,1,411.03,JOD
075726470-0,Python,0,0,1,1,392.03,USD
628568723-4,R,1,2,0,1,122.78,JOD
623578316-7,R,2,1,0,0,446.94,Euro
849842000-8,Python,2,0,1,0,103.36,USD
615634075-0,JAVA,2,1,2,1,215.84,USD
266489876-0,C++,0,2,2,2,275.83,USD
746348334-7,java,0,2,0,2,266.31,Euro
712988633-1,R,1,2,2,2,244.14,Euro
921757716-2,C++,2,0,0,1,126.59,Euro
487136874-2,C++,2,0,0,2,178.67,Euro
020678241-1,JAVA,0,2,2,1,496.28,USD
629998361-2,Python,1,2,0,0,258.24,Euro
275919059-5,c++,1,0,0,2,468.23,Euro
131989931-5,java,0,2,2,0,133.60,Euro
961841697-6,c++,1,0,2,2,171.61,JOD
673086891-0,PYTHON,2,2,0,1,227.97,USD
202835651-0,C++,2,1,2,2,304.44,JOD
017970768-X,JAVA,2,0,0,2,499.83,JOD
616452095-9,R,1,,0,0,296.86,JOD
116557768-2,Python,0,1,1,0,232.32,Euro
074856525-6,R,0,,2,1,133.12,USD
457639928-4,java,0,2,0,0,283.71,JOD
362542923-3,JAVA,2,1,2,0,442.27,JOD
727303516-5,JAVA,1,0,0,1,225.79,USD
870366790-1,JAVA,2,0,1,2,425.19,USD
697354435-5,Python,0,0,1,2,454.39,Euro
983959984-4,Python,2,0,1,0,116.18,USD
562524925-3,JAVA,0,1,2,0,485.24,USD
465112715-0,C++,1,2,2,0,222.24,Euro
446655174-X,c++,0,1,0,2,241.29,USD
887962756-2,C++,0,2,0,2,314.76,JOD
863524110-X,JAVA,0,1,0,2,205.36,JOD
595148316-6,java,1,0,1,1,497.40,Euro
005468171-5,PYTHON,1,0,0,2,294.90,USD
653415794-2,JAVA,2,0,2,0,143.03,JOD
814422808-1,R,1,1,1,0,133.21,USD
956286505-3,java,0,0,0,0,409.29,Euro
088810231-3,R,1,2,0,1,331.75,USD
516992504-2,PYTHON,2,0,1,1,348.35,USD
862163750-2,java,0,1,0,0,125.51,Euro
367927737-7,C++,0,0,2,2,111.10,JOD
279877661-9,Python,1,1,2,0,414.22,JOD
733775965-7,JAVA,1,,2,2,276.97,Euro
865346445-X,C++,1,1,2,2,172.86,USD
982887836-4,PYTHON,2,1,0,0,395.28,JOD
969010330-X,R,0,0,1,2,403.93,JOD
088605288-2,C++,1,2,0,0,345.33,Euro
798746605-0,,0,0,0,1,196.71,JOD
060711617-X,C++,0,1,0,2,234.63,Euro
625669152-0,PYTHON,1,1,0,1,153.25,JOD
435979964-0,PYTHON,0,2,1,2,496.72,Euro
910668969-8,java,0,0,2,1,319.80,Euro
467562113-9,JAVA,1,1,1,1,139.62,JOD
839636751-5,Python,2,0,2,2,133.86,USD
685318707-5,c++,2,2,2,0,294.22,JOD
324826210-9,c++,0,1,1,2,374.77,JOD
438722724-9,PYTHON,1,2,1,1,247.76,Euro
021891351-6,JAVA,1,0,1,0,199.28,USD
163671014-X,c++,2,0,0,2,332.37,USD
165000411-7,Python,0,0,0,1,132.71,Euro
441139475-8,PYTHON,1,0,2,0,284.88,Euro
396884184-0,Python,0,0,2,2,490.81,Euro
432558828-0,R,0,2,2,2,333.08,Euro
480759409-5,Python,1,2,2,1,282.16,JOD
538221182-5,R,0,1,0,2,298.67,USD
995596213-5,PYTHON,1,0,0,1,215.71,JOD
306255101-1,C++,1,2,2,2,408.83,JOD
823303523-8,PYTHON,0,1,2,0,321.07,JOD
727544187-X,R,2,1,2,0,378.31,USD
288011877-8,PYTHON,1,0,1,1,477.51,Euro
082565797-0,Python,0,2,1,2,383.46,USD
941428185-1,PYTHON,2,0,0,0,292.21,JOD
121902464-3,java,1,2,1,1,195.97,Euro
154946127-3,R,0,1,2,0,421.38,Euro
831661327-1,C++,2,1,1,0,430.25,JOD
434671568-0,c++,2,1,0,2,160.64,USD
527201880-X,C++,2,1,0,0,162.25,Euro
419548557-6,Python,2,1,0,1,424.28,USD
571199306-2,c++,1,1,0,1,151.11,Euro
356617476-9,C++,1,0,2,0,386.98,Euro
536150975-2,c++,0,1,2,0,269.95,Euro
228739530-X,java,0,0,2,0,487.15,USD
422017028-6,JAVA,1,1,1,1,296.70,Euro
927128931-5,c++,1,1,2,1,429.85,JOD
888920342-0,C++,0,2,0,2,105.44,JOD
132503231-X,R,0,1,2,1,314.66,Euro
504020845-6,JAVA,1,1,2,1,277.11,JOD
502520497-6,JAVA,0,2,1,1,416.80,USD
600465861-8,JAVA,2,2,1,0,484.24,JOD
619049577-X,c++,2,2,2,1,311.05,USD
994600126-8,PYTHON,1,0,0,2,119.32,JOD
304560813-2,JAVA,2,2,1,1,456.39,JOD
757041648-1,c++,2,1,1,2,247.99,Euro
291796494-4,C++,2,2,2,0,178.06,JOD
721748085-X,c++,0,1,1,0,458.77,Euro
271809898-8,c++,0,2,2,0,325.11,USD
620893221-1,c++,2,0,0,1,354.54,JOD
658879002-3,JAVA,2,1,0,2,274.02,Euro
310348425-9,C++,2,1,0,2,110.60,USD
747108181-3,c++,0,2,0,2,140.07,JOD
646903369-5,Python,2,1,0,0,474.49,Euro
768653865-6,JAVA,0,0,0,0,314.68,USD
977024204-7,java,1,1,1,2,463.86,USD
804709380-0,R,0,2,0,2,357.58,Euro
053068665-1,c++,0,2,2,1,292.94,Euro
109870337-5,JAVA,0,2,2,2,319.80,JOD
335841507-4,java,2,1,0,0,271.83,Euro
597664358-2,JAVA,2,0,1,2,164.80,USD
969370547-5,JAVA,1,0,1,2,251.34,Euro
285261198-8,c++,1,0,0,2,266.17,Euro
507528613-5,PYTHON,0,0,2,0,165.33,JOD
769679999-1,JAVA,1,,2,2,153.76,USD
283927624-0,C++,1,0,2,0,402.71,Euro
713794474-4,PYTHON,0,1,0,1,216.26,Euro
530212256-1,java,2,2,0,2,382.64,JOD
020129276-9,Python,2,1,0,0,384.95,JOD
015087446-4,PYTHON,0,0,1,1,358.28,USD
989460925-2,JAVA,0,0,0,1,417.80,Euro
491785162-9,C++,2,2,1,0,238.19,JOD
567697994-1,PYTHON,1,1,2,0,297.37,Euro
946460395-X,Python,2,0,2,2,235.76,Euro
732956895-3,Python,2,1,0,0,194.41,Euro
248666712-1,Python,0,0,2,2,431.78,JOD
368902836-1,C++,2,2,2,1,268.22,USD
552097288-5,PYTHON,0,1,2,0,416.86,USD
215681746-4,C++,2,1,0,0,270.07,JOD
643336857-3,C++,1,0,1,1,437.24,USD
973736035-4,C++,0,0,0,2,202.69,Euro
917847373-X,C++,2,2,2,2,344.88,USD
224302713-5,C++,0,2,2,0,492.99,Euro
390131921-2,C++,2,1,0,2,434.58,USD
585603969-6,JAVA,1,1,0,0,468.62,Euro
436590031-5,PYTHON,0,1,2,1,207.99,JOD
483501185-6,JAVA,2,0,1,0,172.86,JOD
268231089-3,JAVA,2,2,0,2,135.45,Euro
395819422-2,java,1,0,2,1,438.04,Euro
228208481-0,Python,2,0,2,0,317.62,JOD
547739380-7,C++,2,2,1,1,325.81,JOD
216349725-9,java,1,2,0,1,414.04,JOD
707801529-0,Python,0,0,0,2,109.98,Euro
557682259-5,PYTHON,2,0,0,2,476.95,JOD
080362930-3,C++,0,0,1,1,389.01,Euro
928015614-4,c++,0,2,0,1,452.92,Euro
683840005-7,C++,1,1,1,1,165.35,USD
482198502-0,java,0,0,1,2,408.33,JOD
661680195-0,c++,1,1,0,0,170.34,USD
415779711-6,R,2,0,1,2,343.01,Euro
853727853-X,C++,2,0,2,1,473.49,USD
382225294-8,Python,1,0,0,2,337.23,Euro
277462932-2,Python,1,1,0,2,456.75,JOD
107120089-5,C++,1,1,1,1,379.13,USD
335766359-7,C++,0,1,2,1,102.05,Euro
851523900-0,Python,1,1,1,2,251.70,Euro
299902006-6,Python,1,,0,0,143.46,USD
142390090-1,R,1,2,0,1,200.16,Euro
884715320-4,R,1,2,2,0,438.31,USD
293033644-7,PYTHON,2,1,2,2,489.94,JOD
986677265-9,c++,0,1,2,1,473.05,USD
962263952-6,c++,2,2,1,2,114.23,Euro
195436145-9,Python,2,1,0,1,290.86,Euro
602375181-4,java,2,0,1,0,359.60,Euro
907736429-3,R,0,1,1,0,271.93,USD
243191452-6,java,0,1,1,0,143.57,Euro
327287628-6,PYTHON,0,2,0,1,419.96,Euro
529441394-9,PYTHON,2,1,2,1,182.87,Euro
417393109-3,Python,0,0,1,1,288.14,Euro
883244357-0,R,1,0,1,0,477.12,JOD
756976911-2,java,0,1,0,0,343.49,JOD
341117902-3,Python,1,0,1,0,415.16,USD
025529012-8,JAVA,1,0,0,0,446.20,Euro
647401389-3,java,2,2,0,1,358.72,JOD
040906607-9,java,2,0,1,0,450.23,JOD
347206351-3,c++,2,0,2,2,454.66,USD
963167449-5,JAVA,0,2,1,0,310.92,USD
070744645-7,JAVA,1,0,0,2,461.09,USD
822473201-0,R,0,2,1,1,343.22,JOD
295030626-8,JAVA,1,2,0,0,420.49,USD
116051974-9,java,2,2,0,2,495.80,JOD
475181562-8,C++,1,2,0,0,438.97,JOD
936654750-8,PYTHON,0,1,2,2,214.37,JOD
848253639-7,R,1,2,2,0,338.06,USD
772027417-2,java,0,0,1,1,463.17,USD
053143911-9,C++,1,1,2,1,451.06,USD
943981999-5,c++,2,1,1,1,228.62,USD
466626629-1,java,1,1,1,0,427.83,USD
015308540-1,R,2,1,2,2,310.73,Euro
231070304-4,c++,2,1,1,2,280.62,Euro
958621792-2,c++,2,2,2,0,291.52,USD
437114521-3,c++,2,2,0,2,475.90,Euro
728963651-1,c++,1,0,1,0,488.77,Euro
677270187-9,c++,0,2,0,2,254.47,JOD
603725959-3,R,1,0,2,1,112.46,USD
579936649-2,,0,2,2,2,347.97,JOD
756711511-5,java,0,1,2,2,306.64,JOD
939459442-6,C++,2,2,1,1,372.31,Euro
160955633-X,,2,2,1,2,406.46,Euro
267976316-5,PYTHON,1,0,1,0,210.60,USD
177116365-8,JAVA,1,0,0,0,248.09,Euro
001384798-8,PYTHON,1,1,2,0,215.20,JOD
230727106-6,R,2,,2,0,326.81,USD
693039360-6,Python,2,0,2,0,102.90,USD
956422408-X,JAVA,0,2,2,0,163.95,JOD
852542069-7,R,2,2,1,1,404.81,Euro
397864223-9,R,2,1,0,0,160.29,Euro
801870669-7,c++,1,1,0,2,258.47,Euro
978426365-3,R,1,0,2,1,461.82,USD
717509941-X,PYTHON,1,,1,0,475.25,Euro
939589677-9,Python,1,0,0,2,464.60,JOD
204778044-6,Python,0,2,2,2,182.95,JOD
562885805-6,JAVA,1,0,0,1,122.46,JOD
489279685-9,JAVA,1,2,1,2,191.26,JOD
186887014-6,C++,1,0,1,1,234.90,USD
756213078-7,c++,0,,2,0,131.29,JOD
152212052-1,Python,0,2,1,0,331.69,USD
662949530-6,java,2,0,0,0,324.68,Euro
307015137-X,R,2,0,1,2,160.81,USD
497460756-1,JAVA,2,1,2,1,234.68,JOD
671711467-3,R,1,1,2,1,382.97,Euro
149304151-7,Python,0,2,2,0,324.90,USD
803838856-9,PYTHON,2,1,0,2,317.24,Euro
503904165-9,java,2,0,2,0,307.57,JOD
693714503-9,JAVA,2,0,2,1,438.39,Euro
132482597-9,,1,0,2,1,150.69,JOD
308191551-1,PYTHON,1,0,1,0,179.65,Euro
278326215-0,c++,2,1,1,1,254.13,Euro
991573285-6,PYTHON,1,0,2,0,449.37,JOD
709216307-2,java,2,1,1,2,102.63,JOD
850804998-6,c++,2,0,2,0,250.17,JOD
648788389-1,java,0,1,0,1,315.92,Euro
020438309-9,R,0,1,1,1,277.00,USD
988881159-2,C++,0,0,2,0,204.84,USD
038972907-8,PYTHON,1,1,0,2,103.52,USD
349619608-4,R,2,1,1,2,394.57,Euro
782085467-7,R,1,2,0,2,338.53,Euro
904484325-7,JAVA,1,1,1,0,475.86,Euro
880401196-3,java,2,2,1,0,468.16,Euro
132577459-6,PYTHON,0,0,2,0,360.83,Euro
533753009-7,Python,1,0,1,1,350.69,USD
913323152-4,JAVA,2,1,0,2,340.82,Euro
274084370-4,C++,0,0,1,2,273.75,USD
554189814-5,c++,1,1,0,1,214.07,USD
486344309-9,Python,0,1,0,2,483.17,JOD
719115783-6,JAVA,1,1,1,0,437.25,JOD
446329086-4,Python,2,1,0,2,479.65,Euro
811944994-0,c++,2,0,0,2,374.37,Euro
162934462-1,,0,0,0,1,222.53,USD
731425855-4,java,0,2,0,2,138.12,JOD
775537534-X,Python,0,2,2,0,398.23,JOD
519354677-3,PYTHON,1,0,2,2,152.40,USD
231168895-2,c++,1,0,1,1,109.98,Euro
198116639-4,Python,2,2,0,0,397.38,Euro
224600872-7,JAVA,1,0,2,0,203.35,JOD
364994031-0,Python,1,0,2,1,273.69,USD
622312087-7,c++,0,2,2,0,462.66,Euro
251999837-7,Python,2,2,0,1,219.65,Euro
373527570-2,C++,2,,2,1,452.50,USD
984251760-8,c++,1,2,0,2,255.78,JOD
885921407-6,java,2,2,0,0,452.81,Euro
465414597-4,Python,2,0,2,2,123.31,USD
442819565-6,java,1,1,1,2,486.34,Euro
589892479-5,R,2,2,2,1,443.81,Euro
071409092-1,,0,0,2,2,499.03,Euro
057533759-1,R,2,,0,0,359.38,Euro
421272821-4,java,1,2,2,1,166.93,JOD
971929385-3,JAVA,1,1,2,2,414.50,JOD
857860366-4,PYTHON,1,0,0,0,440.01,JOD
173712764-4,JAVA,0,1,0,1,381.45,USD
835805089-5,JAVA,1,1,2,0,377.08,USD
657619515-X,R,0,0,0,2,227.36,JOD
711557894-X,c++,2,2,0,1,239.03,Euro
951548141-4,Python,1,2,2,0,151.92,USD
693957917-6,Python,0,0,2,1,371.29,USD
402133941-8,Python,2,2,2,2,283.06,JOD
385128847-5,C++,1,0,2,1,485.87,Euro
793226410-3,C++,1,2,0,0,344.18,USD
827570398-0,C++,0,0,1,1,114.57,JOD
893487324-8,java,1,0,0,2,205.85,JOD
818345554-9,c++,2,1,1,1,479.17,JOD
742711781-6,java,0,1,1,2,360.74,Euro
977327356-3,c++,1,2,2,2,137.19,JOD
390072198-X,c++,0,1,0,0,199.79,Euro
417637746-1,PYTHON,0,0,2,0,116.42,JOD
568567552-6,C++,1,1,1,2,407.07,USD
103733419-1,JAVA,0,2,2,0,390.25,USD
788030391-X,C++,0,,0,2,254.75,Euro
051041188-6,R,1,1,2,0,208.10,USD
909481231-2,C++,2,0,2,2,393.24,USD
855404814-8,R,2,0,1,2,420.41,USD
562464081-1,R,2,2,1,0,184.28,Euro
161720177-4,c++,2,0,1,0,165.22,JOD
194357425-1,java,2,2,2,1,492.65,USD
607731786-1,c++,2,1,2,2,455.67,USD
124505144-X,PYTHON,2,2,1,1,404.12,JOD
971072235-2,Python,2,0,2,2,404.09,Euro
130796454-0,c++,1,1,1,1,339.52,Euro
164674423-3,,1,0,1,0,343.62,Euro
086116256-0,JAVA,1,1,0,2,494.88,JOD
093735150-4,Python,2,2,1,0,422.73,USD
973007883-1,java,1,2,2,0,197.94,USD
295334488-8,java,0,0,0,1,397.84,JOD
006608514-4,JAVA,0,2,1,1,147.31,USD
532668056-4,C++,2,0,1,1,448.43,Euro
710171473-0,java,0,,0,1,391.46,USD
160368720-3,java,1,2,1,0,496.51,USD
452245246-2,c++,1,0,2,2,112.38,USD
909016558-4,R,1,0,0,0,295.83,Euro
782967022-6,java,0,2,2,2,146.18,JOD
762626009-0,Python,2,0,2,0,381.33,USD
824365221-3,R,2,2,2,0,140.33,USD
673968325-5,JAVA,2,0,1,0,359.21,USD
992801567-8,c++,2,0,1,0,277.07,USD
358572426-4,Python,0,2,0,2,315.29,JOD
261899525-2,C++,0,2,0,0,435.39,JOD
633811978-2,java,0,1,1,2,428.55,USD
956644487-7,PYTHON,2,0,2,1,492.02,JOD
648505931-8,Python,1,2,2,2,268.67,USD
233993196-7,PYTHON,0,0,1,2,438.01,Euro
890687927-X,c++,0,1,2,1,246.43,USD
594696758-4,java,0,0,1,2,437.14,JOD
739911950-3,JAVA,2,2,0,0,260.32,JOD
275946544-6,Python,0,2,2,2,382.39,USD
947305513-7,java,2,1,0,1,197.47,USD
939078030-6,PYTHON,0,2,2,0,474.94,Euro
161151767-2,PYTHON,2,,0,1,456.07,USD
829158916-X,Python,1,0,2,0,338.26,USD
444297333-4,PYTHON,0,0,2,1,302.78,JOD
983257659-8,R,1,1,2,2,235.53,JOD
063675865-6,C++,0,1,2,2,264.68,JOD
302613768-5,java,2,2,0,2,171.76,Euro
395143830-4,JAVA,1,1,1,1,125.79,JOD
859792391-1,Python,0,0,1,1,248.93,USD
951342287-9,java,0,1,1,1,301.38,USD
870398651-9,c++,2,1,1,2,138.90,Euro
846411308-0,PYTHON,0,2,2,2,102.07,Euro
275209247-4,PYTHON,1,2,2,1,266.63,USD
661551875-9,C++,1,2,2,2,149.85,USD
957769813-1,c++,1,0,0,2,383.00,JOD
555519146-4,C++,2,2,0,0,275.30,JOD
348092774-2,JAVA,1,1,2,1,366.29,JOD
934423336-5,Python,1,1,0,2,325.32,USD
526553021-5,c++,2,0,0,0,419.04,USD
756119548-6,Python,0,2,0,2,427.19,USD
017498044-2,JAVA,1,2,2,2,332.46,Euro
757856693-8,JAVA,2,0,2,2,469.75,Euro
150668153-0,JAVA,2,0,2,1,320.90,JOD
984123077-1,R,2,0,1,0,368.77,JOD
140417493-1,R,2,1,1,1,147.29,USD
272297616-1,Python,1,0,0,1,245.17,JOD
834154254-4,java,0,2,2,0,110.06,JOD
003404973-8,R,2,0,0,2,343.05,USD
215632117-5,java,1,2,2,2,337.18,USD
810705217-X,JAVA,1,2,1,2,447.51,Euro
294302455-4,R,2,2,0,2,320.18,Euro
011408092-5,JAVA,0,0,2,0,220.69,JOD
735120773-9,JAVA,1,0,1,1,124.92,USD
707228074-X,c++,2,1,1,1,396.70,Euro
001580220-5,JAVA,0,2,0,1,282.24,JOD
306774871-9,c++,2,0,2,2,460.88,Euro
451189743-3,c++,0,2,1,0,379.74,Euro
400336373-6,java,2,2,0,1,392.47,USD
387295630-2,c++,2,1,1,2,271.69,Euro
189243342-7,Python,1,0,0,1,120.92,USD
501740914-9,C++,0,2,1,1,420.19,USD
888504611-8,java,1,2,2,1,479.03,JOD
928153820-2,R,0,0,0,2,162.80,USD
962318324-0,Python,1,0,0,2,437.96,JOD
757201667-7,PYTHON,2,0,1,2,440.49,Euro
603755714-4,Python,1,0,2,1,209.47,JOD
767407127-8,R,2,1,1,0,224.38,USD
174608354-9,java,0,2,1,1,180.88,USD
517769218-3,c++,2,2,0,0,274.80,JOD
448902089-9,C++,2,2,1,1,197.95,Euro
226761768-4,JAVA,1,1,0,2,332.87,Euro
033051148-3,JAVA,2,2,1,0,320.54,USD
583059849-3,R,1,2,0,2,438.31,USD
380453461-9,R,2,,1,0,134.31,Euro
088913143-0,C++,2,0,0,0,130.62,Euro
608149976-6,c++,0,2,0,1,430.86,Euro
133883173-9,R,2,2,2,1,460.54,Euro
694245481-8,R,2,2,2,2,131.41,Euro
020762130-6,C++,1,1,0,0,316.09,Euro
935066971-4,C++,1,0,2,0,108.52,Euro
976914525-4,java,0,0,2,0,138.82,JOD
742784767-9,C++,0,2,1,0,280.99,Euro
971801756-9,C++,1,1,2,2,335.65,USD
008549444-5,c++,1,,1,2,155.41,USD
516823200-0,PYTHON,1,1,2,0,387.86,Euro
245326382-X,R,2,2,0,2,222.21,Euro
289334632-4,,2,2,0,2,174.92,USD
176403037-0,c++,0,1,1,1,385.64,USD
685528757-3,c++,1,0,0,0,330.85,JOD
827133785-8,c++,1,1,2,2,186.58,JOD
088675741-X,Python,0,1,2,1,185.31,JOD
700820995-9,java,2,1,2,0,212.63,USD
065871611-5,JAVA,1,2,1,0,185.74,JOD
111857176-2,,1,0,2,2,488.94,USD
423854407-2,PYTHON,2,2,2,0,200.35,JOD
947217580-5,C++,1,0,0,1,276.06,JOD
566387177-2,Python,0,2,1,0,457.90,JOD
181342449-7,JAVA,1,0,1,2,459.30,Euro
029134573-5,c++,1,0,1,0,280.30,JOD
148811781-0,JAVA,0,,1,0,411.38,Euro
098023439-5,JAVA,2,2,1,1,395.57,JOD
071600474-7,C++,1,2,0,1,474.90,Euro
312773926-5,C++,2,2,2,1,468.69,USD
050592634-2,c++,0,2,1,1,313.80,USD
040458588-4,Python,1,1,1,2,389.00,JOD
730189350-7,C++,1,2,2,2,335.40,Euro
364659250-8,JAVA,2,2,1,2,311.72,Euro
800692436-8,PYTHON,2,1,2,0,433.67,USD
136534296-4,c++,0,2,2,0,482.44,USD
866917892-3,C++,2,1,1,0,350.82,Euro
674031021-1,R,0,2,0,1,107.34,USD
750864017-9,JAVA,2,1,1,0,423.51,Euro
466644691-5,C++,2,0,2,1,135.62,USD
484019809-8,R,0,2,1,1,135.31,Euro
881536780-2,R,0,1,2,0,424.93,JOD
163702877-6,R,1,0,2,0,229.19,JOD
087495770-2,Python,2,2,0,1,380.44,JOD
608774448-7,R,0,1,2,2,120.11,USD
883766240-8,PYTHON,2,1,0,1,169.62,USD
210697408-6,JAVA,1,0,2,2,217.11,JOD
848316418-3,PYTHON,0,2,2,0,401.28,USD
061611063-4,Python,0,1,0,1,128.02,USD
630286107-1,PYTHON,1,2,2,2,131.91,Euro
679996734-9,JAVA,1,1,2,0,339.58,USD
395282167-5,C++,0,2,2,0,478.07,JOD
085451017-6,PYTHON,2,1,1,0,450.10,Euro
648608923-7,C++,1,0,2,0,310.50,Euro
344392134-5,Python,1,1,1,0,293.30,USD
408586247-2,JAVA,2,0,1,1,217.43,JOD
487417027-7,PYTHON,2,2,1,1,431.93,USD
380511151-7,java,0,2,0,1,192.10,Euro
391443587-9,java,1,1,2,0,275.05,USD
441663107-3,JAVA,0,2,2,2,352.48,Euro
314267200-1,Python,0,1,2,0,374.56,USD
443389008-1,C++,2,2,0,1,269.46,JOD
372811538-X,R,1,0,2,0,339.45,USD
453467094-X,R,1,0,1,0,491.91,USD
627758359-X,java,2,0,1,2,404.98,Euro
563516798-5,c++,0,2,2,2,391.10,Euro
098141864-3,C++,1,2,2,0,344.21,JOD
500871887-8,R,1,1,0,1,230.57,USD
172193322-0,c++,0,1,1,1,343.53,USD
523107046-7,R,1,2,1,0,309.96,Euro
783588954-4,java,0,0,0,0,449.53,USD
428410761-5,java,2,0,0,1,206.31,Euro
301909048-2,c++,0,0,2,0,180.53,Euro
534034668-4,C++,0,,0,2,203.59,Euro
058202044-1,java,1,2,1,1,136.18,JOD
849046404-9,Python,0,2,2,1,213.95,Euro
076214866-7,C++,2,0,0,1,140.58,USD
959640164-5,c++,2,1,1,0,100.65,JOD
762739419-8,PYTHON,2,2,1,0,427.47,Euro
061816767-6,JAVA,2,1,2,2,114.62,JOD
542384302-2,PYTHON,2,1,0,2,473.40,JOD
243849851-X,R,2,2,2,0,333.51,USD
132884423-4,c++,1,1,2,1,411.62,Euro
101845244-3,R,1,1,2,1,424.09,USD
357359059-4,PYTHON,1,1,0,2,402.28,Euro
429543954-1,JAVA,1,1,0,1,306.33,Euro
972204397-8,java,2,2,1,0,494.71,USD
545308971-7,Python,0,1,0,1,111.13,Euro
207454831-1,PYTHON,2,2,1,2,169.54,USD
722898284-3,PYTHON,0,0,2,0,365.01,JOD
663552663-3,c++,1,1,0,0,269.94,USD
268630401-4,PYTHON,0,1,2,1,337.65,JOD
808203220-0,JAVA,0,0,2,0,362.97,JOD
820025071-7,R,0,0,1,0,406.40,Euro
962763056-X,C++,0,2,1,0,432.12,Euro
786483233-4,C++,0,0,0,0,345.02,USD
460827276-4,C++,0,0,2,1,123.43,JOD
081051003-0,JAVA,2,0,2,2,185.94,JOD
961701493-9,Python,1,2,0,2,395.15,USD
970800035-3,PYTHON,2,0,0,2,164.96,Euro
629401541-3,C++,0,1,2,2,423.52,Euro
156941339-8,C++,2,1,0,2,459.57,Euro
765248332-8,C++,1,1,2,0,199.65,USD
596619626-5,PYTHON,1,0,0,2,368.20,USD
554410684-3,Python,1,0,0,2,404.20,Euro
142663819-1,Python,1,0,0,0,239.38,Euro
368630040-0,C++,1,2,1,1,348.02,Euro
096314941-5,R,0,,1,2,132.10,JOD
163054573-2,java,1,0,1,1,342.39,JOD
764133175-0,C++,2,2,0,1,260.84,Euro
164156906-9,c++,1,2,1,0,352.10,USD
666533105-9,java,0,1,2,1,264.41,USD
111429810-7,R,0,1,1,2,327.67,USD
467293731-3,JAVA,0,0,0,2,140.71,Euro
814207226-2,PYTHON,2,0,0,1,316.26,USD
778275553-0,C++,0,0,0,2,309.73,JOD
525372503-2,C++,2,0,0,0,478.33,USD
720870810-X,R,1,2,2,1,227.87,JOD
838695007-2,Python,2,1,1,2,139.80,JOD
241702419-5,java,0,2,0,1,261.33,USD
393863884-2,C++,2,2,1,0,485.85,USD
033589966-8,c++,0,2,0,0,334.28,Euro
573292871-5,c++,2,2,1,1,228.46,USD
436066665-9,c++,1,2,0,1,360.29,Euro
334975808-8,java,2,0,0,0,218.12,Euro
039373607-5,PYTHON,0,2,0,2,211.33,JOD
709403220-X,java,2,2,0,2,469.81,Euro
982124792-X,java,2,1,0,0,419.29,JOD
243485923-2,JAVA,0,0,1,0,335.13,USD
858965550-4,PYTHON,2,2,0,0,431.26,JOD
968248312-3,,1,1,0,0,457.20,JOD
754415471-8,java,2,1,0,2,246.36,USD
616981629-5,C++,1,0,2,2,300.62,Euro
747485892-4,c++,0,1,0,0,148.39,Euro
150458588-7,JAVA,2,2,2,2,358.76,JOD
574399556-7,R,0,2,0,0,292.13,Euro
610271850-X,R,0,2,1,1,343.28,USD
515711576-8,Python,1,1,1,0,441.41,JOD
057864667-6,JAVA,1,2,2,1,488.56,JOD
698140475-3,Python,2,2,1,0,205.60,USD
022563240-3,C++,0,1,0,1,147.93,JOD
103249494-8,C++,1,1,0,0,187.68,JOD
792728548-3,c++,2,1,1,0,319.52,JOD
329233305-9,c++,0,2,0,0,188.36,USD
233584075-4,JAVA,1,1,1,2,433.81,Euro
869747865-0,C++,2,0,0,1,292.01,JOD
370882627-2,PYTHON,1,0,2,1,335.17,JOD
862784406-2,Python,0,2,0,1,271.25,USD
139784599-6,R,2,2,0,1,391.11,USD
135373963-5,java,2,0,0,0,351.26,Euro
707188696-2,R,2,0,0,1,212.40,JOD
176869800-7,C++,1,0,0,2,353.08,JOD
344752066-3,Python,0,2,0,2,129.28,USD
473177798-4,JAVA,2,1,0,1,137.52,Euro
844465941-X,JAVA,0,1,2,1,197.72,JOD
244434936-9,Python,1,1,0,2,360.52,USD
894294072-2,java,2,2,1,0,295.37,USD
175568304-9,c++,0,0,2,0,108.62,JOD
579463023-X,C++,1,0,2,1,311.44,JOD
145489327-3,,0,0,2,2,434.56,JOD
364383445-4,c++,0,0,1,1,389.13,JOD
387417180-9,java,2,0,1,0,445.90,Euro
