Project-ID,Programming Language,Employee-1,Employee-2,Employee-3,Employee-4,Award,Currency
126633646-X,java,2,0,0,2,151.10,USD
169195913-8,R,1,2,0,2,170.12,USD
421142913-2,PYTHON,2,2,2,2,206.74,JOD
803861358-9,R,0,2,0,1,320.44,JOD
374339420-0,JAVA,2,2,1,1,307.04,USD
219708160-8,java,0,2,2,1,174.33,USD
035603984-6,R,1,2,0,1,361.14,USD
105208879-1,java,2,1,1,0,183.95,Euro
759537476-6,R,1,1,0,1,162.27,USD
361075309-9,Python,1,,2,2,185.81,Euro
054177373-9,R,2,2,2,2,355.33,JOD
292013040-4,Python,0,2,1,2,117.42,Euro
144358226-3,PYTHON,2,1,1,2,422.29,JOD
210109780-X,R,1,1,0,1,477.02,Euro
374729830-3,c++,2,1,2,1,410.50,Euro
567476769-6,,2,2,0,0,475.41,USD
975981517-6,JAVA,2,1,2,2,337.24,JOD
695831021-7,java,0,1,1,2,185.26,USD
065834084-0,PYTHON,0,2,2,0,415.89,USD
035163250-6,JAVA,2,0,0,0,322.92,USD
382676742-X,R,0,0,0,2,481.43,Euro
712040592-6,JAVA,1,2,0,0,474.89,USD
153739304-9,C++,1,2,1,1,496.63,USD
703091888-6,C++,2,2,0,0,466.46,Euro
008443183-0,C++,0,0,1,1,482.05,JOD
497924521-8,java,2,2,0,0,354.68,JOD
306311133-3,c++,2,0,0,2,213.78,USD
847735631-9,R,1,0,2,1,125.73,JOD
354771221-1,c++,2,0,0,1,320.96,USD
351170422-7,C++,0,2,1,0,140.87,JOD
204262093-9,R,0,1,0,2,497.27,Euro
290214745-7,Python,1,1,2,0,300.27,USD
953870476-2,java,2,2,2,1,335.52,USD
638936363-X,java,0,1,0,2,408.92,Euro
108543324-2,C++,2,2,1,0,267.27,USD
804492320-9,Python,2,2,1,2,289.62,USD
325137191-6,PYTHON,0,2,1,1,363.52,USD
946165116-3,java,0,1,2,2,105.28,JOD
528830246-4,R,0,2,1,1,343.02,USD
146923130-1,C++,0,2,2,1,154.97,Euro
281511967-6,C++,1,1,0,2,235.06,Euro
059089043-3,Python,0,2,0,1,156.68,JOD
629618842-0,Python,0,0,2,0,420.29,Euro
274182973-X,C++,1,1,0,0,443.74,JOD
116163161-5,JAVA,2,0,0,2,248.23,Euro
588626289-X,R,1,2,1,0,332.11,Euro
688728737-4,R,0,1,0,0,106.32,Euro
048896161-0,Python,0,0,2,0,342.10,USD
128145555-5,c++,1,0,0,1,256.09,JOD
438148042-2,R,2,2,1,2,113.97,Euro
332499659-7,JAVA,2,0,2,1,402.61,USD
036719094-X,JAVA,1,2,0,1,453.56,Euro
708413698-3,C++,0,2,1,1,483.83,JOD
792960702-X,JAVA,0,1,2,2,108.48,Euro
031190166-2,c++,1,,2,2,494.12,JOD
945974522-9,JAVA,2,2,0,1,166.12,USD
536767481-X,java,1,2,1,1,448.09,JOD
033613413-4,PYTHON,1,1,0,0,217.87,Euro
411114664-3,c++,1,2,0,2,485.88,Euro
530522812-3,PYTHON,2,1,1,2,221.87,USD
646413852-9,C++,1,0,0,2,436.68,USD
176746648-X,R,0,2,0,0,244.29,USD
708557498-4,R,1,1,2,2,101.98,USD
757859264-5,JAVA,1,1,2,1,339.52,Euro
832394299-4,java,2,2,0,0,256.05,USD
049100063-4,JAVA,2,1,1,0,129.06,JOD
666472157-0,PYTHON,2,1,1,1,247.54,JOD
020863269-7,PYTHON,2,1,1,2,301.15,JOD
500890523-6,Python,2,0,2,2,107.33,JOD
949002852-5,JAVA,2,2,2,1,259.38,JOD
610289057-4,R,0,2,0,0,155.13,JOD
367694470-4,JAVA,0,0,1,2,335.34,JOD
838261739-5,Python,2,1,2,0,463.88,Euro
597909099-1,java,2,2,1,0,331.82,JOD
153578107-6,c++,1,1,2,2,267.90,Euro
029754252-4,PYTHON,0,1,1,0,370.65,Euro
336502670-3,R,2,1,1,2,126.53,USD
490101839-6,java,2,2,2,2,144.64,JOD
377914254-6,c++,2,2,0,1,447.70,JOD
358495800-8,R,2,0,2,0,498.73,JOD
175811519-X,JAVA,2,1,1,2,336.76,Euro
922257125-8,PYTHON,1,0,1,2,127.32,USD
731834692-X,c++,2,0,0,2,452.55,USD
827862477-1,R,0,1,2,0,368.35,JOD
840618982-7,c++,1,,1,2,362.97,JOD
712541303-X,JAVA,2,1,0,1,342.23,USD
850145479-6,JAVA,1,2,0,0,335.48,Euro
421982390-5,C++,1,1,1,1,242.88,USD
362238087-X,JAVA,1,2,2,2,160.15,JOD
639912591-X,c++,1,1,1,2,414.70,Euro
522978182-3,R,1,0,1,1,386.60,Euro
412378583-2,c++,1,1,0,2,113.20,USD
601851027-8,JAVA,0,0,1,2,108.08,Euro
795040743-3,java,0,0,0,0,380.01,JOD
704485598-9,Python,2,0,2,0,296.24,JOD
693193070-2,C++,2,0,1,2,290.71,JOD
251581663-0,JAVA,1,0,0,1,122.10,USD
551012802-X,C++,1,1,2,1,220.17,JOD
649780894-9,PYTHON,2,1,0,0,442.42,Euro
850331566-1,R,2,1,0,2,122.21,JOD
310040064-X,C++,1,2,2,1,391.76,USD
656695008-7,C++,1,0,0,2,456.96,JOD
503488706-1,JAVA,1,1,0,1,267.19,Euro
139652451-7,JAVA,2,1,0,2,189.72,USD
922259771-0,Python,1,1,1,1,255.08,JOD
380900338-7,JAVA,1,1,0,0,426.82,Euro
174624166-7,c++,1,2,2,0,326.21,USD
630640739-1,Python,0,1,0,0,497.40,JOD
859854638-0,PYTHON,2,2,1,1,210.32,Euro
348461880-9,c++,0,0,2,2,415.15,Euro
109809088-8,c++,2,0,0,2,143.84,JOD
734511525-9,java,2,0,0,2,331.37,JOD
208087597-3,java,1,2,0,1,223.17,Euro
127704542-9,JAVA,2,1,1,0,354.80,JOD
403725354-2,Python,2,2,2,0,320.53,USD
889262574-8,PYTHON,1,0,0,2,401.23,Euro
011425877-5,java,0,0,0,1,136.31,USD
730657370-5,C++,0,0,0,0,276.07,USD
718598041-0,,2,1,2,1,419.96,Euro
938543306-7,java,0,1,1,2,102.70,Euro
542818026-9,PYTHON,2,2,2,0,400.64,JOD
853629464-7,java,0,,0,1,324.16,JOD
387908590-0,R,1,1,2,2,232.00,USD
298802459-6,C++,2,2,2,1,451.08,JOD
781358234-9,c++,2,0,1,1,478.09,Euro
343136206-0,C++,2,0,1,1,370.27,USD
390985290-4,R,0,1,0,0,170.69,Euro
870636151-X,C++,2,0,1,2,412.11,USD
831666061-X,R,2,1,1,2,429.42,JOD
436660117-6,java,2,1,1,2,263.09,USD
469742365-8,c++,2,2,0,0,462.01,JOD
134407219-4,JAVA,0,1,0,0,349.18,Euro
328121063-5,C++,1,1,0,0,313.00,Euro
934823213-4,R,2,2,1,0,419.27,USD
720053929-5,java,2,2,1,2,329.57,JOD
195320273-X,R,2,0,2,2,287.54,Euro
240904644-4,C++,2,1,0,1,415.14,JOD
267916191-2,C++,1,0,0,0,192.06,USD
856145111-4,PYTHON,1,2,1,0,409.99,JOD
509560827-8,c++,0,0,1,0,485.58,Euro
100325300-8,JAVA,0,2,1,1,390.73,USD
107970208-3,c++,1,0,1,1,245.41,USD
281174796-6,Python,1,2,1,0,387.70,Euro
864029309-0,C++,1,0,1,0,450.79,USD
788509118-X,JAVA,2,0,1,1,394.21,JOD
537061246-3,R,1,1,0,0,236.62,JOD
164976787-0,Python,1,0,0,0,126.09,USD
128292425-7,Python,0,1,1,0,111.38,JOD
256971286-8,c++,1,0,2,1,498.47,JOD
226597563-X,R,1,1,0,0,252.48,JOD
808750615-4,Python,2,0,0,1,205.54,USD
545720910-5,java,0,2,0,0,323.92,Euro
162978559-8,PYTHON,2,2,2,2,103.88,USD
264596014-6,c++,1,1,1,2,138.58,USD
118639752-7,C++,1,2,1,1,275.44,USD
864130724-9,java,2,1,1,2,354.44,Euro
538787270-6,JAVA,1,1,0,0,353.24,JOD
983115694-3,Python,0,1,0,0,343.27,USD
409561078-6,java,0,2,0,1,132.24,Euro
357024653-1,C++,0,0,1,1,432.24,JOD
697577712-8,Python,2,1,1,0,111.15,JOD
368885040-8,R,0,2,0,1,395.13,Euro
803048895-5,JAVA,2,0,2,2,414.08,USD
008081296-1,PYTHON,0,1,1,0,376.76,JOD
164338518-6,R,0,1,1,1,248.94,USD
159508208-5,C++,1,1,0,1,293.79,USD
512124054-6,Python,2,0,2,2,441.78,JOD
787820852-2,R,0,2,2,1,199.57,JOD
830648008-2,c++,0,2,2,2,158.79,Euro
993581837-3,java,1,0,2,2,117.95,USD
886307676-6,Python,0,1,1,2,169.84,USD
625917142-0,R,2,2,2,0,414.80,JOD
719956779-0,JAVA,0,1,0,1,361.80,Euro
403021815-6,R,2,0,2,0,249.07,Euro
097934450-6,R,1,2,0,1,457.48,Euro
164592327-4,java,1,,0,0,175.65,Euro
939731334-7,R,1,0,2,2,285.53,JOD
164644289-X,c++,2,2,1,2,442.49,USD
522629609-6,R,1,1,2,2,275.62,USD
318921026-8,,1,0,2,0,419.84,USD
479565488-3,PYTHON,2,1,1,1,342.37,Euro
886039463-5,PYTHON,1,2,0,0,306.94,Euro
840837844-9,c++,1,0,0,1,104.02,JOD
411107756-0,c++,1,2,2,1,307.49,USD
793844464-2,R,2,1,0,1,171.55,USD
653142649-7,java,1,0,2,2,316.82,JOD
434004630-2,JAVA,0,1,0,0,461.56,USD
598582824-7,c++,2,2,2,1,138.51,USD
771010261-1,Python,1,2,1,0,485.48,Euro
549415136-0,Python,0,2,1,2,309.00,Euro
759750725-9,PYTHON,2,0,0,1,103.70,USD
322192601-4,R,0,0,1,0,120.86,Euro
421927146-5,C++,1,2,2,2,155.23,Euro
472644987-7,C++,0,0,2,1,317.90,JOD
804921461-3,JAVA,0,2,2,1,362.48,USD
640646928-3,Python,0,0,2,2,453.27,USD
379533483-7,PYTHON,1,2,1,0,187.99,USD
080688244-1,R,0,2,1,0,139.90,USD
848369953-2,java,0,1,1,1,210.67,JOD
543511270-2,JAVA,0,1,2,2,313.04,JOD
555058045-4,c++,0,2,1,1,167.46,USD
571181155-X,java,2,1,1,2,225.15,JOD
444017369-1,R,1,1,0,1,352.35,JOD
560165215-5,C++,1,0,1,2,318.23,USD
254475458-3,JAVA,2,0,0,0,329.20,JOD
064581614-0,java,1,1,0,2,226.82,USD
753490570-2,C++,2,1,2,1,469.38,Euro
208093200-4,R,0,0,2,2,237.33,JOD
600735374-5,JAVA,0,2,2,1,301.55,JOD
573327276-7,R,1,1,0,2,204.82,JOD
811501178-9,C++,1,0,0,2,466.26,JOD
706303301-8,C++,0,0,2,0,129.81,JOD
130480019-9,JAVA,1,0,0,1,118.56,JOD
543793856-X,Python,1,2,1,2,210.82,USD
171016409-3,java,2,0,2,2,273.65,Euro
983798093-1,PYTHON,1,2,2,0,360.93,JOD
152435105-9,R,0,2,0,0,169.39,Euro
222291878-2,JAVA,1,2,0,2,121.71,Euro
843934177-6,java,1,2,2,2,196.67,Euro
327651793-0,JAVA,1,0,2,0,334.80,USD
689898811-5,PYTHON,0,1,1,2,111.96,USD
735366667-6,c++,0,1,2,0,188.29,JOD
369486934-4,C++,1,0,0,2,203.31,Euro
890890509-X,java,0,1,2,0,446.05,Euro
852562108-0,JAVA,2,1,2,0,168.89,USD
619640381-8,java,1,2,1,2,177.97,Euro
904809280-9,JAVA,2,0,1,0,462.40,JOD
552490986-X,JAVA,0,2,2,2,248.63,USD
948283424-0,C++,2,2,0,0,268.85,Euro
203569641-0,c++,0,1,1,1,325.97,JOD
707148737-5,Python,1,0,0,0,371.52,JOD
320884602-9,R,0,1,2,0,305.95,JOD
047587182-0,C++,1,0,2,2,363.16,USD
718996211-5,JAVA,1,1,2,2,191.79,JOD
524488159-0,PYTHON,0,1,2,1,408.76,USD
394939279-3,R,2,2,0,1,229.81,JOD
366933425-4,JAVA,1,0,1,2,381.88,Euro
059230611-9,JAVA,1,1,1,0,388.25,USD
486321944-X,C++,2,0,1,2,192.43,Euro
369465331-7,C++,0,1,0,0,168.75,USD
943144067-9,R,0,2,0,0,174.93,USD
124894298-1,C++,0,1,1,1,103.73,USD
315637602-7,,2,1,1,2,261.54,Euro
173714364-X,JAVA,0,0,0,2,383.47,USD
157003701-9,JAVA,0,1,2,1,363.29,JOD
996302273-1,C++,0,2,0,1,400.01,USD
750586649-4,java,2,1,1,2,451.56,JOD
824683398-7,JAVA,0,1,1,0,447.11,USD
615910627-9,c++,1,2,2,1,305.13,JOD
122782754-7,C++,2,0,1,1,114.30,JOD
296147323-3,PYTHON,2,1,0,0,458.12,USD
376700053-9,Python,1,1,2,2,457.14,USD
210914556-0,c++,0,0,0,1,311.13,JOD
229333165-2,JAVA,2,2,1,0,156.97,JOD
049704345-9,R,2,,0,1,268.00,USD
846451114-0,JAVA,2,1,0,1,162.85,Euro
206089562-6,C++,0,0,0,1,469.62,USD
746448986-1,JAVA,0,1,0,1,363.93,Euro
791096086-7,R,0,1,1,0,136.08,JOD
700124267-5,R,2,0,0,2,128.33,JOD
832841701-4,JAVA,1,2,0,2,326.47,USD
405523349-3,C++,0,0,2,2,143.85,Euro
953886923-0,R,1,2,1,2,180.72,JOD
892703643-3,,1,1,2,1,490.31,Euro
765572778-3,c++,2,1,2,1,193.95,USD
453681931-2,C++,2,1,2,0,358.32,USD
728035854-3,C++,2,1,0,0,366.39,Euro
431475088-X,JAVA,1,1,1,1,326.93,JOD
560866121-4,Python,0,0,0,0,341.18,JOD
714993091-3,java,2,0,0,1,240.28,Euro
761569285-7,PYTHON,0,0,0,2,490.49,Euro
414539724-X,R,1,0,0,1,216.59,JOD
586244056-9,java,0,2,0,0,319.95,JOD
186686119-0,C++,2,2,1,1,140.57,USD
399228296-1,java,1,0,1,0,498.99,USD
570100809-6,c++,0,1,0,2,329.37,Euro
531670482-7,c++,1,1,1,1,432.03,Euro
163795665-7,Python,0,1,1,1,141.76,JOD
364270470-0,c++,0,0,0,0,387.08,JOD
142630569-9,c++,2,1,2,1,281.63,USD
186174853-1,C++,1,1,2,2,226.08,USD
145195414-X,C++,0,2,0,1,232.01,JOD
545443150-8,C++,1,2,2,1,278.29,JOD
403065441-X,PYTHON,2,1,0,1,499.92,JOD
334234776-7,R,2,2,1,0,135.15,USD
551692235-6,java,2,1,0,0,267.47,JOD
467653508-2,c++,1,1,1,0,294.78,JOD
426870740-9,c++,1,2,0,0,178.70,USD
035507275-0,c++,2,0,2,0,317.37,JOD
166392494-5,java,1,1,2,2,111.15,JOD
123379812-X,java,0,1,1,2,121.43,Euro
639837383-9,R,0,1,2,2,373.59,Euro
139826876-3,JAVA,1,2,1,0,464.53,Euro
441049613-1,JAVA,2,2,0,2,396.75,Euro
641278574-4,JAVA,0,2,1,2,296.91,USD
405368036-0,c++,1,1,1,0,111.64,USD
929169217-4,c++,1,0,2,0,466.97,JOD
226407641-0,java,1,0,0,1,429.20,Euro
388237926-X,R,1,2,1,1,383.70,USD
971191195-7,,2,2,1,1,332.89,Euro
941719532-8,R,2,,0,0,387.17,JOD
562708963-6,JAVA,0,1,0,0,315.20,USD
044394621-3,Python,0,0,2,2,208.92,USD
768818280-8,JAVA,0,0,2,1,186.93,Euro
129483827-X,C++,1,2,2,2,335.40,JOD
667682626-7,java,2,1,0,0,493.90,JOD
704016765-4,JAVA,1,2,1,1,446.41,Euro
968180676-X,java,1,0,1,0,471.79,Euro
280978273-3,JAVA,1,0,0,1,166.45,Euro
012467448-8,java,1,1,1,2,305.61,JOD
680589606-1,C++,0,2,2,1,139.65,Euro
636107853-1,c++,1,1,2,2,444.41,USD
122704480-1,C++,0,2,0,1,296.38,USD
876704861-7,C++,0,1,2,2,380.52,JOD
780023506-8,JAVA,2,2,2,1,483.77,JOD
469867869-2,PYTHON,2,0,0,2,167.59,USD
160906228-0,c++,1,2,2,1,192.73,Euro
166926533-1,JAVA,1,2,0,0,430.06,USD
556940297-7,JAVA,1,1,0,1,444.19,JOD
680185150-0,Python,0,0,1,2,333.18,Euro
713273204-8,PYTHON,1,2,1,1,412.49,USD
802947368-0,c++,2,2,1,1,480.12,USD
888185485-6,PYTHON,2,0,0,0,216.55,Euro
395699069-2,JAVA,2,2,0,2,128.95,USD
020081776-0,,2,2,1,2,446.53,USD
744502773-4,java,2,1,2,0,423.14,JOD
006834183-0,java,1,2,1,2,165.34,USD
281495377-X,R,2,1,0,2,113.83,Euro
888767935-5,Python,0,2,0,1,419.48,USD
442038716-5,Python,2,0,2,2,425.73,JOD
695333907-1,java,1,2,1,0,453.87,USD
944844794-9,Python,0,1,1,1,135.00,Euro
052921835-6,R,1,1,1,2,237.93,Euro
536396863-0,java,2,2,0,2,267.96,USD
348242142-0,PYTHON,1,2,1,0,126.90,Euro
420046641-4,c++,2,,0,2,121.65,JOD
797721650-7,R,1,0,2,1,218.16,USD
908552886-0,Python,1,0,1,1,446.16,USD
521735292-2,R,2,2,1,0,268.97,USD
257088411-1,Python,1,1,0,1,106.60,USD
255581492-2,c++,2,1,1,2,234.56,Euro
359785175-4,R,0,0,2,2,205.22,Euro
868625955-3,R,1,1,1,1,405.92,JOD
803853317-8,c++,1,1,2,2,332.92,Euro
020596635-7,C++,1,1,2,1,301.95,Euro
481145750-1,C++,1,0,0,0,348.13,JOD
900933298-5,c++,1,0,2,1,488.02,USD
682588333-X,java,2,1,2,2,122.11,USD
477309377-3,c++,1,0,1,2,251.95,USD
997117611-4,JAVA,1,2,1,0,329.45,Euro
222105468-7,Python,0,1,2,2,401.74,Euro
457931436-0,R,2,0,0,2,474.52,Euro
438177632-1,c++,1,1,0,2,275.04,JOD
035932476-2,JAVA,0,2,1,0,135.09,JOD
055030116-X,java,0,2,1,0,365.96,JOD
825039818-1,JAVA,0,2,0,1,372.30,JOD
702244906-6,c++,2,2,0,0,162.40,USD
310352427-7,c++,2,2,0,2,156.48,Euro
871952790-X,R,1,2,1,2,459.56,USD
349344717-5,R,0,,1,2,466.78,JOD
192655028-5,c++,1,0,0,1,330.32,JOD
401956166-4,java,0,0,2,1,342.36,JOD
198438437-6,C++,1,1,2,2,283.12,JOD
944180253-0,c++,0,0,1,0,195.22,Euro
550499617-1,JAVA,2,1,1,2,144.88,JOD
728915600-5,c++,1,0,0,0,337.43,Euro
011247030-0,PYTHON,0,2,1,0,230.87,Euro
844184821-1,Python,1,2,2,0,174.48,USD
211939432-6,c++,2,,1,1,110.09,USD
218821489-7,c++,2,1,0,1,222.09,JOD
737898709-3,JAVA,0,0,0,2,135.45,USD
509322349-2,c++,1,1,0,2,304.64,JOD
744525475-7,R,0,0,0,0,205.37,Euro
546930642-9,C++,1,0,2,1,345.78,JOD
893260119-4,JAVA,2,1,0,2,258.29,USD
831403039-2,C++,0,1,1,0,114.61,Euro
090825814-3,R,1,0,1,1,479.12,Euro
136607781-4,C++,1,1,2,1,480.10,Euro
496288970-2,,2,2,0,1,309.23,Euro
846979426-4,Python,0,1,1,0,319.00,Euro
840671831-5,c++,1,2,2,0,255.98,USD
834788544-3,R,0,2,0,1,468.29,USD
742549205-9,C++,1,2,2,1,390.51,JOD
204830013-8,C++,0,2,0,0,439.90,Euro
402620101-5,C++,1,1,0,0,193.20,USD
585891538-8,JAVA,0,0,0,1,102.89,Euro
684754373-6,c++,1,2,0,0,125.67,USD
742472350-2,java,2,0,1,0,308.92,JOD
015955551-5,java,1,1,2,2,131.66,Euro
866675754-X,PYTHON,2,1,0,2,411.32,USD
636583802-6,PYTHON,2,0,0,0,397.52,JOD
096574895-2,Python,0,2,1,0,112.61,USD
210853605-1,c++,1,1,0,1,222.14,JOD
746875983-9,PYTHON,2,1,1,2,356.81,Euro
258975227-X,Python,1,2,2,2,145.43,Euro
871097691-4,c++,0,2,2,1,337.54,USD
215498902-0,C++,2,2,2,1,177.27,Euro
873166860-7,java,1,0,2,1,152.15,USD
396917093-1,Python,2,,1,1,275.71,Euro
145362481-3,C++,1,0,1,2,497.01,JOD
773282917-4,,1,2,0,1,263.03,Euro
629773216-7,c++,1,2,0,2,355.54,USD
672206225-2,PYTHON,0,1,1,2,492.97,Euro
305741236-X,c++,1,1,1,2,311.66,JOD
808745758-7,C++,1,2,1,0,268.45,Euro
761379773-2,C++,2,2,1,0,135.66,Euro
161527745-5,R,2,0,0,1,369.05,USD
036635791-3,c++,1,0,1,2,220.74,USD
143493625-2,R,0,2,0,0,411.40,USD
790905588-9,Python,1,2,0,0,331.66,USD
784763193-8,Python,0,1,1,1,405.34,Euro
767264552-8,PYTHON,0,1,0,0,262.31,USD
960622731-6,R,2,2,2,0,110.71,USD
974518159-5,Python,2,1,1,2,385.62,JOD
340525258-X,java,0,0,1,1,331.94,USD
177789842-0,PYTHON,2,2,1,0,238.43,JOD
066504971-4,JAVA,1,0,2,0,466.84,USD
146146893-0,PYTHON,2,1,2,0,377.49,USD
009333698-5,java,1,2,1,1,294.38,JOD
745159251-0,C++,0,0,0,0,487.78,JOD
369875061-9,PYTHON,1,0,0,1,378.16,Euro
477921768-7,java,0,0,0,0,264.20,USD
813792692-5,java,1,0,2,2,319.57,Euro
897648259-X,PYTHON,1,2,1,2,462.23,USD
944800234-3,c++,2,1,0,2,383.51,Euro
069756481-9,java,0,0,0,2,296.51,JOD
826739083-9,JAVA,2,1,1,1,461.23,Euro
074411231-1,R,1,0,0,2,182.62,JOD
437791358-1,R,2,0,0,1,410.78,USD
782480526-3,C++,0,2,2,2,421.64,USD
972322338-4,PYTHON,0,2,0,1,496.73,Euro
038413842-X,JAVA,0,2,2,1,333.02,USD
925030428-5,JAVA,0,1,0,0,468.03,JOD
727343996-7,R,0,2,2,0,248.56,Euro
148209102-X,C++,0,1,1,0,289.05,USD
575402340-5,R,0,2,0,1,157.17,Euro
541631662-4,C++,0,1,0,1,424.19,Euro
000533099-8,PYTHON,1,2,1,2,375.58,JOD
711437392-9,R,1,2,2,0,111.07,Euro
980770115-5,Python,1,0,1,0,229.69,USD
927033545-3,R,1,1,2,2,327.14,USD
323000150-8,java,1,2,1,0,308.19,JOD
551063067-1,C++,2,2,0,1,292.15,JOD
325496940-5,PYTHON,2,2,2,1,256.18,USD
698417484-8,PYTHON,1,1,0,0,216.94,Euro
642218584-7,Python,0,0,0,0,150.50,USD
418117188-4,JAVA,1,0,1,0,266.32,JOD
047813005-8,C++,0,1,1,0,150.32,Euro
505078275-9,R,2,1,2,2,104.88,Euro
217419160-1,java,1,1,0,1,404.04,JOD
984882767-6,R,2,2,0,1,165.09,USD
604360045-5,PYTHON,2,0,1,1,176.04,Euro
812458764-7,C++,0,1,2,0,373.16,JOD
361442338-7,c++,0,1,1,1,325.30,Euro
909491512-X,C++,2,1,0,1,166.97,USD
233807288-X,c++,0,1,2,0,386.53,JOD
330668575-5,c++,1,1,0,1,210.38,USD
420743177-2,PYTHON,1,0,0,0,303.41,USD
904347193-3,java,0,1,2,0,313.74,Euro
542027364-0,PYTHON,0,1,0,0,492.28,JOD
289125826-6,PYTHON,0,2,0,1,378.53,Euro
105904221-5,C++,0,1,1,1,405.42,JOD
717941751-3,JAVA,2,0,1,2,384.13,USD
556270887-6,C++,0,1,0,2,151.49,Euro
414764306-X,c++,2,1,2,2,101.16,USD
861613826-9,C++,0,0,1,1,172.75,USD
413140377-3,PYTHON,2,1,2,1,328.13,Euro
622956159-X,JAVA,1,1,1,2,335.79,Euro
580992743-2,Python,0,2,2,0,468.16,USD
837553443-9,Python,1,1,0,2,451.00,USD
752243495-5,Python,0,2,0,1,108.19,Euro
622549076-0,java,1,0,1,2,384.32,USD
066964017-4,PYTHON,2,1,2,0,423.82,JOD
284237798-2,JAVA,0,2,2,1,443.64,Euro
248098485-0,java,0,0,2,2,375.88,USD
199534845-7,JAVA,2,0,0,2,250.52,Euro
826700142-5,PYTHON,0,2,0,2,363.49,Euro
894221523-8,R,0,2,0,2,427.91,Euro
409074405-9,PYTHON,0,1,2,1,496.74,JOD
510901762-X,Python,0,0,2,0,160.10,JOD
811828785-8,JAVA,1,0,1,1,139.81,USD
312243263-3,JAVA,1,2,2,0,208.81,JOD
344128972-2,java,0,,0,0,490.70,USD
933042330-2,JAVA,1,0,0,1,378.17,USD
275986877-X,Python,2,0,2,1,475.22,USD
160809336-0,java,0,0,1,2,297.22,USD
439738572-6,C++,2,1,2,0,375.82,Euro
567086979-6,C++,2,1,0,0,495.66,JOD
967490520-0,JAVA,2,1,2,1,270.97,USD
829940591-2,c++,2,2,0,1,195.12,Euro
246216861-3,,2,2,2,2,349.78,USD
627378827-8,PYTHON,2,0,2,0,466.25,USD
471174747-8,JAVA,1,1,2,1,334.59,Euro
217296673-8,c++,2,2,0,1,392.52,JOD
153493596-7,java,1,0,2,0,224.05,Euro
508820869-3,java,1,1,2,2,244.78,JOD
219739781-8,Python,0,0,1,0,118.82,USD
003679774-X,JAVA,1,2,2,2,261.45,USD
108133304-9,Python,1,2,0,2,176.33,JOD
134032323-0,Python,1,2,1,1,491.62,JOD
848266552-9,R,2,2,2,1,265.87,Euro
933302502-2,java,2,0,1,0,281.02,Euro
042409904-7,PYTHON,1,1,0,1,233.05,USD
749430181-X,java,1,2,1,0,284.81,USD
274843322-X,C++,0,1,1,0,491.26,JOD
271406640-2,PYTHON,1,0,2,1,119.60,JOD
144015671-9,JAVA,1,1,0,0,422.86,USD
082555498-5,JAVA,1,0,1,0,480.17,JOD
800565146-5,JAVA,1,1,1,0,341.11,USD
734432021-5,Python,2,2,1,0,448.69,USD
086345097-0,C++,0,2,2,2,235.12,USD
885187042-X,C++,2,0,1,0,173.74,Euro
368904186-4,JAVA,2,2,0,0,244.95,JOD
045088841-X,R,2,2,0,2,163.86,JOD
353970196-6,c++,2,1,1,0,450.33,Euro
393663410-6,JAVA,0,2,1,0,458.94,USD
223875750-3,java,1,1,1,0,483.83,JOD
075636210-5,C++,1,0,1,1,381.17,USD
812509626-4,java,0,0,1,2,470.59,USD
779279172-6,java,2,0,2,1,461.33,USD
129874153-X,Python,2,1,1,0,432.48,JOD
919183938-6,Python,2,2,0,0,396.57,Euro
600229174-1,java,1,1,0,1,478.19,Euro
506439263-X,C++,0,1,2,0,490.66,JOD
783391948-9,PYTHON,0,1,1,1,336.17,JOD
088048819-0,PYTHON,0,0,1,2,207.38,JOD
413152272-1,C++,0,0,2,1,480.99,JOD
553034779-7,java,1,2,1,0,395.08,USD
477323398-2,c++,2,2,1,1,363.54,JOD
338221296-X,C++,2,2,0,0,422.10,Euro
111163206-5,c++,0,0,0,1,184.36,Euro
378844751-6,PYTHON,2,0,0,0,203.09,Euro
281270832-8,java,1,0,0,2,482.17,USD
452132465-7,c++,1,1,2,1,208.82,USD
886402608-8,c++,0,2,1,1,433.36,JOD
276236079-X,R,1,0,2,2,231.41,Euro
429219663-X,PYTHON,2,1,2,1,133.30,JOD
602074941-X,R,0,0,2,0,100.64,Euro
023469295-2,JAVA,2,1,2,1,235.54,Euro
284284550-1,R,2,2,0,1,375.67,USD
108205601-4,R,2,,0,0,186.91,JOD
939461372-2,JAVA,1,,1,0,229.55,Euro
510656167-1,java,0,1,0,0,443.69,USD
323238438-2,PYTHON,1,2,2,0,288.27,Euro
330800639-1,Python,0,0,1,2,317.43,USD
435289017-0,R,2,0,1,0,372.87,Euro
635937105-7,C++,1,2,1,2,433.12,USD
955575955-3,JAVA,1,0,0,1,235.21,JOD
214350478-0,Python,0,1,0,1,306.87,USD
055425515-4,R,1,0,0,2,437.79,Euro
246770468-8,R,2,2,0,2,358.50,JOD
649471396-3,c++,0,0,2,0,407.05,Euro
553010984-5,java,0,,1,0,439.27,Euro
150742789-1,R,0,1,1,0,427.01,USD
463597257-7,JAVA,2,0,2,1,253.96,Euro
296769597-1,PYTHON,2,2,2,2,322.57,Euro
901520730-5,C++,1,1,0,0,141.10,Euro
939642212-6,c++,0,1,0,2,479.86,Euro
842358145-4,Python,1,2,1,2,371.67,JOD
