ProjectID,Programming Language,Employee-1,Employee-2,Employee-3,Employee-4,Award,Currency
459224891-0,JAVA,1,2,2,0,353.26,euro
732822293-X,java,2,2,2,0,165.20,euro
628283322-1,c++,2,0,1,0,300.21,jod
903909669-4,r,2,0,0,1,109.06,jod
954298580-0,R,2,0,0,0,380.85,Euro
908700432-X,python,0,1,0,0,159.02,USD
807101885-6,Python,0,0,1,0,366.83,USD
253395280-X,python,2,1,1,1,240.06,Euro
895450867-7,python,1,0,1,2,352.50,jod
422157289-2,r,1,1,2,1,376.66,Euro
101482896-1,R,0,1,1,1,210.51,Dollar
993055340-1,PYTHON,0,2,1,1,269.69,Euro
527311777-1,java,1,1,0,1,168.92,USD
612271170-5,python,1,0,0,0,473.22,euro
060292325-5,PYTHON,2,1,2,0,156.89,Euro
195487000-0,r,0,0,0,1,132.52,Dollar
057095250-6,C++,2,1,1,2,466.12,Euro
486075073-X,C++,1,2,1,2,358.37,USD
364551974-2,PYTHON,2,2,1,1,440.37,USD
598903687-6,python,0,0,1,0,399.11,JOD
971460564-4,python,0,1,1,0,408.89,USD
151024687-8,C++,0,2,2,1,484.96,jod
997592946-X,JAVA,1,2,2,0,342.97,jod
383506795-8,JAVA,0,1,1,2,286.31,USD
095111906-0,C++,0,2,1,0,147.49,Euro
490884306-6,Python,2,1,0,0,283.82,euro
278655185-4,R,0,2,0,0,354.27,euro
123314880-X,c++,0,1,0,2,128.47,Euro
066526215-9,R,2,0,2,0,444.97,jod
863841180-4,JAVA,1,0,2,2,300.94,Euro
778245994-X,JAVA,0,1,2,2,438.31,Euro
473593410-3,c++,2,0,0,0,165.10,euro
267672636-6,,0,1,2,1,121.72,euro
984274938-X,c++,1,1,0,1,481.78,jod
595009027-6,,0,0,0,0,467.74,Dollar
742520195-X,c++,1,2,1,0,261.72,euro
904177286-3,java,0,1,1,1,300.95,jod
709268949-X,JAVA,2,2,2,2,291.75,jod
289504006-0,C++,2,1,0,1,491.21,JOD
980213196-2,Python,2,1,0,1,393.38,Euro
848540086-0,Python,2,0,1,0,497.55,USD
263513477-4,r,0,2,0,2,150.72,jod
105442394-6,r,0,0,1,0,303.32,JOD
807516075-4,Python,1,1,1,1,223.48,Dollar
617864558-9,java,1,2,0,2,206.31,USD
683388276-2,R,0,0,2,0,354.24,Dollar
966780202-7,C++,1,0,1,1,461.45,JOD
206586950-X,python,2,2,1,1,297.32,USD
130567876-1,JAVA,2,0,1,1,309.48,jod
412692950-9,JAVA,0,1,1,2,475.76,euro
095541266-8,java,2,0,1,0,160.63,USD
455262205-6,JAVA,0,2,2,2,222.64,JOD
589309971-0,r,0,2,2,2,287.47,JOD
119136290-6,python,0,1,1,0,157.36,euro
007351464-0,Python,0,2,1,1,213.76,Euro
014721494-7,JAVA,1,2,0,1,250.44,JOD
083675671-1,R,1,1,1,2,167.26,jod
065223404-6,r,1,1,1,2,174.06,Dollar
018085086-5,python,1,2,2,0,312.62,JOD
021362535-0,Python,2,1,1,0,462.87,JOD
414266226-0,R,2,2,0,1,476.03,JOD
945096338-X,c++,1,2,1,2,207.35,USD
952714691-7,PYTHON,2,1,0,0,362.35,jod
157112759-3,PYTHON,2,1,0,2,411.52,jod
205481233-1,python,0,1,1,2,470.68,Euro
501646829-X,r,0,1,1,1,228.86,JOD
402978134-9,PYTHON,0,0,2,2,202.26,jod
390407756-2,PYTHON,1,2,0,2,204.65,euro
419097023-9,java,0,1,1,2,260.64,Euro
064455837-7,PYTHON,2,1,0,2,208.47,Dollar
735513702-6,JAVA,2,0,0,1,221.06,Euro
812781012-6,r,0,0,0,0,231.14,Dollar
493832596-9,java,0,0,1,1,274.34,Dollar
737653894-1,c++,1,2,0,0,338.66,JOD
563660364-9,c++,1,0,2,2,368.02,JOD
230389832-3,java,0,0,0,0,135.49,Euro
084611741-X,Python,2,0,2,0,364.55,Dollar
426612901-7,Python,2,2,1,1,173.45,JOD
547280228-8,r,2,2,2,2,202.71,JOD
041301775-3,r,2,1,1,0,343.89,Euro
280918128-4,JAVA,0,1,2,0,142.95,USD
381829714-2,c++,0,2,2,1,176.21,jod
863862856-0,R,1,0,2,2,365.27,jod
219373595-6,c++,0,2,1,0,181.72,jod
212012920-7,c++,0,1,2,0,195.60,jod
414000597-1,python,2,1,2,2,368.40,euro
313292373-7,PYTHON,0,0,0,1,126.46,Euro
904817874-6,python,0,0,2,1,395.43,JOD
618607082-4,C++,2,2,1,0,454.19,jod
396058149-1,R,1,2,1,0,455.45,Euro
838298035-X,r,1,1,2,2,114.69,USD
318960513-0,r,0,2,2,1,199.71,Euro
478216227-8,r,2,1,1,2,351.54,jod
831043587-8,java,1,0,0,1,155.08,jod
673135275-6,Python,1,2,1,0,114.27,Dollar
168774935-3,C++,0,2,2,1,179.65,jod
084685542-9,JAVA,1,0,0,1,491.18,Dollar
747565645-4,R,2,1,0,1,281.33,JOD
027447472-7,PYTHON,1,2,2,0,185.54,Dollar
279983578-3,R,0,1,2,1,207.30,Euro
967419185-2,python,1,2,2,2,396.09,Dollar
643337901-X,c++,1,0,0,0,379.97,JOD
183177109-8,JAVA,1,2,0,0,397.79,euro
344277271-0,Python,0,0,1,1,166.55,Euro
085142386-8,R,2,0,0,0,402.61,jod
685701820-0,JAVA,1,2,2,0,355.98,Dollar
969840449-X,java,1,1,2,1,305.91,euro
168520058-3,PYTHON,1,1,2,1,150.85,JOD
552263730-7,R,2,0,0,1,165.26,JOD
341625175-X,python,1,1,0,1,169.18,Dollar
413941287-9,C++,0,0,2,2,213.91,Dollar
773500455-9,c++,0,1,0,0,479.29,Euro
765667788-7,c++,1,2,2,2,283.59,Dollar
417902694-5,java,2,1,0,1,489.54,Dollar
718691403-9,R,2,1,1,2,144.03,jod
569098931-2,java,1,1,1,0,459.07,jod
242402515-0,c++,1,1,2,1,468.70,Dollar
867788135-2,R,2,1,0,2,227.25,USD
657971946-X,java,0,1,1,2,107.17,jod
857047068-1,PYTHON,2,1,1,2,180.00,Euro
598219855-2,JAVA,2,0,2,0,433.11,USD
005073939-5,c++,0,2,1,1,496.40,USD
535845577-9,R,2,0,2,1,261.25,jod
792844684-7,java,1,0,2,0,281.52,jod
540144797-3,r,1,2,2,1,278.35,Euro
535972180-4,Python,1,0,0,0,257.90,JOD
931117314-2,r,2,2,1,1,111.62,jod
247294742-9,c++,0,1,1,1,245.69,Euro
713357501-9,R,0,0,0,2,244.36,Dollar
030176151-5,PYTHON,0,1,1,0,289.95,Euro
564779264-2,R,0,1,1,1,225.60,jod
303112382-4,python,2,0,0,0,370.48,Euro
717882775-0,java,1,0,1,1,433.31,jod
059898631-6,python,0,0,0,2,416.99,USD
979295050-8,JAVA,2,2,2,0,355.67,jod
840225833-6,Python,2,0,0,1,437.29,euro
631429346-4,C++,0,0,2,1,109.61,Euro
206613404-X,,0,2,0,1,351.46,USD
371661263-4,python,2,2,2,2,235.35,Dollar
392432045-4,PYTHON,0,0,1,2,315.23,Dollar
246867923-7,Python,1,2,0,0,137.33,Dollar
553158119-X,c++,0,1,2,2,206.86,euro
367455076-8,PYTHON,2,2,0,1,464.51,Dollar
497967717-7,R,2,0,2,2,391.71,Euro
009255166-1,PYTHON,1,0,2,1,346.67,USD
408213185-X,Python,1,1,0,0,443.74,USD
240060525-4,R,1,2,2,0,457.16,USD
077254478-6,python,0,0,2,2,471.59,Dollar
804114624-4,,1,0,0,1,131.23,JOD
367287091-9,Python,1,0,2,2,403.30,euro
098669954-3,c++,2,2,1,2,140.94,USD
923665974-8,JAVA,2,2,1,0,277.96,Dollar
820371984-8,JAVA,0,1,2,0,130.50,JOD
221756696-2,Python,0,1,2,1,433.07,JOD
747403429-8,PYTHON,1,0,2,1,336.76,jod
452726739-6,PYTHON,0,0,2,0,172.44,Dollar
652966422-X,R,1,0,2,2,424.36,Euro
673017267-3,python,0,0,2,1,233.77,JOD
149437478-1,r,1,2,2,1,326.20,euro
510635297-5,JAVA,0,2,0,1,481.71,USD
802389726-8,PYTHON,1,2,1,2,118.41,Dollar
937906071-8,c++,2,0,2,1,308.24,jod
436860437-7,,0,0,0,1,453.22,Dollar
944047687-7,JAVA,0,1,2,0,188.95,Euro
522792311-6,,1,2,1,2,238.69,euro
736756423-4,c++,1,0,0,2,134.09,euro
211874567-2,python,1,0,1,0,148.72,Dollar
689142416-X,python,0,0,2,2,375.41,euro
913684170-6,c++,0,2,1,1,374.99,USD
545980624-0,Python,1,0,0,1,361.61,euro
532185135-2,java,1,2,0,0,253.62,Dollar
602310382-0,,0,0,2,2,414.99,jod
612827171-5,JAVA,2,1,1,2,269.83,USD
150128250-6,PYTHON,0,1,1,1,281.19,JOD
667441219-8,c++,2,2,0,2,197.55,Euro
932274530-4,JAVA,1,2,2,2,384.62,Euro
117776586-1,r,1,0,1,0,460.03,Euro
673767046-6,JAVA,1,0,0,0,328.77,euro
342522005-5,java,2,0,2,1,331.70,Euro
197053492-3,java,0,0,2,0,485.81,USD
934248042-X,R,2,0,1,1,222.09,jod
815106058-1,R,2,2,2,1,246.17,USD
762467675-3,JAVA,0,2,1,2,359.25,jod
300020638-8,python,2,0,2,1,321.61,jod
621527826-2,,1,0,2,1,203.82,Euro
314659630-X,r,0,2,2,1,219.49,USD
301292487-6,r,1,1,2,2,358.75,Euro
174745071-5,R,2,1,1,1,188.85,USD
242380829-1,C++,2,1,2,0,123.72,JOD
267527208-6,c++,0,1,0,2,295.58,Dollar
342580481-2,c++,0,0,2,2,195.40,USD
169230407-0,java,0,2,1,2,348.50,jod
058675023-1,,2,2,0,2,336.57,JOD
042256020-0,R,0,2,2,1,272.77,euro
776403565-3,PYTHON,0,2,1,2,276.54,USD
034949411-8,C++,1,1,0,0,342.76,JOD
253868581-8,java,0,2,0,2,229.67,USD
512418235-0,JAVA,0,1,0,2,384.45,USD
037543145-4,JAVA,0,1,1,0,104.79,jod
074946266-3,R,0,1,2,0,165.55,USD
969183762-5,JAVA,0,1,0,1,325.17,Dollar
092512691-8,C++,1,0,2,0,291.97,USD
263653606-X,r,1,0,0,1,394.84,jod
889439090-X,PYTHON,1,1,2,2,402.18,Euro
359393822-7,c++,2,1,1,1,199.81,Euro
548506154-0,c++,2,0,0,0,448.91,jod
238722975-4,c++,1,2,0,2,311.94,USD
377202672-9,R,0,0,1,1,380.79,USD
119936839-3,C++,2,0,1,1,131.22,jod
533585441-3,,2,1,0,0,190.12,Euro
315235267-0,PYTHON,1,0,1,0,337.14,jod
444174834-5,r,1,0,0,2,306.62,JOD
063337254-4,PYTHON,0,0,1,2,101.90,euro
316209483-6,PYTHON,1,2,0,0,292.47,euro
366936719-5,python,1,0,0,0,135.09,Euro
940796243-1,c++,0,2,1,2,468.96,jod
882147167-5,Python,1,1,0,0,139.85,euro
130253169-7,PYTHON,2,1,1,0,233.73,JOD
573572921-7,Python,2,1,2,1,141.65,euro
633207000-5,c++,2,2,1,1,150.94,Dollar
154138309-5,PYTHON,1,1,0,1,230.53,JOD
511051020-2,java,1,1,1,2,234.22,USD
496647720-4,R,1,1,0,0,492.17,jod
154490272-7,java,2,1,0,0,319.35,Dollar
692072440-5,PYTHON,1,0,2,0,228.18,euro
801217092-2,java,2,2,0,2,418.02,JOD
440510192-2,python,1,1,0,2,419.48,jod
395868779-2,JAVA,0,2,1,1,231.03,USD
275218627-4,r,2,0,2,0,256.15,Dollar
759451896-9,python,0,0,0,1,160.21,JOD
299991293-5,C++,2,2,1,1,481.64,Euro
137614074-8,c++,2,0,1,1,151.66,euro
162212009-4,java,1,1,1,2,483.88,jod
071832785-3,C++,2,1,0,1,257.87,euro
906189003-9,python,0,0,2,0,311.07,USD
682560190-3,r,2,2,2,1,378.80,USD
780858440-1,Python,2,2,2,1,339.84,Dollar
403695182-3,Python,1,0,2,2,131.69,jod
606145156-3,java,2,2,0,0,408.90,JOD
166383689-2,java,2,1,2,2,179.62,Dollar
371817896-6,R,1,2,2,1,476.29,JOD
313235620-4,JAVA,0,0,2,0,215.81,jod
161504213-X,c++,2,2,0,1,230.79,Dollar
534614120-0,C++,1,2,2,1,287.06,USD
285066805-2,java,1,1,1,0,399.86,USD
757208860-0,JAVA,1,0,2,2,296.06,USD
520409071-1,PYTHON,1,2,1,2,451.09,Euro
911281320-6,C++,2,1,1,2,400.60,Euro
757764295-9,C++,2,0,0,2,332.21,Euro
654170939-4,,0,2,1,2,361.92,USD
129777869-3,R,0,0,1,2,129.01,JOD
470133742-0,,1,2,2,1,223.93,jod
899403144-8,R,0,1,0,1,392.66,Dollar
507879571-5,python,0,2,2,0,408.57,Euro
169518647-8,,1,2,2,2,364.79,Euro
400258772-X,Python,1,0,1,2,475.69,Euro
371427477-4,C++,2,1,2,2,355.68,euro
543802597-5,Python,2,1,0,1,332.84,Dollar
056407057-2,c++,0,1,0,2,105.61,USD
057683090-9,Python,0,0,2,0,363.67,Euro
968468634-X,C++,2,2,2,2,134.10,jod
561812894-2,R,1,2,2,2,308.60,euro
681369147-3,C++,1,2,0,0,205.82,Dollar
860840175-4,c++,2,2,1,2,377.93,jod
961684121-1,java,1,0,1,1,336.77,USD
248279323-8,r,0,1,2,0,377.74,Dollar
956984957-6,JAVA,2,2,0,0,236.12,jod
804341457-2,java,1,1,0,2,200.41,Euro
944017805-1,python,0,2,1,2,297.90,euro
363839994-X,C++,2,2,0,1,308.38,USD
792003207-5,JAVA,1,1,0,0,234.24,Dollar
439648503-4,r,0,2,1,2,287.46,euro
964962170-9,PYTHON,1,2,2,2,478.74,jod
773051919-4,Python,1,1,1,0,245.48,USD
324331307-4,java,1,1,1,2,385.61,USD
062044925-X,python,0,1,1,1,278.13,Euro
732239990-0,r,1,2,1,2,224.82,Euro
316872549-8,R,0,1,2,1,457.24,Dollar
371756295-9,r,2,1,1,0,482.76,euro
457464527-X,R,0,2,2,1,121.29,USD
289372044-7,c++,2,0,2,2,235.47,Dollar
624567311-9,Python,1,2,2,1,343.08,euro
650547687-3,java,1,0,2,0,252.44,JOD
542159792-X,Python,2,1,2,0,106.68,euro
152698206-4,PYTHON,0,0,1,2,392.08,Dollar
021566909-6,PYTHON,1,0,2,2,293.37,JOD
063332052-8,,2,2,0,2,350.38,JOD
567892220-3,java,2,1,1,0,137.55,jod
208620472-8,JAVA,1,2,0,0,210.66,USD
593317969-8,C++,1,2,1,2,167.98,euro
665981762-X,c++,1,0,0,2,443.51,jod
615842915-5,r,2,1,0,0,222.52,euro
173248198-9,C++,2,0,1,0,449.61,jod
646483344-8,PYTHON,0,1,1,0,337.99,euro
680120056-9,C++,2,0,2,2,406.53,euro
944004537-X,C++,2,1,2,1,112.30,jod
436503181-3,Python,0,2,1,2,309.74,jod
124522125-6,JAVA,1,0,2,2,360.34,euro
203588569-8,PYTHON,2,2,1,1,150.08,jod
926672224-3,R,2,0,2,2,352.99,JOD
284970655-8,java,0,1,1,2,124.56,jod
881936212-0,r,2,1,0,1,464.77,JOD
248684998-X,C++,1,0,2,1,116.23,USD
889149395-3,python,1,0,1,2,301.50,euro
161185885-2,R,2,0,2,0,476.17,USD
209681877-X,Python,2,1,1,1,210.92,jod
830257985-8,python,2,2,1,0,314.01,JOD
144570835-3,,2,1,0,2,216.66,USD
082983774-4,python,2,1,0,2,306.02,euro
551484657-1,c++,0,2,1,2,176.58,euro
124013881-4,C++,2,1,1,0,225.14,USD
304980031-3,C++,0,0,1,0,199.79,JOD
624137753-1,C++,1,0,2,2,336.31,JOD
868084897-2,python,1,2,0,1,382.62,Dollar
796659357-6,java,0,0,0,0,232.45,JOD
317750279-X,PYTHON,2,1,2,0,146.80,JOD
722975330-9,c++,0,2,0,0,198.36,euro
347084275-2,python,2,0,2,1,290.65,JOD
705305550-7,java,1,1,2,2,377.29,JOD
522459866-4,R,0,0,1,0,303.95,Dollar
173143532-0,python,1,0,1,1,298.05,euro
541043448-X,python,0,1,2,1,478.48,USD
005379169-X,python,1,0,0,2,324.83,JOD
910566251-6,,1,1,2,1,137.57,euro
410559330-7,python,2,2,2,2,443.60,USD
089929845-1,python,0,0,2,0,293.49,jod
794491684-4,r,2,0,1,2,121.13,Euro
166196646-2,R,2,1,0,0,272.10,Euro
617699491-8,Python,2,1,1,1,469.39,Dollar
252322545-X,JAVA,0,2,0,1,140.68,euro
183344134-6,R,2,2,1,2,177.78,euro
843608778-X,PYTHON,2,0,0,2,466.27,Euro
805600664-8,JAVA,2,2,0,1,329.14,USD
456133318-5,JAVA,1,0,1,2,168.69,Dollar
480980442-9,java,0,1,0,2,155.11,Euro
920462820-0,Python,2,0,0,1,470.95,euro
304035485-X,,0,1,0,0,235.90,Dollar
533969009-1,JAVA,2,1,2,1,123.68,Euro
073423659-X,java,2,1,1,2,289.75,USD
792940223-1,C++,2,0,2,1,275.72,euro
804522034-1,PYTHON,1,0,1,2,446.57,jod
576472765-0,c++,0,1,0,2,370.06,euro
521593692-7,c++,2,1,0,2,173.18,Dollar
346630115-7,Python,2,1,2,0,199.46,euro
377578996-0,JAVA,2,0,0,0,182.46,USD
227750007-0,PYTHON,2,2,0,0,215.22,jod
092109089-7,r,1,0,1,1,259.34,Euro
686527479-2,python,0,1,2,0,226.00,Dollar
973298959-9,JAVA,2,1,1,1,234.04,Dollar
744195754-0,R,0,1,1,2,486.00,Euro
262960214-1,c++,2,1,1,2,222.59,Euro
813318374-X,R,2,2,0,2,358.96,Dollar
890610035-3,,2,1,2,1,323.69,euro
455850988-X,c++,1,1,2,0,245.63,Dollar
471409942-6,Python,2,1,1,2,443.75,euro
637275320-0,R,2,1,2,0,467.67,Dollar
576612149-0,c++,2,0,0,1,185.78,Dollar
081259109-7,R,0,1,0,1,428.02,USD
303562726-6,Python,1,1,0,0,256.43,Euro
844067233-0,,0,0,0,1,348.84,euro
661948089-6,PYTHON,2,1,1,2,279.57,Dollar
942945674-1,c++,1,1,1,0,142.11,Euro
807559930-6,c++,1,1,2,2,481.97,JOD
583281230-1,c++,2,0,0,2,110.61,JOD
784182399-1,R,0,1,0,0,246.60,JOD
406071082-2,R,1,0,0,0,163.81,euro
504911827-1,C++,1,1,0,1,205.02,jod
694432727-9,Python,0,2,0,0,465.57,USD
618395158-7,r,2,2,2,1,167.10,euro
829232180-2,r,0,0,1,1,138.43,USD
145982475-X,r,1,0,0,2,338.87,JOD
388539140-6,c++,1,0,1,0,385.15,jod
964602304-5,java,1,2,1,2,332.00,JOD
420913646-8,r,0,0,1,2,437.38,euro
422031620-5,python,2,2,2,0,165.77,Dollar
293454170-3,Python,2,2,2,1,331.45,Euro
400863135-6,python,0,0,1,2,334.55,Euro
499679675-8,PYTHON,2,0,1,1,117.96,USD
852262519-0,c++,0,0,2,1,431.31,jod
765180830-4,R,1,0,2,1,328.31,jod
576282868-9,JAVA,1,1,2,1,383.01,Dollar
086750471-4,python,0,2,0,1,459.28,Euro
102492060-7,java,2,0,0,2,316.80,Dollar
980431090-2,r,2,0,0,0,352.80,Euro
528281235-5,C++,1,1,1,1,442.60,euro
212093108-9,PYTHON,1,0,1,0,166.75,JOD
899502744-4,R,1,2,1,0,383.26,euro
345829312-4,python,2,0,1,1,386.41,Euro
765640755-3,JAVA,0,1,2,2,209.63,USD
456425507-X,Python,2,0,0,1,452.42,USD
414038603-7,Python,1,0,1,2,466.25,euro
821917288-6,R,1,2,0,1,310.92,Euro
584454277-0,java,1,2,2,1,229.41,USD
529413981-2,Python,2,1,1,0,407.50,USD
163994311-0,r,0,0,1,2,383.67,jod
704641747-4,r,1,1,0,1,139.53,Dollar
275375651-1,PYTHON,2,2,0,2,255.46,jod
641162683-9,PYTHON,2,1,0,0,107.04,Dollar
281876706-7,Python,1,0,1,0,198.13,euro
361650857-6,PYTHON,1,2,1,2,499.23,euro
654255381-9,JAVA,1,1,0,2,188.44,jod
356427261-5,R,2,1,0,0,340.52,jod
531253369-6,JAVA,0,0,2,2,395.37,USD
656461790-9,C++,2,0,0,0,381.99,jod
413301391-3,JAVA,2,1,1,1,369.09,Dollar
368720748-X,R,2,1,2,2,191.42,jod
003705417-1,PYTHON,2,2,2,0,397.92,Euro
489998978-4,,2,0,1,1,356.96,euro
407987934-2,java,1,1,1,0,431.35,Euro
229822667-9,java,0,2,1,0,106.27,jod
056377452-5,PYTHON,0,0,2,0,192.49,JOD
864463448-8,java,2,1,1,1,124.44,jod
325904977-0,C++,2,2,1,0,278.02,USD
683128596-1,c++,2,1,2,0,267.25,JOD
370359321-0,java,1,0,2,0,262.80,Euro
235240267-0,JAVA,0,1,1,1,134.87,euro
700791533-7,C++,2,2,2,0,302.24,jod
514426349-6,c++,1,2,0,1,149.46,Euro
271034148-4,JAVA,0,2,1,0,237.23,JOD
552415400-1,C++,1,2,1,2,200.29,JOD
852637684-5,r,1,0,1,2,165.00,Euro
369869518-9,java,0,1,0,2,487.70,jod
901321778-8,JAVA,1,1,2,0,112.92,JOD
909037270-9,python,2,2,0,0,182.91,Euro
096883101-X,,1,0,1,2,490.77,euro
697774026-4,r,1,0,2,1,167.60,euro
814953566-7,r,1,0,2,2,425.07,JOD
225562604-7,C++,0,2,1,2,175.33,jod
276529744-4,java,2,1,2,2,168.54,USD
981526482-6,C++,1,2,1,0,325.76,Dollar
419163573-5,C++,1,1,1,0,224.71,jod
472448638-4,c++,0,2,0,1,380.45,jod
851044889-2,python,1,1,1,2,336.37,euro
157256137-8,r,1,1,1,1,136.10,Dollar
918194947-2,,2,2,2,0,314.42,Dollar
271066236-1,python,2,2,2,1,262.48,euro
728727530-9,R,1,2,1,0,379.02,Dollar
241760924-X,Python,1,2,2,2,266.48,Euro
381713307-3,r,1,1,1,2,243.07,Dollar
298190521-X,Python,0,2,2,1,114.72,Euro
895849277-5,r,0,0,2,0,344.87,USD
006266723-8,C++,0,1,0,1,494.01,USD
025848542-6,Python,1,0,1,0,141.55,JOD
154444073-1,JAVA,1,1,1,2,248.58,Euro
498831965-2,PYTHON,1,2,0,2,243.71,USD
460995520-2,python,1,1,1,1,329.73,JOD
737810202-4,java,0,1,0,1,143.13,JOD
602008293-8,Python,2,2,1,2,475.03,Euro
374764950-5,C++,1,1,0,1,104.58,euro
537066956-2,r,2,0,0,2,245.98,Dollar
859065660-8,R,1,0,1,0,305.28,Dollar
769880037-7,c++,0,1,1,0,123.92,JOD
550376009-3,python,0,1,1,2,323.02,Dollar
616626760-6,R,2,2,2,2,136.58,JOD
024198130-1,r,0,2,1,0,303.88,USD
834763799-7,JAVA,1,2,1,1,305.68,jod
967301247-4,c++,0,2,1,0,454.93,jod
484442112-3,java,2,2,1,0,174.76,JOD
709226136-8,r,2,1,2,2,336.07,JOD
592959427-9,Python,0,0,0,0,454.05,Euro
995474253-0,java,2,1,2,1,187.37,Euro
425048035-6,python,1,0,0,1,205.18,Euro
687661730-0,C++,0,2,0,1,473.37,Dollar
360939892-2,java,1,2,1,1,299.96,euro
647199902-X,R,1,1,0,1,214.11,Dollar
979152723-7,python,0,2,1,2,171.24,USD
261288086-0,JAVA,1,1,0,1,123.73,Dollar
727820104-7,java,2,1,1,0,405.22,USD
873515132-3,java,2,1,1,2,420.43,USD
648832809-3,PYTHON,0,0,0,2,438.81,euro
570464089-3,python,0,2,0,0,381.36,Dollar
166717985-3,python,1,0,2,1,165.49,Dollar
593940209-7,c++,0,2,2,0,389.38,Dollar
322636470-7,PYTHON,2,1,2,1,238.14,Euro
662026326-7,JAVA,0,2,2,2,244.05,jod
490255191-8,R,1,1,0,1,192.65,USD
638045028-9,Python,0,0,0,2,319.99,euro
826321384-3,R,1,0,2,0,298.73,USD
642361654-X,python,0,2,0,1,466.18,euro
353650450-7,,0,0,0,2,184.87,Euro
450483591-6,R,2,0,0,0,286.07,euro
875565545-9,java,0,2,2,2,297.42,Euro
425209170-5,java,1,1,2,2,266.95,USD
610662288-4,java,2,1,1,0,375.89,euro
751823012-7,Python,0,2,0,2,234.89,Dollar
145522361-1,r,0,1,2,1,225.61,Euro
296832005-X,java,1,0,2,1,347.01,JOD
680123404-8,java,2,1,2,2,135.57,jod
677348744-7,java,0,1,0,2,109.13,jod
334578051-8,PYTHON,1,2,2,1,257.59,JOD
341989438-4,C++,2,2,2,1,427.33,USD
770720547-2,java,0,1,2,2,320.03,USD
374913698-X,java,1,1,1,0,347.01,JOD
684920256-1,,2,0,0,0,237.35,Euro
431963520-5,python,1,0,1,0,186.35,Euro
322019489-3,R,1,2,0,0,409.57,USD
089563981-5,R,2,1,1,2,329.84,Euro
368446808-8,JAVA,1,2,1,2,435.18,JOD
518431806-2,PYTHON,2,0,0,1,433.41,jod
108951944-3,R,2,2,1,0,236.96,euro
041222227-2,R,0,1,0,2,112.08,jod
636324164-2,c++,2,2,1,1,190.80,Euro
058416265-0,c++,1,2,0,0,101.89,jod
957486907-5,,0,2,1,0,168.46,JOD
634312786-0,c++,0,2,1,1,126.87,jod
499311930-5,,0,2,2,1,150.19,JOD
874365060-0,c++,0,1,0,2,457.47,Dollar
698411803-4,c++,2,1,0,2,151.06,Euro
602517131-9,c++,0,2,1,0,399.37,jod
944369964-8,python,0,0,2,1,116.06,Dollar
165293054-X,python,1,2,1,0,110.15,jod
659324609-3,java,0,0,0,1,150.30,Dollar
865574077-2,JAVA,2,0,1,1,142.08,Euro
911557412-1,python,0,1,0,1,479.18,Euro
508206230-1,PYTHON,1,1,2,2,197.55,Euro
464324463-1,R,1,0,1,1,286.07,Dollar
817241430-7,Python,1,1,0,1,362.90,jod
050820192-6,C++,0,0,1,0,243.03,jod
023629137-8,R,2,2,1,0,418.91,USD
681116630-4,python,2,2,0,2,451.16,Euro
145087914-4,java,1,0,1,0,493.92,JOD
585266354-9,R,2,2,0,2,132.22,jod
832335918-0,PYTHON,1,2,0,0,190.19,Euro
304138610-0,R,1,0,0,1,217.93,USD
216254671-X,PYTHON,0,2,1,0,125.31,jod
423499386-7,JAVA,0,2,0,1,468.27,euro
139916126-1,JAVA,2,1,1,0,416.75,Dollar
843424199-4,Python,1,1,0,2,167.65,USD
900999824-X,Python,2,0,2,0,316.56,euro
937302084-6,JAVA,0,2,2,1,175.64,JOD
450098774-6,,0,2,2,1,188.55,JOD
832153734-0,Python,0,2,2,0,312.80,JOD
195402492-4,r,1,1,2,2,178.30,USD
320286468-8,c++,2,1,2,2,299.78,Euro
956207385-8,C++,2,0,0,0,182.68,USD
818174868-9,R,1,2,0,1,424.91,USD
525711352-X,python,0,2,0,2,138.40,JOD
498559466-0,Python,1,0,2,1,301.02,USD
381053549-4,python,0,2,2,0,414.57,Euro
580709902-8,PYTHON,1,2,2,0,446.90,Euro
451010946-6,python,2,0,1,0,211.13,Euro
347085822-5,C++,2,1,2,0,407.21,jod
541213405-X,python,1,0,2,0,167.96,USD
506082952-9,Python,2,0,1,2,349.32,Euro
384778514-1,java,0,1,2,1,155.24,euro
029548211-7,C++,2,0,2,0,470.88,Dollar
158638106-7,python,1,0,0,1,459.89,JOD
102425818-1,C++,1,0,1,0,221.53,euro
390341494-8,python,1,1,0,1,340.31,USD
899840511-3,C++,0,1,1,2,119.60,euro
388646460-1,r,1,0,0,1,263.52,Euro
235812316-1,c++,0,2,0,1,265.11,JOD
994666147-0,r,1,1,2,1,275.05,JOD
960055347-5,PYTHON,1,0,0,1,118.98,jod
453758607-9,python,1,0,1,1,237.91,USD
550803475-7,R,2,0,1,0,192.52,Euro
378584598-7,R,0,0,0,0,389.74,Dollar
204451209-2,c++,1,1,1,2,193.63,jod
892008055-0,JAVA,2,0,1,1,370.28,jod
709193827-5,java,1,1,1,0,264.52,JOD
446455923-9,R,2,0,1,0,420.98,USD
198408240-X,c++,2,2,2,1,133.67,Dollar
231438472-5,JAVA,1,2,1,1,228.94,euro
070004458-2,python,0,0,0,0,351.99,JOD
810842788-6,Python,0,1,2,0,142.71,euro
516217857-8,C++,1,0,1,0,230.46,Dollar
