Project_ID,Programming Language,Employee-1,Employee_2,Employee-3,Employee_4,Award,Currency
438229479-7,PYTHON,1,2,2,0,454.00,jod
759846325-5,c++,0,2,2,1,206.57,jod
933548978-6,JAVA,1,0,1,1,413.53,Euro
186664284-7,java,1,2,1,1,356.33,USD
180726737-7,C++,2,0,2,0,357.79,euro
163142315-0,R,2,1,0,0,352.47,euro
736104113-2,java,2,1,1,1,478.19,euro
799774003-1,python,1,1,1,0,273.95,jod
938441743-2,,2,0,1,1,485.33,USD
523452156-7,JAVA,0,0,2,1,394.79,USD
094614017-0,R,0,2,0,0,437.46,Dollar
043305436-0,r,0,1,2,0,272.53,euro
044116537-0,JAVA,2,1,0,1,143.04,Dollar
248098941-0,C++,1,0,2,2,304.56,euro
640033834-9,,0,0,2,2,245.61,jod
863345254-5,python,2,2,2,1,407.24,USD
484797170-1,c++,0,0,2,0,490.23,euro
818852048-9,java,1,2,2,2,308.52,euro
310385906-6,Python,2,0,0,0,445.47,Euro
291681418-3,Python,1,0,2,0,419.11,Dollar
962712711-6,,2,2,2,0,424.55,euro
932448356-0,Python,2,1,2,1,282.85,jod
698876130-6,PYTHON,2,1,2,1,152.58,jod
369058958-4,Python,2,2,1,2,233.93,euro
035435595-3,Python,2,0,2,0,195.66,USD
370737296-0,C++,1,2,2,0,391.35,Euro
622297652-2,JAVA,0,2,0,1,440.03,Euro
652954212-4,R,0,0,2,0,346.83,euro
232086340-0,R,2,0,2,1,481.22,jod
363987205-3,JAVA,2,1,0,2,214.58,Dollar
494207983-7,C++,0,2,2,1,113.21,Euro
935196211-3,R,2,1,2,2,176.95,JOD
784435734-7,java,1,1,1,2,431.47,jod
564683136-9,c++,1,2,2,2,244.55,euro
178506774-5,r,2,0,0,0,293.61,JOD
470693519-9,JAVA,1,0,0,2,286.22,USD
404337315-5,JAVA,0,1,2,2,380.71,Euro
292748104-0,r,0,2,0,0,199.54,Dollar
176739502-7,c++,1,1,2,1,404.63,euro
490370845-4,R,2,2,0,2,438.03,Euro
907691894-5,java,0,0,2,2,367.74,euro
764151659-9,R,1,1,0,1,495.72,JOD
355260010-8,r,0,0,1,0,255.85,euro
265988877-9,C++,0,0,0,1,121.63,USD
451942932-3,r,2,0,0,0,253.60,USD
329167452-9,python,0,0,0,1,313.71,USD
584714851-8,c++,0,1,2,1,131.39,JOD
828776269-3,JAVA,0,0,2,0,393.05,Dollar
579643445-4,c++,0,2,0,1,214.05,Euro
947559142-7,C++,1,0,2,0,256.89,Euro
105876101-3,JAVA,2,1,1,2,227.19,Dollar
827584166-6,C++,0,0,1,0,465.96,Euro
229102234-2,c++,2,0,1,0,364.94,euro
535995618-6,c++,0,2,0,1,119.40,Dollar
337976740-9,C++,0,2,1,1,499.59,JOD
626363302-6,JAVA,0,1,0,1,393.63,Dollar
920587922-3,java,0,2,1,1,253.67,USD
930351174-3,R,0,0,2,2,430.90,Euro
524374612-6,python,2,2,0,0,168.25,Euro
763734482-7,JAVA,1,1,1,1,125.21,Euro
993180093-3,R,1,1,2,0,430.05,euro
595492014-1,Python,0,1,1,0,338.13,jod
279808947-6,c++,2,1,1,1,347.10,JOD
987281418-X,c++,2,0,0,2,312.02,USD
946914382-5,R,0,1,2,2,254.02,euro
324510023-X,python,0,2,2,2,392.68,JOD
602535063-9,C++,2,0,2,1,320.80,JOD
512341814-8,r,2,2,1,2,470.79,Dollar
427725999-5,r,0,2,2,2,235.09,euro
566358021-2,java,2,0,1,1,261.41,Euro
563470912-1,c++,1,2,2,0,458.34,Dollar
390155002-X,python,1,1,2,2,187.19,JOD
612115887-5,,2,2,2,2,341.28,JOD
007845712-2,Python,1,2,2,0,243.51,USD
408812494-4,C++,1,2,0,1,312.81,JOD
852551572-8,R,0,1,0,0,485.68,jod
122102550-3,java,1,0,1,1,154.53,JOD
395745803-X,python,1,1,2,0,241.30,USD
875296936-3,r,1,2,2,0,215.99,Euro
892154399-6,r,0,2,1,1,253.59,Euro
221392330-2,java,2,1,1,0,345.32,euro
080996503-8,r,0,0,0,1,121.36,Euro
593210088-5,r,0,1,1,0,220.67,Euro
406594856-8,java,0,2,2,1,424.43,jod
809052818-X,PYTHON,2,2,1,1,422.03,Euro
829124153-8,r,2,2,2,0,397.96,Euro
311807142-7,C++,2,0,0,0,271.59,USD
956694873-5,r,0,2,0,2,349.25,USD
238335508-9,java,0,1,0,0,308.39,euro
233713338-9,Python,1,2,0,2,134.33,euro
215307156-9,JAVA,2,0,1,0,259.27,euro
949351139-1,JAVA,0,2,0,2,223.10,USD
509809230-2,PYTHON,1,1,2,0,453.65,JOD
879543252-3,JAVA,0,1,2,2,489.94,USD
064833062-1,C++,0,1,2,0,448.23,Dollar
189116431-7,python,2,2,1,0,240.60,euro
125011620-1,R,2,0,1,0,332.01,Euro
563429886-5,Python,0,0,1,1,124.40,USD
345595688-2,java,0,1,2,1,387.48,jod
202413266-9,C++,2,0,0,1,135.63,euro
426678746-4,C++,0,0,2,0,251.43,euro
355356424-5,C++,2,2,0,0,461.34,JOD
962039321-X,java,1,1,0,1,431.64,JOD
271317911-4,Python,2,0,2,2,136.75,JOD
999582412-4,C++,2,1,0,2,296.25,USD
809314824-8,PYTHON,0,1,2,2,496.94,euro
637346007-X,JAVA,0,2,1,0,445.16,euro
901779533-6,PYTHON,1,2,0,2,340.59,Euro
028000731-0,python,2,0,2,1,277.91,JOD
702009430-9,java,2,2,2,1,385.15,USD
633653249-6,python,1,2,0,0,151.72,USD
100987769-0,JAVA,2,0,1,1,188.01,jod
503274752-1,PYTHON,0,0,2,0,344.53,Euro
098679436-8,c++,2,2,2,1,161.70,Euro
019257366-7,PYTHON,0,0,1,1,228.16,jod
488892411-2,JAVA,2,0,2,1,487.24,Dollar
146852198-5,C++,1,1,2,0,482.74,Dollar
786512428-7,,1,0,2,2,460.40,jod
551238469-4,JAVA,1,0,2,0,496.39,Dollar
137055527-X,java,1,0,0,1,305.38,Dollar
755152166-6,JAVA,1,1,0,2,438.95,USD
036372840-6,C++,1,0,1,2,259.67,Dollar
433513967-5,Python,0,1,1,1,357.87,Dollar
476452300-0,c++,2,1,1,2,478.29,euro
071122018-2,c++,1,1,0,2,446.06,jod
820659071-4,r,1,0,1,1,275.94,Euro
384408222-0,C++,1,2,0,1,310.14,USD
374408620-8,r,0,0,2,1,347.79,Dollar
083979236-0,java,1,0,1,0,275.63,euro
945102442-5,r,1,0,1,0,427.65,USD
878545828-7,Python,0,1,2,2,187.52,euro
123256605-5,R,1,0,0,0,301.73,USD
982645618-7,R,1,1,0,0,162.48,jod
120667218-8,c++,1,2,0,2,268.93,JOD
573047808-9,c++,2,0,1,0,241.30,jod
620263536-3,JAVA,0,2,1,1,160.21,JOD
966457115-6,Python,0,0,2,0,344.77,USD
727251855-3,JAVA,0,0,1,0,325.16,jod
572446070-X,r,2,0,0,0,111.96,jod
580494854-7,,1,2,2,1,112.25,JOD
048040263-9,python,0,0,0,1,336.77,Dollar
935713814-5,R,2,1,1,0,117.63,Dollar
836221241-1,R,1,2,2,1,260.64,jod
176991528-1,JAVA,1,1,1,0,190.36,euro
293204537-7,C++,2,1,1,2,344.04,jod
935560066-6,c++,0,2,2,2,274.20,Dollar
769965233-9,java,2,0,1,0,222.57,JOD
352662737-1,python,0,0,1,1,365.47,JOD
291330584-9,JAVA,0,1,1,2,491.70,Dollar
955083631-2,Python,2,1,1,0,324.38,Dollar
639441209-0,Python,1,2,1,1,123.45,euro
346317625-4,python,2,1,0,1,481.28,JOD
362112143-9,c++,1,2,2,1,280.17,JOD
374882594-3,JAVA,1,2,1,0,301.43,Euro
079151710-1,Python,1,2,2,2,172.09,Dollar
776486749-7,python,2,2,0,1,208.63,jod
678156467-6,r,1,1,1,0,290.38,JOD
557256134-7,C++,1,0,1,1,127.45,Euro
163545262-7,PYTHON,1,1,2,1,342.41,USD
258367803-5,JAVA,1,2,1,2,479.82,euro
353582933-X,C++,2,1,0,0,309.82,euro
936480856-8,R,0,0,0,2,480.34,Euro
749029158-5,r,1,2,2,2,441.42,Dollar
215649518-1,R,0,1,1,0,334.16,Euro
461710119-5,R,0,0,0,2,307.34,Euro
139400256-4,,2,0,2,2,422.17,euro
149219013-6,r,2,2,1,2,270.49,JOD
075234423-4,Python,1,2,2,0,184.47,jod
525427454-9,JAVA,0,2,2,1,171.37,euro
357751942-8,JAVA,2,1,1,1,189.09,euro
988812293-2,R,0,0,2,1,385.77,euro
223393342-7,,1,2,1,0,391.74,euro
900018327-8,java,1,0,1,0,185.51,JOD
440591355-2,,2,0,1,2,147.37,JOD
645480332-5,Python,2,2,0,0,130.05,JOD
475195545-4,,1,2,1,1,386.76,USD
178315135-8,PYTHON,2,0,1,2,122.89,euro
768492894-5,python,1,2,1,0,194.10,USD
266398068-4,PYTHON,2,0,2,0,424.15,USD
766014607-6,java,1,2,1,2,387.14,jod
150376132-0,Python,2,1,2,1,314.22,USD
592465155-X,JAVA,1,1,2,2,141.34,Dollar
977708048-4,R,2,2,0,1,276.70,Euro
657876354-6,Python,1,2,0,0,390.43,USD
261306297-5,PYTHON,2,0,2,0,339.17,Dollar
665919469-X,PYTHON,1,0,2,1,346.52,jod
272017534-X,c++,0,0,1,2,364.19,euro
353572498-8,R,0,2,0,0,222.50,jod
625317219-0,r,0,0,1,2,113.19,Dollar
881482366-9,python,2,1,0,0,310.91,USD
277517306-3,C++,2,1,2,0,483.70,USD
935634597-X,R,0,2,2,1,173.44,USD
683644251-8,r,2,2,2,2,176.19,Dollar
659016619-6,python,0,2,1,1,398.76,euro
280889849-5,c++,1,1,0,0,494.66,Dollar
287876213-4,Python,1,1,2,0,111.60,JOD
020335037-5,r,2,0,2,2,113.06,USD
979976586-2,java,1,2,0,1,350.36,euro
047978218-0,r,1,0,1,1,432.70,USD
553203722-1,,2,1,0,2,245.39,USD
974448367-9,JAVA,2,0,0,2,164.03,euro
629608007-7,,1,1,1,2,105.78,Dollar
892483510-6,JAVA,2,0,1,1,141.93,USD
459712214-1,PYTHON,1,1,2,0,442.51,USD
001544933-5,,2,2,1,1,400.98,euro
544109512-1,c++,0,0,2,1,249.77,JOD
339936448-2,c++,0,2,2,2,304.51,euro
226397793-7,Python,2,0,0,0,180.81,JOD
780088629-8,R,0,0,0,2,445.23,Dollar
897411436-4,Python,0,0,2,1,270.93,euro
692187489-3,C++,0,2,2,1,228.24,Euro
404789436-2,c++,2,0,2,0,317.60,JOD
205834415-4,Python,2,2,0,0,101.85,jod
491130102-3,C++,1,2,0,2,245.47,jod
061444121-8,PYTHON,1,2,0,1,486.62,jod
496097047-2,Python,2,2,2,0,108.20,JOD
001852664-0,C++,2,0,2,1,218.47,Dollar
942390439-4,JAVA,0,2,2,0,499.53,Euro
816516028-1,C++,0,1,1,0,392.02,USD
311491741-0,R,0,2,2,2,212.74,Euro
293714238-9,JAVA,2,2,2,2,221.96,USD
000772764-X,Python,0,0,2,0,262.39,USD
296028092-X,python,2,2,0,2,110.48,USD
803176480-8,r,0,2,2,1,286.27,USD
790160153-1,C++,2,2,1,1,369.51,USD
242104566-5,JAVA,1,1,0,2,160.28,USD
727747178-4,C++,2,2,1,2,349.81,USD
301648865-5,PYTHON,2,0,1,2,253.19,Euro
321952653-5,java,2,2,2,2,370.21,jod
316191015-X,c++,0,0,0,2,483.04,Euro
594220759-3,PYTHON,2,1,0,0,299.47,Dollar
397074554-3,r,0,1,1,2,231.59,euro
750014656-6,python,2,0,1,0,151.92,JOD
960668707-4,R,0,2,1,2,484.84,Euro
343459715-8,c++,2,0,2,0,373.21,jod
614322644-X,r,0,1,0,2,421.59,euro
566927950-6,C++,1,2,1,1,203.32,euro
557838004-2,python,0,1,2,0,230.96,Euro
933471523-5,R,1,1,2,0,313.26,Euro
472631447-5,c++,2,1,1,1,301.00,Dollar
205972678-6,r,1,2,2,0,241.44,JOD
209911253-3,JAVA,2,0,0,2,412.09,USD
617683538-0,R,1,0,2,0,283.00,JOD
654808753-4,java,1,1,0,2,378.66,jod
800199947-5,python,0,0,1,1,125.56,euro
172737011-2,Python,1,1,2,1,401.20,USD
232607895-0,JAVA,2,1,2,2,453.25,euro
887881788-0,c++,1,0,0,2,265.66,jod
142206396-8,PYTHON,0,0,2,2,213.86,Euro
633061500-4,java,0,1,1,2,425.17,USD
722331138-X,,1,0,1,2,312.93,euro
789861739-8,Python,2,0,1,1,367.52,euro
632576101-4,R,0,2,0,2,230.97,USD
407235059-1,JAVA,1,2,2,2,371.06,euro
975857223-7,Python,0,0,1,1,174.62,Dollar
617317937-7,R,2,1,1,1,214.32,Dollar
523480253-1,JAVA,2,1,0,0,381.94,jod
588816269-8,r,2,2,0,0,375.03,jod
283037839-3,JAVA,2,1,0,1,486.13,Euro
886493006-X,java,0,1,2,1,472.76,Euro
177116514-6,C++,1,0,2,2,291.62,USD
122272702-1,Python,2,1,0,2,471.10,Euro
959445170-X,python,0,2,0,0,168.83,USD
583012500-5,c++,0,0,2,1,463.44,Dollar
029465089-X,JAVA,1,1,2,2,379.62,Euro
923404406-1,Python,1,2,0,0,229.65,USD
799763173-9,Python,1,0,2,0,236.54,jod
287647450-6,java,2,0,2,1,471.17,USD
529274456-5,Python,0,2,2,2,389.96,JOD
960495352-4,r,1,0,2,0,368.44,Dollar
730456104-1,c++,1,2,1,1,460.17,Dollar
360837937-1,R,2,0,1,1,105.64,jod
787069602-1,JAVA,0,0,0,1,166.36,JOD
814547160-5,R,1,1,1,0,466.69,Dollar
256103677-4,r,1,1,2,0,389.87,Dollar
537119906-3,python,2,0,1,1,255.55,jod
914024326-5,R,1,0,1,2,333.30,euro
763082023-2,r,1,1,0,1,326.49,euro
120820788-1,JAVA,2,0,0,0,330.63,JOD
928353478-6,C++,0,2,1,2,370.45,jod
655526643-0,Python,0,1,1,0,227.30,Dollar
878283903-4,R,1,2,2,2,225.64,euro
056365199-7,Python,1,0,1,1,402.62,euro
724094838-2,Python,1,2,1,0,400.01,euro
105114622-4,r,0,1,2,2,270.62,jod
447147169-4,Python,2,2,2,1,355.26,Dollar
278253248-0,Python,1,2,0,0,342.55,JOD
016795802-X,R,0,2,2,2,114.37,USD
591013226-1,PYTHON,2,0,2,1,134.40,Euro
030447719-2,C++,1,0,2,1,413.92,Euro
783101822-0,java,2,2,0,1,260.11,JOD
205865017-4,JAVA,1,0,1,0,168.62,JOD
742656367-7,c++,1,2,2,1,150.76,euro
150482427-X,R,0,2,1,1,275.19,jod
527494598-8,r,2,0,1,1,435.47,JOD
987980009-5,c++,1,2,0,2,284.86,jod
238104644-5,JAVA,2,2,2,0,286.30,jod
247662637-6,c++,1,2,1,0,100.80,Euro
406872980-8,r,1,1,2,1,175.75,Dollar
295951308-8,PYTHON,1,0,2,2,141.77,USD
161297782-0,PYTHON,0,1,2,2,142.93,JOD
910613828-4,JAVA,0,1,0,1,220.72,USD
919323761-8,Python,2,1,0,2,316.00,JOD
105372118-8,c++,0,2,0,2,302.48,USD
832773171-8,C++,2,1,2,0,431.20,JOD
630076359-5,PYTHON,0,0,0,2,491.60,USD
621835866-6,,0,1,1,0,447.71,Dollar
632943696-7,JAVA,2,2,0,2,247.05,Dollar
318583501-8,R,2,1,0,0,311.01,euro
572192125-0,r,1,0,2,1,179.63,JOD
237621543-9,r,0,1,2,1,300.21,Euro
547380169-2,Python,0,0,2,0,318.87,euro
778667450-0,r,1,2,1,0,228.84,USD
698250928-1,JAVA,2,1,0,2,402.63,euro
295367067-X,C++,1,0,2,0,109.79,JOD
442481889-6,,0,0,1,1,496.49,jod
672667697-2,r,2,2,2,1,232.39,Dollar
548867123-4,java,2,2,0,0,343.03,Euro
243746518-9,C++,2,1,2,2,499.09,jod
786178565-3,r,2,2,0,2,250.53,Dollar
386985404-9,JAVA,0,1,1,0,270.60,Dollar
635629213-X,java,1,0,0,0,140.88,JOD
780521895-1,PYTHON,0,1,0,0,359.53,USD
961925987-4,,1,0,0,0,126.88,jod
810751014-3,C++,1,0,2,1,270.94,JOD
058697233-1,JAVA,0,1,2,1,353.67,euro
304611884-8,c++,1,0,0,1,166.66,Euro
233561910-1,Python,2,0,0,2,104.36,Dollar
547045769-9,JAVA,2,0,1,2,250.78,euro
017990184-2,java,0,1,2,1,238.29,Dollar
952366399-2,R,0,1,1,2,419.97,JOD
207585299-5,PYTHON,1,0,2,0,477.91,Dollar
603819817-2,JAVA,1,1,2,0,269.24,USD
215757211-2,PYTHON,2,1,0,2,271.83,Euro
020444095-5,r,1,0,2,2,218.62,USD
903306676-9,c++,1,2,2,1,177.12,Euro
021460461-6,python,2,0,0,0,483.37,JOD
242012016-7,PYTHON,1,2,2,0,359.97,JOD
950713761-0,JAVA,0,1,0,1,382.00,Dollar
432210583-1,python,1,0,1,2,362.58,Dollar
930574431-1,R,2,1,2,2,299.94,USD
478340093-8,r,0,2,2,0,268.16,Dollar
882540496-4,python,1,2,2,1,356.07,Dollar
612972176-5,C++,1,2,1,2,304.08,Dollar
238239265-7,c++,0,2,0,2,309.73,euro
957324867-0,java,0,2,2,2,361.03,euro
060029971-6,,2,1,0,2,127.46,jod
345698005-1,java,2,2,0,0,383.18,euro
620939181-8,C++,1,1,1,1,440.34,Dollar
136893179-0,JAVA,0,2,0,0,286.12,euro
725130322-1,c++,2,2,0,0,188.06,Euro
026185496-8,PYTHON,2,2,1,1,301.79,USD
794199859-9,PYTHON,1,1,2,1,330.06,USD
077793826-X,Python,2,1,2,1,399.66,euro
625953201-6,R,1,2,0,1,285.45,JOD
929091346-0,r,2,0,2,1,340.04,jod
092236482-6,r,0,0,2,0,148.25,Dollar
707320015-4,python,2,1,0,0,210.01,euro
272857286-0,java,0,0,0,0,398.22,JOD
560333800-8,Python,0,1,2,2,183.92,euro
872120579-5,PYTHON,0,0,1,2,217.28,euro
903993371-5,R,0,0,0,2,334.29,jod
324504142-X,c++,0,0,0,1,165.41,euro
004673857-6,R,0,2,0,1,312.80,JOD
918254261-9,R,2,2,0,2,258.48,Dollar
993084257-8,java,2,0,2,1,445.91,JOD
409441686-2,JAVA,0,2,2,0,226.82,USD
478634114-2,java,1,1,2,2,376.71,Euro
861963812-2,JAVA,1,0,2,1,395.24,Euro
884762275-1,Python,0,0,2,2,144.08,Dollar
014162984-3,PYTHON,1,1,1,0,173.48,Dollar
480416403-0,c++,1,2,0,2,352.01,jod
420258046-X,Python,1,1,0,1,276.24,Euro
115224041-2,,2,2,0,1,364.83,USD
828740835-0,JAVA,2,2,1,2,100.45,USD
600969293-8,c++,0,1,1,1,212.31,Euro
503073918-1,R,0,0,1,2,359.95,Euro
570633383-1,,2,1,0,0,179.00,euro
724998310-5,java,0,1,1,1,284.68,Dollar
477987207-3,PYTHON,0,2,0,1,165.19,jod
911501378-2,c++,0,2,2,2,349.20,USD
100667403-9,python,1,0,2,1,266.25,euro
934350390-3,JAVA,1,1,1,1,287.56,JOD
522205914-6,C++,0,2,0,0,436.47,Euro
442307021-9,PYTHON,1,2,1,2,309.25,Euro
134702329-1,r,2,2,0,0,288.33,JOD
714253648-9,,0,0,2,2,224.43,Euro
992023682-9,C++,0,1,0,2,171.83,Dollar
582487116-7,python,2,2,1,1,488.04,Euro
454006647-1,,2,2,1,1,181.38,Euro
352124283-8,PYTHON,1,2,1,0,220.02,Dollar
401843405-7,JAVA,2,1,0,2,382.78,JOD
957200749-1,Python,0,0,1,1,401.67,USD
105556473-X,java,1,0,2,2,406.58,USD
861972122-4,JAVA,0,0,1,1,464.40,jod
347234149-1,C++,2,0,0,0,410.97,Dollar
587880964-8,r,2,0,0,2,211.94,euro
006762487-1,python,1,2,0,0,122.25,Euro
805485415-3,JAVA,2,1,0,1,181.56,jod
835440788-8,PYTHON,0,2,1,1,219.64,euro
846348931-1,c++,2,2,1,1,121.71,jod
404085883-2,R,1,2,1,1,366.12,Dollar
369493798-6,JAVA,0,1,1,0,371.16,Euro
186701707-5,PYTHON,0,0,0,1,462.42,Dollar
451187113-2,C++,2,0,1,1,419.44,jod
177649853-4,c++,1,2,0,1,259.24,USD
260318909-3,C++,2,2,2,2,338.92,jod
638321221-4,java,1,1,0,2,161.64,Dollar
182271547-4,c++,0,1,1,0,317.48,Euro
303455878-3,C++,1,0,0,1,235.08,Dollar
709747379-7,Python,1,1,1,1,129.25,USD
942139816-5,,0,2,1,2,397.55,jod
781988002-3,R,1,1,2,2,154.27,jod
314162234-5,python,2,0,0,2,490.58,Euro
142533009-6,JAVA,2,0,2,0,333.44,jod
092563890-0,c++,2,1,0,2,174.59,Euro
232541756-5,JAVA,1,2,2,2,116.57,euro
276716055-1,java,1,1,0,1,450.05,Dollar
924051649-2,R,0,0,0,1,465.96,jod
565759047-3,Python,0,1,2,2,126.17,Euro
653013726-2,C++,0,1,0,0,271.38,Dollar
208953968-2,c++,0,2,0,2,449.57,Euro
842176482-9,c++,1,1,2,2,399.26,USD
238351379-2,R,0,2,1,0,433.02,euro
211997755-0,c++,0,1,0,2,474.42,jod
586706119-1,Python,2,0,2,1,232.03,jod
854367814-5,R,0,1,2,1,196.88,Dollar
096550168-X,PYTHON,0,0,0,1,236.98,jod
524723268-2,java,2,1,2,1,152.29,USD
292575515-1,r,2,0,1,1,192.06,USD
551388162-4,JAVA,0,2,1,1,264.29,USD
991138475-6,PYTHON,2,1,1,1,105.16,Euro
993956463-5,r,2,0,0,1,468.34,JOD
197327219-9,,1,1,1,2,401.26,Dollar
413386786-6,R,0,0,2,1,347.68,Euro
306609079-5,java,2,0,2,2,414.77,euro
980513843-7,Python,1,2,0,2,412.92,jod
351490120-1,python,1,1,1,1,425.91,jod
497162392-2,Python,0,2,0,1,439.72,euro
972981886-X,PYTHON,2,0,2,2,217.55,Euro
511437820-1,R,0,0,0,1,148.75,Euro
435126167-6,Python,1,0,0,0,339.28,jod
244089604-7,Python,2,0,0,1,301.27,Dollar
576777531-1,java,2,1,2,2,166.45,euro
094707778-2,C++,1,2,1,0,412.90,jod
011459751-0,R,2,2,1,2,247.20,Dollar
926304225-X,R,2,2,1,0,395.66,USD
574724565-1,Python,0,1,0,1,181.73,USD
469350929-9,r,2,0,0,0,382.02,JOD
075953182-X,JAVA,2,0,0,0,292.27,euro
908323688-9,r,0,0,1,1,116.32,Euro
146529541-0,Python,2,0,0,0,175.65,euro
472623758-6,python,1,1,0,2,298.75,Dollar
920873768-3,c++,2,2,2,1,313.04,jod
676842586-2,Python,0,1,1,2,412.82,jod
369957859-3,JAVA,1,1,0,1,221.34,Dollar
429192726-6,python,1,2,1,2,407.77,jod
219369112-6,C++,0,2,2,2,162.86,Euro
987506898-5,PYTHON,0,1,2,2,347.24,JOD
026185146-2,JAVA,1,2,0,0,465.98,jod
214199423-3,,2,0,0,0,274.28,USD
272825553-9,java,2,1,2,0,260.26,Dollar
652400899-5,JAVA,2,1,0,0,486.95,USD
912791993-5,R,1,0,2,1,425.48,JOD
610827772-6,JAVA,1,1,1,1,133.29,jod
208565803-2,c++,2,0,0,2,174.74,JOD
257648429-8,PYTHON,0,0,2,1,495.46,JOD
615291413-2,JAVA,0,0,2,0,139.91,jod
615233353-9,java,2,2,1,0,400.59,USD
535317752-5,,2,0,1,0,406.50,JOD
959896566-X,R,2,2,1,0,112.37,Euro
218559770-1,c++,0,1,0,0,396.18,Dollar
465406242-4,python,1,0,0,0,351.81,euro
361913026-4,C++,0,0,2,1,350.99,Dollar
359378017-8,PYTHON,0,2,0,1,286.88,euro
647596954-0,Python,0,0,1,0,395.49,JOD
825616838-2,C++,2,0,0,2,494.90,USD
105410056-X,r,1,0,2,2,410.92,jod
262922186-5,PYTHON,1,1,2,0,227.23,JOD
203248746-2,R,0,2,2,2,262.50,Dollar
815862779-X,JAVA,1,0,2,2,476.67,JOD
311627601-3,r,2,0,0,1,263.73,Euro
360925893-4,JAVA,2,0,2,2,237.11,JOD
910538907-0,r,1,0,0,0,481.26,Dollar
545472285-5,,2,2,2,0,138.45,jod
091377872-9,PYTHON,1,2,1,0,261.66,USD
076652239-3,PYTHON,1,2,1,1,154.92,euro
721430101-6,r,2,2,0,0,236.04,Dollar
598314305-0,,2,1,1,2,271.90,euro
418950877-2,JAVA,2,2,0,2,446.22,euro
533972177-9,python,2,1,2,0,448.08,JOD
953828289-2,PYTHON,0,1,0,2,144.49,euro
507186781-8,R,0,0,2,2,329.98,Euro
231209817-2,c++,0,0,0,0,478.28,JOD
396168191-0,R,0,2,0,2,170.61,jod
448705185-1,java,0,1,2,1,377.29,USD
242941028-1,,1,2,0,0,383.49,USD
691696878-8,python,2,0,0,0,105.32,euro
515837787-1,JAVA,1,1,1,0,281.66,Dollar
441747914-3,R,1,0,2,0,123.74,USD
453128293-0,java,0,1,0,0,493.12,JOD
425327932-5,C++,1,2,0,0,224.24,jod
532393437-9,C++,2,0,2,2,212.13,Euro
450411200-0,c++,2,0,2,2,109.20,USD
796062834-3,python,1,1,1,0,119.27,Dollar
598556679-X,JAVA,1,0,2,0,497.99,euro
520807352-8,C++,1,2,0,2,452.45,Euro
956387641-5,python,0,2,2,1,145.23,jod
940555322-4,R,0,2,2,1,307.87,euro
197472471-9,java,1,1,1,2,112.63,euro
389327016-7,python,0,0,1,0,206.47,USD
054365377-3,R,0,2,0,2,423.40,jod
120234967-6,R,2,2,0,1,237.87,euro
143000541-6,python,0,1,2,2,201.75,USD
259209755-4,C++,1,0,1,0,172.85,JOD
798495468-2,PYTHON,1,0,0,1,134.26,jod
518992270-7,java,0,0,1,2,467.27,Dollar
188936552-1,r,2,1,0,0,112.85,Dollar
157931859-2,R,1,0,2,1,141.48,JOD
390504390-4,java,0,0,0,1,442.49,Dollar
379659244-9,r,2,1,2,2,169.64,USD
364117056-7,C++,1,2,2,2,129.94,JOD
052081485-1,Python,0,2,0,0,380.10,USD
035770796-6,r,0,1,0,1,276.71,Dollar
529668059-6,python,2,1,1,0,250.12,Dollar
031226574-3,PYTHON,1,2,0,2,282.85,JOD
617507867-5,R,2,0,1,2,292.12,JOD
688074169-X,python,1,2,0,0,432.20,Euro
016866045-8,JAVA,1,0,0,0,223.08,jod
290534195-5,c++,0,0,2,2,364.43,Euro
610406250-4,Python,1,2,0,2,475.75,Euro
944928241-2,PYTHON,1,1,2,1,319.88,JOD
529467958-2,r,1,1,1,2,132.98,USD
145482658-4,JAVA,2,1,2,1,495.92,USD
793846370-1,C++,0,0,0,2,456.87,euro
084200219-7,C++,1,0,2,0,487.03,JOD
189767301-9,PYTHON,2,1,0,0,190.59,Dollar
212564402-9,JAVA,0,1,0,1,344.61,JOD
405227312-5,java,2,2,0,1,352.22,Dollar
244186037-2,c++,0,0,0,0,150.53,JOD
491884310-7,c++,0,0,1,1,194.66,JOD
410482452-6,R,1,0,0,2,305.84,euro
274062174-4,r,1,0,0,2,186.44,euro
485077670-1,JAVA,1,2,0,2,310.49,Dollar
228659228-4,python,1,1,1,2,113.93,USD
312993242-9,Python,1,0,0,1,395.05,euro
160772928-8,python,2,1,2,0,330.99,Dollar
194517572-9,C++,0,0,1,0,120.31,JOD
202128565-0,C++,2,0,1,2,490.85,JOD
001241751-3,python,2,1,0,0,415.18,jod
728741685-9,c++,0,0,0,0,256.70,Dollar
350035982-5,JAVA,1,2,2,2,285.09,euro
650598303-1,R,0,1,0,2,149.80,Euro
980741131-9,C++,2,1,1,0,453.46,JOD
595817220-4,c++,2,1,2,1,182.44,JOD
088482041-6,java,0,0,2,0,481.37,USD
829605492-2,Python,0,1,0,1,207.37,jod
809157197-6,java,2,1,1,1,330.09,JOD
683878802-0,,2,0,0,1,319.31,USD
136266248-8,java,2,1,1,1,259.17,euro
547155236-9,C++,0,1,1,1,374.93,jod
533026285-2,r,1,1,2,0,230.51,USD
905495704-2,java,1,0,1,0,166.89,JOD
912238673-4,java,0,1,0,0,299.09,JOD
464646770-4,c++,2,2,0,2,307.35,Euro
