ProjectID,Programming Language,Employee1,Employee2,Employee3,Employee4,Award,Currency
489541301-2,c++,1,1,1,1,296.17,JOD
136688869-3,JAVA,1,1,2,0,461.49,Euro
743983411-9,c++,2,2,1,1,246.98,Euro
116536043-8,JAVA,2,0,1,0,324.79,JOD
849129205-5,c++,0,0,1,0,483.47,Euro
859598584-7,C++,0,0,2,2,471.12,Euro
159811283-X,java,2,0,2,1,407.15,USD
745203489-9,java,2,0,2,0,172.61,JOD
834909265-3,c++,1,2,1,1,247.29,JOD
836061029-0,JAVA,1,1,2,2,358.98,Euro
866955364-3,Python,1,1,1,1,191.87,JOD
995825922-2,C++,0,2,2,0,407.62,Euro
457857322-2,java,2,2,1,0,121.34,USD
807257778-6,Python,0,2,1,2,205.02,JOD
479726975-8,C++,2,1,2,1,469.61,USD
237969258-0,java,1,2,2,1,411.84,JOD
298640161-9,C++,2,0,0,2,274.87,USD
991103919-6,java,1,1,1,0,245.02,JOD
899835429-2,R,2,0,2,2,335.95,USD
910673295-X,C++,0,2,1,1,409.06,JOD
853995813-9,JAVA,2,2,2,2,249.41,JOD
420497503-8,C++,1,0,2,0,203.25,Euro
087427137-1,C++,0,2,0,0,294.24,Euro
354266420-0,C++,1,1,1,0,213.91,Euro
757126989-X,java,0,2,0,0,433.96,USD
042550056-X,JAVA,1,2,1,1,223.89,USD
069412463-X,PYTHON,1,0,2,2,260.19,JOD
027767902-8,c++,1,,1,0,334.10,USD
923302223-4,JAVA,1,1,2,0,358.84,JOD
288340663-4,R,1,1,1,0,467.73,USD
486622364-2,C++,0,0,1,2,418.96,Euro
125216832-2,R,2,2,0,1,322.34,JOD
207441760-8,c++,0,0,1,2,424.89,JOD
609928967-4,C++,0,1,0,2,485.44,Euro
250888956-3,c++,0,1,1,0,375.95,Euro
204045407-1,JAVA,0,0,2,0,110.53,USD
746953341-9,Python,1,1,1,1,299.57,JOD
230426741-6,Python,0,2,1,1,153.48,USD
465553502-4,java,1,0,1,1,491.55,Euro
204905342-8,C++,1,0,0,2,349.03,Euro
353507583-1,JAVA,1,1,0,0,471.97,Euro
826342158-6,R,1,2,1,1,126.59,USD
383513170-2,Python,1,0,2,2,423.22,JOD
185065213-9,PYTHON,2,0,0,2,330.97,USD
509794846-7,Python,1,1,2,0,259.93,JOD
082252513-5,JAVA,1,0,1,2,243.81,USD
716514035-2,c++,0,1,0,1,422.48,Euro
946011530-6,R,1,1,2,1,137.09,USD
296644269-7,JAVA,0,,2,2,392.08,JOD
149047001-8,R,2,2,1,1,170.83,JOD
728701921-3,JAVA,2,2,0,2,304.50,USD
474390454-4,C++,1,0,0,1,241.10,JOD
727796473-X,C++,0,0,2,1,191.65,USD
322785611-5,C++,0,2,0,2,428.38,Euro
278783702-6,PYTHON,1,0,1,0,266.68,USD
677277245-8,PYTHON,2,2,1,2,383.63,JOD
124865256-8,java,0,1,2,0,361.42,Euro
226581256-0,c++,2,1,1,0,144.26,JOD
780287489-0,Python,2,2,1,0,234.72,Euro
972000538-6,c++,0,2,1,2,454.03,USD
274488757-9,Python,2,2,0,1,328.54,JOD
525862995-3,JAVA,1,1,1,0,305.06,JOD
508416502-7,java,2,0,1,2,495.77,Euro
071571317-5,java,1,2,1,1,490.39,JOD
168476904-3,PYTHON,0,2,0,2,245.05,USD
376666640-1,Python,0,1,1,2,248.40,USD
123060757-9,Python,0,1,2,2,298.92,USD
718549633-0,java,2,2,2,0,281.59,JOD
461927032-6,R,2,0,1,1,200.08,Euro
958593669-0,JAVA,2,1,0,1,327.70,JOD
954330449-1,Python,1,1,0,2,363.78,Euro
593570494-3,c++,2,0,0,2,316.67,Euro
622947045-4,java,0,,0,1,170.16,JOD
539301622-0,JAVA,0,1,0,1,106.86,USD
325152156-X,JAVA,1,1,2,1,219.62,USD
097097743-3,PYTHON,0,0,0,1,370.83,USD
476538271-0,C++,1,2,1,1,267.25,USD
053870449-7,java,2,2,0,0,257.56,JOD
464674472-4,java,0,2,2,2,316.40,JOD
299133755-9,R,1,0,1,1,168.86,USD
695851733-4,C++,0,0,1,1,204.45,JOD
465343149-3,Python,1,0,2,2,377.32,JOD
241705505-8,R,2,0,1,1,414.48,Euro
935905453-4,Python,0,2,1,2,299.37,USD
276607246-2,PYTHON,1,2,0,0,452.03,JOD
785486592-2,Python,1,2,1,2,257.31,USD
200080647-3,PYTHON,1,0,2,1,343.82,JOD
847350435-6,JAVA,0,2,1,2,439.91,JOD
519194593-X,,0,2,1,2,325.48,USD
539329530-8,Python,0,2,0,2,106.29,JOD
687672095-0,R,0,2,0,0,322.16,USD
317951771-9,R,1,2,0,1,270.59,Euro
929853848-0,PYTHON,2,2,0,2,307.04,USD
880020234-9,PYTHON,1,1,1,0,279.23,JOD
632785811-2,c++,1,0,1,1,187.53,Euro
118520452-0,java,0,0,0,1,366.21,Euro
883080322-7,PYTHON,0,1,1,1,398.10,USD
436678993-0,Python,2,2,1,2,297.31,USD
180397723-X,Python,2,1,2,2,431.95,Euro
466516892-X,JAVA,2,1,0,1,182.91,Euro
018770311-6,PYTHON,0,2,2,1,206.59,USD
984904016-5,JAVA,2,1,1,0,423.01,Euro
605516669-0,R,1,2,2,0,138.22,USD
467868588-X,Python,0,2,0,2,136.63,Euro
671598053-5,C++,2,0,0,0,214.36,USD
118198114-X,c++,1,,0,0,344.38,JOD
057634453-2,R,1,1,2,0,162.71,JOD
629702287-9,Python,1,1,1,1,378.43,JOD
202804497-7,PYTHON,1,1,1,1,324.06,JOD
970315059-4,Python,2,1,0,2,244.31,Euro
876740568-1,java,1,1,0,2,487.17,USD
264986569-5,PYTHON,2,2,0,0,237.30,USD
064804664-8,c++,0,2,0,2,367.35,JOD
408240823-1,JAVA,2,2,0,1,468.88,USD
995106824-3,C++,0,2,2,2,322.13,JOD
051485281-X,c++,2,2,0,1,346.63,Euro
029357224-0,C++,0,0,2,0,128.48,Euro
245435180-3,PYTHON,0,0,1,1,212.29,USD
143595411-4,JAVA,1,1,2,0,385.59,USD
098573769-7,R,2,0,0,1,147.68,JOD
823859080-9,java,0,1,0,0,390.94,Euro
550386960-5,java,2,1,1,0,335.42,USD
694785555-1,R,0,2,0,1,372.16,JOD
695730788-3,PYTHON,0,2,2,2,203.64,USD
961041130-4,c++,1,,0,1,299.57,USD
009357754-0,C++,2,1,2,0,116.03,JOD
426203996-X,java,1,1,1,0,465.54,JOD
742237058-0,R,1,0,2,0,231.18,Euro
362249144-2,Python,2,1,0,1,226.72,Euro
233272516-4,PYTHON,2,,2,2,390.09,Euro
969280809-2,C++,1,0,2,2,215.85,Euro
595874010-5,JAVA,1,2,0,0,469.96,USD
309388648-1,c++,0,2,1,1,202.08,Euro
997386656-8,PYTHON,0,1,2,0,427.42,JOD
874323363-5,C++,1,2,2,0,355.84,USD
426357985-2,JAVA,0,1,0,2,203.08,JOD
869951025-X,C++,2,2,0,2,357.78,Euro
212040271-X,C++,2,1,2,0,332.38,Euro
865453557-1,R,0,2,1,0,263.24,USD
349998105-X,R,0,2,0,2,115.40,USD
698995960-6,PYTHON,2,0,1,2,498.86,USD
481692504-X,C++,2,1,2,2,112.67,Euro
367516545-0,C++,1,0,0,1,101.66,JOD
435624431-1,C++,1,2,1,0,348.85,Euro
786330273-0,R,1,2,0,0,391.18,JOD
252806945-6,java,2,0,0,2,425.61,USD
993341941-2,Python,1,1,1,0,286.03,JOD
560527558-5,Python,1,1,0,1,259.10,JOD
429562660-0,java,0,0,2,0,419.72,USD
804560970-2,JAVA,1,2,0,0,350.79,JOD
290337995-5,PYTHON,2,2,0,0,209.42,Euro
425305126-X,java,2,1,2,1,361.86,JOD
244376062-6,JAVA,1,0,0,0,337.21,USD
091184011-7,Python,2,2,0,0,333.80,USD
234260336-3,JAVA,0,0,2,2,486.56,USD
921080414-7,JAVA,1,0,1,0,275.57,USD
829125492-3,C++,2,1,1,2,412.93,USD
755885299-4,Python,2,1,2,1,257.62,USD
689450228-5,PYTHON,0,2,0,2,187.08,USD
301653393-6,JAVA,1,,0,0,109.85,JOD
272933177-8,Python,1,1,0,2,397.77,JOD
924758456-6,R,1,2,2,1,163.57,USD
800006868-0,PYTHON,0,2,2,1,384.76,USD
945092329-9,java,0,2,1,2,194.33,Euro
306903807-7,java,1,1,0,2,451.58,USD
278906383-4,Python,1,2,2,2,150.47,Euro
307242764-X,C++,2,1,0,1,157.66,Euro
803054165-1,PYTHON,1,1,1,0,273.63,Euro
948179656-6,PYTHON,2,2,2,2,470.36,Euro
640696977-4,c++,0,0,1,1,309.49,JOD
170835663-0,Python,2,1,2,1,442.25,JOD
638170779-8,PYTHON,0,2,1,2,234.79,Euro
766932398-1,Python,1,2,1,2,127.98,Euro
249437313-1,PYTHON,0,2,0,0,444.45,JOD
905387273-6,c++,1,0,2,2,164.02,USD
324409314-0,C++,0,1,0,0,355.19,USD
484302410-4,Python,2,2,1,1,298.51,Euro
445214201-X,JAVA,1,2,1,0,389.62,JOD
767038491-3,c++,2,0,2,2,369.83,JOD
205994439-2,Python,2,2,1,0,286.00,USD
081767556-6,,1,1,1,2,270.71,USD
825211510-1,Python,1,1,2,0,193.28,Euro
984399912-6,R,1,0,0,1,108.25,Euro
916948586-0,C++,0,1,1,0,325.72,Euro
034747474-8,c++,0,2,0,2,355.79,USD
180532571-X,JAVA,1,2,1,0,376.69,Euro
759858344-7,R,2,1,2,2,164.77,Euro
440068960-3,C++,0,0,1,0,143.89,Euro
418251005-4,c++,1,0,1,2,271.87,USD
209484466-8,java,0,1,1,0,111.54,JOD
094494332-2,java,2,0,1,0,238.45,Euro
992684009-4,R,1,0,0,0,467.80,Euro
293094820-5,R,1,1,0,0,439.47,JOD
139450653-8,C++,0,1,2,2,462.65,Euro
431987722-5,JAVA,0,2,2,2,355.12,Euro
053708165-8,java,2,0,1,0,467.77,Euro
346148149-1,JAVA,0,2,2,0,105.05,Euro
380217532-8,,0,1,1,1,293.85,USD
565083779-1,java,2,2,0,2,296.35,USD
095351531-1,java,1,0,1,2,135.32,USD
284295201-4,R,0,2,1,1,338.33,JOD
776080176-9,JAVA,2,1,2,1,112.93,USD
637620396-5,c++,2,0,2,2,197.57,USD
979832473-0,JAVA,2,0,0,0,463.82,Euro
312497218-X,R,2,2,0,1,131.85,Euro
392793674-X,C++,0,1,2,2,289.50,USD
302019201-3,java,1,0,2,1,231.05,Euro
713569440-6,Python,2,0,2,2,311.27,JOD
219510492-9,PYTHON,2,1,2,2,431.12,JOD
416764412-6,Python,1,0,2,2,450.29,JOD
980581437-8,c++,0,2,2,2,473.21,Euro
489332118-8,JAVA,0,2,0,0,470.40,USD
368914802-2,Python,0,1,0,1,168.55,USD
512619274-4,java,1,0,0,2,345.06,Euro
749160242-8,JAVA,1,1,0,2,145.24,Euro
250966778-5,R,1,1,0,2,368.08,Euro
915943241-1,c++,2,0,1,1,491.52,Euro
608380803-0,java,2,2,2,0,155.50,JOD
960530659-X,JAVA,2,1,1,0,192.27,USD
414548362-6,java,0,1,2,1,372.51,JOD
747733875-1,,0,0,1,2,194.67,Euro
341486515-7,Python,2,0,2,0,177.57,JOD
890429769-9,java,1,0,2,0,120.04,Euro
072474773-7,c++,2,2,1,1,335.59,Euro
784486547-4,JAVA,2,2,0,0,156.02,USD
179091695-X,PYTHON,1,1,1,1,481.56,Euro
910183984-5,PYTHON,2,1,0,2,267.69,JOD
426907590-2,c++,0,0,0,2,148.34,Euro
096195008-0,c++,2,2,1,0,487.97,Euro
872332478-3,R,0,1,0,2,200.40,USD
534821855-3,R,0,2,1,1,222.21,USD
903832358-1,PYTHON,2,2,2,1,417.27,USD
815868696-6,C++,2,0,1,1,475.76,USD
874499041-3,java,2,1,1,0,469.74,USD
605238060-8,PYTHON,2,1,2,1,217.39,USD
372711602-1,PYTHON,0,0,0,1,437.47,JOD
392131281-7,R,0,0,1,1,470.96,USD
771827975-8,JAVA,2,0,1,0,129.26,JOD
396143753-X,PYTHON,2,2,0,1,109.57,JOD
967942881-8,JAVA,1,1,0,0,314.65,USD
744091151-2,JAVA,1,0,1,0,434.76,JOD
657364839-0,PYTHON,1,1,1,0,369.41,USD
234478366-0,c++,0,0,0,0,213.37,Euro
178883022-9,c++,0,2,1,1,124.83,Euro
467217905-2,Python,0,0,0,2,478.81,USD
976160544-2,JAVA,1,2,1,2,458.24,USD
919462095-4,C++,0,1,1,0,388.59,JOD
509325544-0,java,2,2,2,1,379.26,USD
276665514-X,C++,2,0,2,1,373.96,USD
958454140-4,c++,1,1,1,1,485.49,Euro
256521860-5,C++,1,2,1,2,302.25,JOD
440891573-4,java,0,1,0,2,396.25,USD
354030777-X,PYTHON,0,0,2,0,403.22,Euro
267300119-0,java,2,2,2,1,257.81,USD
584888877-9,,2,0,0,2,123.14,USD
378939106-9,PYTHON,1,2,1,1,228.15,USD
477171228-X,R,1,2,2,2,346.13,USD
247355176-6,R,2,2,1,1,418.85,USD
460126920-2,R,2,1,0,0,192.48,JOD
096950401-2,c++,2,1,0,2,125.53,JOD
542305101-0,C++,2,1,1,2,423.15,Euro
803717251-1,C++,1,2,1,0,391.60,Euro
230766723-7,PYTHON,1,0,0,0,309.63,USD
100029562-1,PYTHON,1,2,0,1,241.58,JOD
427251936-0,C++,1,0,2,2,175.76,Euro
198762282-0,R,2,1,1,1,136.52,Euro
327718604-0,R,0,2,0,2,215.22,JOD
000439883-1,Python,2,2,2,1,268.20,JOD
324634349-7,R,2,2,0,2,475.64,JOD
615423572-0,Python,0,2,0,1,472.67,USD
486933878-5,Python,0,0,2,2,416.87,Euro
502258288-0,PYTHON,1,1,0,1,280.80,Euro
931002451-8,JAVA,1,2,2,1,480.76,USD
115500646-1,PYTHON,1,2,2,2,180.19,JOD
330547362-2,Python,0,1,1,0,173.78,Euro
318507932-9,R,2,2,2,1,236.76,JOD
054214427-1,R,2,1,0,1,360.83,JOD
459812601-9,JAVA,0,2,0,1,163.48,USD
017435015-5,c++,0,0,2,1,478.90,JOD
107536154-0,c++,2,2,0,0,475.25,Euro
457507743-7,java,0,2,2,0,233.97,JOD
180775701-3,Python,2,,1,1,461.50,JOD
194330958-2,C++,0,2,1,0,498.59,JOD
862361189-6,R,0,,0,1,151.38,JOD
461776765-7,PYTHON,2,0,1,2,106.58,USD
484500507-7,Python,1,2,2,1,324.19,USD
783578024-0,c++,0,2,1,0,399.18,Euro
367233297-6,java,1,2,0,0,119.94,Euro
640295990-1,Python,1,1,0,1,301.54,JOD
262930003-X,PYTHON,1,1,1,2,272.75,USD
275775692-3,PYTHON,1,2,1,2,311.97,Euro
373949422-0,C++,1,0,0,0,417.03,USD
606429893-6,java,2,2,0,2,319.94,USD
091816773-6,c++,0,2,1,2,273.53,Euro
808340037-8,c++,1,1,0,2,492.36,USD
346410385-4,JAVA,2,1,1,2,189.44,USD
181448666-6,Python,0,0,0,2,486.60,USD
064061640-2,java,1,0,1,2,406.85,JOD
409973609-1,JAVA,1,2,1,2,267.50,JOD
206224862-8,Python,1,0,1,2,336.26,JOD
684344278-1,R,1,1,2,1,379.15,JOD
989946124-5,JAVA,1,1,0,2,158.43,Euro
475358864-5,C++,0,2,2,2,304.18,JOD
597012260-2,c++,0,0,0,0,309.23,Euro
489533678-6,C++,2,,2,1,158.93,JOD
837886280-1,PYTHON,1,0,0,0,288.23,Euro
119537254-X,C++,1,0,1,0,402.59,Euro
204356735-7,c++,2,0,1,1,251.56,JOD
007790041-3,PYTHON,2,1,0,1,133.33,JOD
282495543-0,C++,0,2,1,2,418.08,Euro
920098545-9,PYTHON,0,1,0,0,396.85,USD
659408975-7,java,2,2,2,1,235.36,JOD
726648356-5,JAVA,2,2,0,2,334.79,JOD
403133531-8,java,2,1,2,0,158.58,USD
576827360-3,java,1,1,2,0,132.23,USD
845739702-8,R,1,2,1,0,360.51,JOD
950478228-0,c++,0,1,2,1,247.88,JOD
077911918-5,c++,1,,2,2,423.92,JOD
418023720-2,c++,1,0,2,2,328.27,JOD
280780691-0,PYTHON,1,1,0,0,329.66,Euro
304482169-X,c++,1,1,1,2,275.18,Euro
775669261-6,java,2,2,0,1,379.55,Euro
857538482-1,PYTHON,2,1,1,1,477.09,JOD
001751822-9,java,0,1,2,1,299.43,Euro
338564356-2,c++,2,2,1,0,181.71,USD
822400825-8,R,2,2,1,1,402.53,JOD
240745953-9,Python,1,0,1,2,371.02,Euro
894993663-1,C++,1,2,0,0,422.01,Euro
985997481-0,PYTHON,2,1,1,2,496.51,USD
856389517-6,C++,1,0,1,0,148.87,JOD
622888967-2,C++,0,2,0,0,359.56,JOD
135076042-0,C++,2,1,0,2,228.37,USD
063801792-0,C++,2,1,0,1,448.09,USD
252606923-8,C++,1,0,2,2,252.68,USD
035570624-5,C++,1,1,0,2,410.84,USD
116737600-5,java,2,1,2,2,390.91,Euro
684137432-0,c++,1,1,2,0,216.39,JOD
734618841-1,PYTHON,2,2,2,1,314.92,Euro
905313540-5,JAVA,1,2,2,2,171.05,JOD
737510759-9,PYTHON,2,0,2,2,158.27,JOD
952217562-5,c++,2,0,2,2,188.83,Euro
653556391-X,R,0,0,0,0,287.16,JOD
369277140-1,java,2,0,1,2,490.70,JOD
956402226-6,Python,1,1,2,1,273.39,USD
210128449-9,C++,2,1,0,1,293.19,Euro
544438771-9,Python,2,1,0,0,328.20,Euro
838392068-7,PYTHON,1,0,1,0,448.73,USD
512248625-5,java,1,0,2,0,204.17,Euro
349914352-6,c++,0,0,0,1,303.57,USD
147272200-0,C++,0,0,2,1,204.57,JOD
589609981-9,PYTHON,1,1,0,0,234.74,USD
647440494-9,Python,1,1,2,1,384.63,Euro
790589452-5,c++,1,1,2,2,411.84,USD
701721887-6,C++,0,2,2,2,244.21,JOD
409656060-X,JAVA,2,1,0,1,185.83,JOD
811368613-4,C++,1,0,2,2,176.97,Euro
186270386-8,JAVA,0,1,1,0,419.70,JOD
533192087-X,C++,2,1,2,0,421.44,JOD
564618708-7,C++,1,2,0,2,325.27,JOD
917458544-4,R,2,2,1,0,432.59,JOD
002718783-7,c++,0,1,1,2,341.34,USD
746830492-0,JAVA,1,0,0,0,287.58,JOD
943610812-5,PYTHON,2,1,0,0,277.49,Euro
639717055-1,Python,0,0,0,0,455.45,JOD
719068427-1,java,0,1,0,2,326.33,USD
816471786-X,java,1,2,1,0,147.62,Euro
751585719-6,PYTHON,2,2,2,1,374.45,USD
845288397-8,R,2,2,1,2,315.26,JOD
298781118-7,JAVA,2,1,2,0,259.58,USD
197759728-9,Python,2,2,0,2,180.21,Euro
543115265-3,java,0,2,0,0,334.20,Euro
188403972-3,R,0,1,2,1,258.41,USD
367001816-6,JAVA,1,0,2,0,344.16,USD
239333971-X,Python,1,2,0,1,456.24,JOD
216286475-4,c++,1,1,0,2,333.07,Euro
403510782-4,java,2,2,2,1,380.64,Euro
677397602-2,JAVA,2,0,1,2,369.88,Euro
779673491-3,C++,0,1,0,0,133.35,USD
095870027-3,JAVA,1,2,2,2,329.39,Euro
849729480-7,C++,2,1,1,2,170.92,JOD
184560503-9,R,2,1,0,2,498.91,Euro
906370967-6,PYTHON,1,0,2,2,189.87,Euro
710998970-4,Python,2,2,2,0,414.02,JOD
800185751-4,R,2,0,0,2,410.09,USD
472858835-1,R,1,1,0,2,332.87,USD
920935222-X,PYTHON,0,1,1,0,356.29,USD
199216518-1,c++,1,1,1,2,409.67,JOD
777903821-1,c++,2,0,0,1,249.87,Euro
032542722-4,R,1,2,2,0,278.85,JOD
356967775-3,java,0,1,0,0,124.17,JOD
848513008-1,JAVA,0,1,2,0,312.54,Euro
017395873-7,JAVA,0,1,2,0,225.52,Euro
661411011-X,java,0,1,2,0,395.13,USD
057672751-2,JAVA,2,0,1,0,120.86,Euro
372307165-1,C++,1,0,0,2,167.88,Euro
298681780-7,java,2,0,0,2,456.80,Euro
040957370-1,Python,0,2,0,0,192.94,Euro
279990713-X,C++,2,0,0,2,365.85,JOD
512623538-9,c++,0,2,2,0,383.00,Euro
746529039-2,PYTHON,0,1,2,0,302.52,JOD
230940781-X,R,2,1,1,1,411.18,USD
817040644-7,R,0,,0,1,453.47,USD
834137931-7,Python,0,1,0,2,107.93,Euro
982338822-9,java,2,2,2,2,453.77,JOD
910402014-6,PYTHON,0,0,2,0,167.54,Euro
199807308-4,java,0,2,1,0,440.17,USD
777811957-9,R,1,1,1,1,143.17,Euro
478841221-7,Python,2,0,0,1,418.74,JOD
433882247-3,C++,2,1,2,2,186.01,USD
450903276-5,C++,1,2,2,0,364.08,Euro
243457423-8,c++,0,2,0,0,334.98,USD
622446781-1,C++,1,0,2,1,217.56,Euro
578706684-7,Python,1,2,2,1,292.25,Euro
202607294-9,R,1,2,1,0,192.68,JOD
011665514-3,java,2,0,0,0,158.89,USD
482153420-7,R,0,0,2,2,276.79,JOD
860371350-2,java,1,0,0,0,366.00,JOD
937366494-8,C++,2,1,2,1,261.87,Euro
501889177-7,java,1,1,1,2,498.42,Euro
819219082-X,C++,1,2,0,1,139.57,JOD
843607356-8,java,1,2,1,0,210.85,JOD
912314076-3,JAVA,0,0,2,2,341.43,Euro
472335256-2,java,1,2,2,1,485.84,JOD
113592082-6,R,1,0,2,1,159.25,USD
368109017-3,JAVA,1,1,1,0,467.20,Euro
706952846-9,PYTHON,1,0,1,2,141.46,USD
136674500-0,Python,2,2,1,1,439.19,USD
178688491-7,PYTHON,2,1,0,2,298.97,USD
492976330-4,JAVA,0,,2,2,165.89,JOD
828329820-8,R,2,2,2,1,418.85,Euro
088929793-2,Python,0,1,0,0,468.25,USD
638165959-9,R,1,1,2,2,240.36,USD
472239342-7,java,0,0,2,0,110.03,USD
376267119-2,Python,1,1,0,1,306.06,JOD
833182074-6,c++,2,1,0,1,275.99,Euro
844799745-6,c++,1,0,2,0,458.06,Euro
411350050-9,R,1,1,2,0,482.29,USD
419371483-7,Python,1,1,1,0,174.10,Euro
699940964-1,Python,2,2,1,0,234.64,USD
879251409-X,C++,2,0,2,2,453.26,Euro
750831638-X,JAVA,1,0,0,0,188.30,USD
148090590-9,C++,0,2,1,1,470.88,USD
447846984-9,JAVA,1,1,0,2,192.14,Euro
809835573-X,java,0,0,0,2,152.51,JOD
447854195-7,JAVA,1,1,1,2,204.79,USD
338883428-8,R,2,0,0,0,272.18,JOD
485604761-2,java,0,2,1,0,248.13,JOD
838214452-7,JAVA,1,0,1,2,380.04,JOD
980707789-3,JAVA,2,0,1,2,245.67,Euro
120489288-1,PYTHON,2,0,1,1,156.31,USD
748571487-2,JAVA,1,1,2,0,255.81,Euro
472584950-2,Python,1,1,2,0,242.41,Euro
405210659-8,PYTHON,2,0,2,2,125.30,USD
995589392-3,JAVA,0,1,2,2,169.56,JOD
752082025-4,JAVA,2,0,0,1,302.91,USD
620957619-2,C++,1,2,1,2,191.22,Euro
002261667-5,C++,1,2,0,1,187.83,Euro
799295812-8,JAVA,2,1,0,2,482.51,JOD
510911965-1,JAVA,1,0,0,1,160.97,JOD
569516854-6,java,0,2,0,2,214.30,Euro
213061354-3,PYTHON,0,0,1,2,496.19,Euro
793324101-8,R,2,1,0,1,223.42,Euro
626452044-6,Python,1,0,2,2,320.31,JOD
585940925-7,c++,1,0,2,1,112.39,USD
853669357-6,R,0,1,2,1,148.35,JOD
836757942-9,c++,0,1,2,0,469.52,Euro
381547619-4,PYTHON,2,1,2,2,308.38,JOD
288074339-7,c++,1,2,0,2,487.18,Euro
464356585-3,PYTHON,2,0,2,2,436.47,USD
108019463-0,Python,0,0,0,0,362.96,Euro
014486996-9,Python,2,1,0,0,238.94,JOD
453135258-0,JAVA,0,2,2,0,347.03,Euro
226098741-9,R,0,,1,0,383.57,Euro
621457516-6,R,2,0,1,1,121.69,USD
687187043-1,c++,2,0,1,1,346.72,Euro
659100820-9,Python,2,1,0,1,146.73,USD
388596747-2,JAVA,1,2,1,2,306.86,USD
965005411-1,C++,1,0,0,1,211.79,JOD
573040621-5,PYTHON,1,2,1,0,412.35,Euro
993642515-4,C++,1,0,1,0,184.09,JOD
584137159-2,Python,1,2,0,2,127.08,JOD
067102189-3,java,0,,2,0,472.77,USD
006747189-7,c++,0,1,1,2,493.02,USD
490955696-6,java,0,0,1,1,408.12,JOD
356152324-2,PYTHON,2,0,2,2,187.40,JOD
822040814-6,java,0,0,0,2,479.64,Euro
074304658-7,JAVA,0,2,0,0,164.90,JOD
552712644-0,PYTHON,2,0,2,2,439.68,USD
998727036-0,Python,1,0,2,2,160.44,JOD
983416913-2,java,1,1,0,0,359.57,USD
272383929-X,JAVA,0,0,0,2,128.34,Euro
162754706-1,c++,0,1,0,1,143.00,USD
088706012-9,java,0,0,2,2,102.62,Euro
224512390-5,java,1,0,2,2,164.44,USD
579770786-1,JAVA,0,0,1,2,443.12,USD
691099249-0,Python,0,1,1,2,153.70,JOD
526501839-5,C++,0,1,0,0,232.00,USD
971270975-2,PYTHON,1,,0,1,378.76,JOD
161399351-X,c++,0,0,0,0,454.21,Euro
957993532-7,java,2,2,1,0,485.55,Euro
943110072-X,java,2,1,0,0,168.09,Euro
118880366-2,PYTHON,2,0,2,2,386.04,JOD
600609220-4,JAVA,1,0,1,0,192.51,Euro
203860156-9,PYTHON,2,2,1,2,120.34,USD
762658258-6,C++,2,2,1,1,415.23,Euro
720586232-9,PYTHON,2,2,1,2,379.12,Euro
218697055-4,java,1,0,1,2,120.55,JOD
463914915-8,C++,2,1,0,2,303.62,Euro
162136694-4,R,0,1,0,2,186.20,JOD
967489227-3,Python,0,2,1,1,325.72,USD
929339717-X,R,0,1,2,0,459.08,Euro
563093133-4,java,0,1,0,1,186.61,JOD
933101645-X,c++,2,2,2,1,390.21,USD
915909640-3,R,1,1,2,1,294.38,USD
190650206-4,PYTHON,0,1,2,2,447.79,Euro
238964847-9,R,1,0,2,2,474.52,USD
201620836-8,Python,0,0,2,1,498.21,USD
417452657-5,R,1,,1,0,310.64,USD
096955758-2,Python,1,0,2,0,293.20,JOD
922469333-4,java,2,2,0,0,215.08,Euro
425682744-7,JAVA,2,2,1,1,380.67,Euro
921516908-3,C++,0,0,0,1,131.92,USD
650184488-6,JAVA,0,0,1,0,175.02,Euro
325157998-3,R,1,0,0,1,274.10,USD
858920941-5,Python,1,2,0,2,239.69,Euro
635396102-2,JAVA,0,1,1,1,167.94,Euro
406860496-7,Python,2,1,0,0,487.78,USD
389193947-7,JAVA,0,2,2,2,148.04,Euro
382228758-X,JAVA,1,2,0,1,476.04,Euro
230919546-4,java,0,2,2,2,385.15,USD
594389899-9,Python,1,2,0,1,120.27,Euro
544907937-0,R,2,0,1,2,392.74,USD
403066264-1,C++,1,1,1,0,491.86,USD
171389980-9,PYTHON,0,2,2,2,387.67,Euro
275015518-5,Python,2,1,2,2,209.46,USD
947233788-0,C++,1,2,1,0,177.28,USD
470672016-8,PYTHON,1,1,0,1,330.44,Euro
676413904-0,R,1,1,1,0,393.27,USD
150930562-9,C++,2,0,2,0,336.21,JOD
973000555-9,c++,2,2,0,2,438.32,Euro
597199136-1,C++,2,2,1,0,369.80,USD
487588192-4,Python,1,,1,0,429.63,USD
653790360-2,R,1,2,0,0,449.15,Euro
734499253-1,C++,1,,2,1,126.59,USD
644412435-2,c++,1,1,1,0,263.96,Euro
020323773-0,R,1,0,0,2,415.41,Euro
046781910-6,JAVA,0,0,0,1,407.71,Euro
035672005-5,c++,2,0,0,2,154.81,USD
440049618-X,R,1,2,0,1,327.63,Euro
887716052-7,PYTHON,2,1,0,0,160.24,USD
103215917-0,C++,2,2,0,0,371.56,JOD
568006733-1,C++,2,1,0,2,179.44,JOD
861637040-4,PYTHON,2,1,1,2,149.19,JOD
968863988-5,c++,0,1,0,1,430.70,USD
085382933-0,Python,0,1,0,2,309.60,Euro
282095421-9,R,1,1,2,1,461.16,Euro
979157210-0,,0,2,2,0,444.78,JOD
