Project_ID,ProgrammingLanguage,Employee1,Employee2,Employee-3,Employee-4,Award,Currency
740333849-9,c++,1,2,1,0,266.59,euro
564105171-3,PYTHON,2,2,1,1,369.15,euro
148887653-3,c++,0,2,1,1,128.19,euro
111619282-9,java,1,1,1,0,317.57,JOD
688826789-X,c++,2,0,1,2,255.62,JOD
288829185-1,JAVA,2,0,1,2,272.24,USD
699442539-8,java,0,2,1,0,352.04,Dollar
037856802-7,java,2,1,1,1,280.48,euro
921851466-0,java,2,0,2,1,422.27,jod
093205875-2,C++,2,2,2,0,254.21,euro
122932973-0,JAVA,1,0,0,1,144.99,Euro
913618542-6,PYTHON,2,2,2,2,129.81,Dollar
089771710-4,Python,1,1,2,0,224.87,jod
888183967-9,Python,2,1,0,2,499.85,Dollar
737415714-2,python,0,2,2,0,246.20,USD
430653712-9,python,0,0,0,2,171.54,USD
270989567-6,python,1,2,0,1,200.86,jod
224828968-5,PYTHON,0,2,2,1,484.75,Dollar
923413332-3,PYTHON,0,1,2,2,493.83,jod
664745949-9,R,1,1,0,1,469.11,jod
807335985-5,JAVA,0,2,0,1,396.88,Dollar
466158382-5,Python,2,1,1,0,301.50,USD
570208023-8,Python,1,1,0,0,105.99,Euro
415207748-4,c++,1,1,1,1,207.40,Dollar
789126186-5,python,1,1,2,2,417.91,euro
103935247-2,java,2,1,0,2,294.52,jod
312329309-2,C++,2,0,0,1,429.18,JOD
113119648-1,PYTHON,1,0,2,1,269.42,Euro
117080296-6,PYTHON,0,0,2,1,306.16,JOD
936585513-6,r,0,0,2,2,493.41,USD
596988775-7,R,0,0,1,0,192.75,Euro
315261612-0,Python,2,1,2,2,289.09,Euro
305997274-5,,2,0,2,2,293.55,jod
385923356-4,R,0,2,1,1,493.09,jod
947532391-0,C++,0,2,0,1,311.22,JOD
744947477-8,C++,0,0,2,0,308.36,USD
145116508-0,java,1,2,1,2,104.92,Euro
441793964-0,C++,1,2,1,1,291.04,USD
109178222-9,JAVA,2,1,2,2,370.34,Euro
158013479-3,java,0,1,0,0,384.53,Euro
970168697-7,python,0,1,2,0,196.24,jod
508448105-0,Python,0,2,2,0,143.83,USD
723871887-1,R,2,1,0,0,461.38,Dollar
325783745-3,c++,1,2,1,2,150.08,USD
520313287-9,R,1,0,0,1,270.83,Dollar
048454848-4,java,0,1,2,2,371.06,Dollar
154811479-0,python,1,0,1,1,203.78,Dollar
178430054-3,C++,1,2,2,1,249.40,euro
574468087-X,Python,2,0,0,2,173.29,USD
531551689-X,C++,0,2,1,2,432.59,USD
249424223-1,PYTHON,1,1,0,2,416.58,JOD
938958747-6,Python,2,0,2,1,321.04,jod
356097172-1,R,2,2,2,0,411.42,JOD
608530125-1,r,2,0,2,2,222.26,Euro
996815762-7,c++,1,2,2,0,366.77,USD
824109888-X,PYTHON,2,0,1,0,303.14,JOD
384613415-5,c++,0,1,2,0,281.15,euro
768625083-0,PYTHON,2,1,1,0,358.51,Dollar
446496172-X,java,0,1,0,2,307.23,JOD
880550530-7,c++,2,1,1,0,344.22,euro
690183813-1,java,0,0,1,2,313.83,Dollar
630692821-9,R,2,0,2,0,433.99,Euro
685753779-8,R,2,2,1,1,124.21,USD
019934224-5,Python,1,2,2,1,222.21,Euro
744525865-5,,2,1,0,1,289.47,euro
678550869-X,java,1,2,2,1,301.64,Euro
848623364-X,R,1,1,0,0,437.45,Euro
346855642-X,r,1,0,2,2,209.01,USD
664920858-2,PYTHON,2,2,1,0,357.42,jod
168632703-X,c++,1,1,1,0,128.65,Euro
452801380-0,python,2,0,0,2,489.18,jod
774510140-9,JAVA,2,2,2,2,430.58,euro
010721622-1,c++,2,2,0,1,215.03,Euro
986864431-3,java,0,2,2,0,404.51,jod
676900949-8,python,1,1,0,0,314.16,JOD
522458975-4,Python,0,0,0,0,268.36,euro
689607584-8,c++,2,1,1,0,413.30,euro
744717109-3,c++,2,0,1,2,174.02,USD
606303008-5,C++,2,1,0,2,205.34,jod
985190107-5,c++,1,2,0,0,256.35,Dollar
645145606-3,PYTHON,1,2,1,2,112.96,euro
973361399-1,java,1,0,2,0,394.45,JOD
222500708-X,R,0,1,2,1,396.48,USD
449254689-8,R,2,2,0,2,261.42,USD
242181441-3,R,2,1,0,1,392.54,Dollar
975514808-6,R,2,1,1,1,445.38,USD
659146798-X,PYTHON,2,1,0,0,391.67,Dollar
653756277-5,JAVA,0,2,0,0,298.78,jod
217634431-6,C++,0,0,1,1,174.56,USD
410270414-0,Python,2,1,0,2,114.22,Dollar
754801005-2,Python,0,1,2,1,116.23,USD
584360495-0,c++,0,2,1,2,346.04,JOD
709596282-0,R,0,2,2,2,354.50,Dollar
397698117-6,R,1,0,1,1,307.47,Euro
780874761-0,PYTHON,1,0,0,0,272.30,JOD
792406092-8,c++,0,0,2,2,290.61,euro
037011298-9,python,0,0,2,0,284.63,Euro
681244591-6,R,1,2,2,0,264.64,Euro
750888213-X,r,0,1,2,1,221.50,USD
432236855-7,PYTHON,1,0,2,1,131.12,jod
950476965-9,Python,0,0,2,0,239.50,euro
731222177-7,JAVA,2,1,2,2,273.91,JOD
625845812-2,PYTHON,1,0,2,2,199.77,jod
964516465-6,C++,2,0,2,0,232.17,JOD
700889926-2,PYTHON,0,0,1,0,355.89,Euro
183867766-6,,1,1,0,2,235.11,USD
895326845-1,c++,0,2,1,0,102.72,USD
463805962-7,java,1,0,0,0,286.17,Dollar
986397026-3,,2,2,0,1,175.99,Euro
887670506-6,c++,2,2,0,0,406.75,Euro
241124627-7,java,2,2,0,0,477.71,euro
246987559-5,C++,1,2,2,0,281.89,USD
266327154-3,java,0,2,2,2,494.55,euro
558828427-5,C++,1,0,0,2,429.27,Euro
381310527-X,python,2,1,1,2,366.33,Euro
888652445-5,Python,2,2,1,2,284.88,USD
627853781-8,PYTHON,1,2,2,0,312.63,Dollar
081066117-9,java,2,2,2,0,283.75,JOD
772077405-1,C++,2,2,1,0,228.85,euro
935619270-7,java,0,2,0,2,344.27,Dollar
833100602-X,C++,2,1,0,0,152.75,euro
350472822-1,R,0,0,0,0,337.64,euro
706976413-8,python,2,0,2,2,113.20,Dollar
905334939-1,C++,1,2,0,1,246.44,JOD
354696313-X,python,0,2,0,1,249.50,jod
550706744-9,,1,1,2,2,213.04,JOD
680156096-4,,2,2,1,2,138.55,Dollar
770796928-6,PYTHON,2,1,1,0,474.85,Euro
118588459-9,C++,1,2,0,2,141.33,JOD
810065404-2,JAVA,0,0,1,1,200.06,euro
512368083-7,Python,1,1,1,1,429.69,JOD
402469914-8,C++,1,0,1,0,319.43,JOD
404881213-0,python,0,2,0,1,348.95,jod
935290051-0,python,2,0,1,0,245.67,jod
719080007-7,java,0,2,2,2,141.94,euro
298511162-5,java,2,1,0,2,112.32,Dollar
831094291-5,c++,0,1,1,0,345.72,Dollar
050471879-7,c++,0,2,2,1,108.43,Dollar
632523886-9,r,2,0,0,0,419.60,jod
127198879-8,R,2,0,2,1,404.09,USD
195742188-6,r,2,2,0,2,189.85,euro
493453814-3,R,1,0,0,1,176.59,JOD
352260522-5,JAVA,0,2,0,1,478.02,Dollar
072374640-0,c++,1,1,1,1,342.57,jod
232752230-7,c++,0,2,2,1,192.56,Euro
183840258-6,JAVA,1,1,0,0,406.66,JOD
944765401-0,java,1,2,0,0,417.98,jod
518891003-9,python,0,0,1,2,242.02,USD
153451976-9,JAVA,1,0,0,1,284.58,Dollar
771286201-X,C++,2,1,2,2,189.24,Dollar
292625122-X,r,0,2,1,0,134.55,euro
932442838-1,Python,0,0,1,2,253.65,euro
528587072-0,,2,2,1,2,304.88,Dollar
716769593-9,r,0,2,2,0,148.25,Euro
064228385-0,C++,1,1,1,2,336.35,JOD
452205206-5,Python,2,1,0,1,326.68,JOD
684554034-9,Python,2,2,2,0,424.22,USD
543009525-7,r,2,1,2,1,254.42,USD
844214971-6,java,0,2,2,1,117.56,Dollar
074062353-2,java,0,0,2,1,230.22,Euro
257269251-1,c++,1,0,2,2,494.80,USD
692567046-X,Python,1,1,0,1,158.26,JOD
372695236-5,C++,1,2,2,1,375.69,euro
562090979-4,C++,2,1,0,1,474.06,jod
525029218-6,c++,2,0,2,1,259.08,Dollar
371562853-7,PYTHON,1,0,0,0,325.46,USD
540110041-8,JAVA,0,2,0,2,499.02,JOD
336918876-7,python,1,2,0,0,264.37,JOD
522336391-4,R,1,2,1,0,275.89,Dollar
750633509-3,PYTHON,1,0,1,0,188.44,USD
305754717-6,R,1,0,2,1,106.08,JOD
907117002-0,Python,1,1,1,1,492.66,USD
554098501-X,java,1,0,1,0,355.47,JOD
713393792-1,r,1,1,2,0,434.05,USD
400800348-7,C++,0,1,1,0,210.08,euro
270535579-0,python,2,0,1,0,226.25,JOD
195095126-X,C++,0,2,2,1,205.48,euro
787446828-7,c++,2,0,2,0,109.26,euro
265036804-7,c++,0,2,2,2,345.83,Dollar
010110824-9,python,1,2,1,1,259.71,Euro
183743337-2,PYTHON,1,0,2,0,263.17,euro
553332435-6,python,1,1,0,1,301.93,jod
125454568-9,,1,0,1,1,196.63,jod
208936137-9,C++,2,2,0,0,447.86,euro
928080029-9,r,0,0,2,1,276.93,jod
118027890-9,JAVA,1,2,0,1,209.08,jod
912003914-X,PYTHON,0,0,0,2,370.45,USD
214109655-3,java,0,2,1,2,117.38,Dollar
401415724-5,Python,1,0,1,0,266.44,Dollar
706620197-3,PYTHON,2,2,1,0,268.55,USD
514084001-4,python,2,0,0,2,139.06,USD
908971901-6,python,2,1,1,1,413.69,Euro
203649155-3,Python,2,1,1,1,473.47,JOD
033207132-4,r,1,1,0,1,371.50,jod
773827231-7,Python,1,2,2,2,212.57,euro
007502516-7,r,1,2,1,0,448.14,jod
788065985-4,c++,1,2,0,2,132.18,Dollar
277772581-0,r,2,2,0,1,402.56,Euro
745978932-1,C++,2,1,1,0,265.44,USD
771569045-7,r,2,2,0,0,131.24,jod
956359464-9,Python,0,1,2,0,313.82,Euro
467986184-3,JAVA,0,1,1,0,477.40,USD
308685995-4,python,1,2,0,2,442.82,JOD
259359421-7,R,2,2,0,0,129.87,euro
926793468-6,PYTHON,0,0,1,2,330.07,euro
840551803-7,c++,1,2,2,1,276.76,JOD
557996103-0,R,2,2,2,1,154.54,JOD
203310946-1,JAVA,1,1,2,0,291.95,JOD
498735467-5,r,2,2,2,1,236.69,jod
112391396-X,JAVA,0,1,0,1,161.72,Dollar
275820022-8,Python,0,0,2,0,363.13,jod
809539652-4,R,1,1,1,0,364.07,Dollar
242128047-8,python,1,0,0,2,368.65,JOD
218393490-5,Python,0,1,2,0,156.10,jod
775512386-3,c++,2,0,2,1,356.74,Euro
388026317-5,java,0,2,1,1,281.24,Euro
741534626-2,java,0,0,1,0,251.06,jod
074419597-7,R,0,0,0,2,437.36,USD
100543839-0,JAVA,1,0,1,2,324.64,Euro
003262302-X,java,0,0,1,0,455.17,Dollar
587337904-1,C++,0,0,1,0,451.20,JOD
351371274-X,python,0,0,2,1,486.05,jod
036623947-3,Python,2,2,0,0,169.17,USD
670080664-X,r,1,0,2,2,288.33,USD
505439249-1,C++,0,2,2,2,352.83,Euro
643702895-5,c++,1,1,0,1,445.36,euro
183570246-5,JAVA,1,0,0,2,395.84,Euro
526967972-8,PYTHON,0,1,0,1,173.06,Dollar
906369460-1,r,2,1,1,2,405.56,Dollar
366212090-9,R,1,1,2,0,303.04,jod
531285054-3,java,1,0,0,2,343.76,euro
243151451-X,c++,2,2,0,2,147.87,JOD
580919324-2,PYTHON,0,2,2,2,420.61,jod
873044199-4,c++,2,1,0,0,386.38,jod
632682698-5,c++,2,0,0,1,213.38,USD
004842326-2,c++,1,1,1,1,366.18,Euro
247255054-5,r,0,0,0,0,445.31,USD
822405093-9,R,2,0,0,0,402.00,Euro
560679032-7,Python,0,2,0,1,495.01,jod
371990629-9,JAVA,2,0,2,0,463.98,Euro
882587589-4,java,1,0,1,0,347.26,Euro
998142055-7,PYTHON,2,1,1,1,290.89,JOD
122030603-7,java,1,1,1,1,135.35,jod
488245984-1,PYTHON,1,2,1,1,440.51,Euro
217704732-3,C++,1,2,2,0,446.94,Euro
756766407-0,R,0,0,2,1,176.65,USD
635524380-1,C++,1,1,1,1,495.66,USD
563923871-2,c++,0,1,1,0,255.63,Dollar
039532684-2,Python,2,0,1,2,190.71,JOD
603168144-7,Python,1,1,0,0,411.92,euro
411952127-3,PYTHON,1,2,2,0,246.77,JOD
919404875-4,JAVA,0,2,2,0,123.76,jod
307191383-4,c++,2,2,1,2,240.53,Euro
171085626-2,c++,2,2,1,0,231.69,USD
143993190-9,C++,0,0,1,0,295.30,JOD
520044763-1,java,1,2,1,0,333.11,Euro
956894543-1,java,1,1,1,2,186.73,Dollar
369752968-4,Python,1,0,1,0,230.12,JOD
968221897-7,java,2,2,2,0,116.48,jod
637085397-6,Python,0,0,0,1,430.99,Dollar
170948584-1,c++,2,0,2,0,349.77,euro
618374971-0,JAVA,0,0,0,2,341.29,Dollar
806690902-0,R,1,2,0,1,489.06,Dollar
520682776-2,R,2,1,1,0,260.23,euro
685019643-X,C++,1,2,0,1,347.47,JOD
507111964-1,C++,0,2,2,2,258.76,euro
662023244-2,java,0,1,0,1,173.79,jod
835260332-9,c++,2,1,1,0,472.40,USD
210434574-X,python,0,0,1,0,327.07,JOD
472789375-4,java,2,0,1,0,298.80,jod
731352091-3,R,2,0,0,0,346.01,USD
193193880-6,java,0,1,1,1,350.86,Euro
732014748-3,python,0,2,1,1,256.52,USD
117459032-7,python,2,0,0,2,388.47,Euro
705289747-4,java,1,0,2,1,235.66,USD
474356247-3,r,0,2,2,2,404.56,jod
472419498-7,python,2,1,1,1,151.52,euro
639878908-3,r,2,0,1,1,113.59,USD
747338970-X,C++,0,1,0,0,301.93,jod
740785757-1,Python,0,1,1,2,107.36,euro
168979466-6,r,0,0,0,0,138.00,jod
664966294-1,c++,2,0,1,2,337.54,Euro
842562460-6,PYTHON,2,1,2,0,383.07,euro
007589054-2,c++,1,2,0,2,371.14,Euro
255556231-1,java,2,0,0,0,250.47,Dollar
750065704-8,JAVA,2,2,2,2,378.98,USD
229721455-3,PYTHON,1,0,2,2,457.87,jod
904031346-6,python,1,2,1,2,348.03,Euro
290202795-8,C++,0,2,0,1,186.90,JOD
701980628-7,c++,2,0,0,2,498.87,USD
246607081-2,java,0,0,1,0,177.07,jod
246359739-9,python,0,2,1,0,453.00,JOD
562969475-8,c++,2,1,0,2,397.48,Dollar
771737549-4,R,1,1,0,0,307.12,JOD
421971123-6,java,1,0,2,2,482.83,jod
247799426-3,c++,1,2,0,1,279.61,USD
558146892-3,r,0,2,2,0,155.84,Dollar
332686594-5,C++,2,1,1,1,181.35,JOD
526879193-1,PYTHON,1,2,1,0,469.73,jod
193122285-1,PYTHON,1,1,2,1,221.92,Dollar
433989486-9,JAVA,0,2,2,1,148.22,jod
893126259-0,r,1,1,0,0,183.39,USD
531982910-8,java,1,2,1,1,350.00,Euro
127513915-9,R,1,2,0,2,434.45,JOD
568068504-3,java,1,1,0,0,444.18,jod
552001802-2,R,0,1,0,0,208.12,Euro
499115019-1,r,2,2,1,1,284.85,USD
499190150-2,R,1,1,2,1,150.31,jod
985337339-4,,2,1,2,0,265.69,jod
466290246-0,python,0,2,2,1,241.53,jod
631332957-0,R,1,0,0,0,469.15,jod
426438940-2,,1,0,0,0,123.07,Dollar
311991237-9,R,1,1,1,1,348.56,USD
309967045-6,R,0,2,2,2,121.70,JOD
286028243-2,C++,1,1,0,0,176.94,USD
815755478-0,java,2,0,0,2,109.86,euro
262748117-7,JAVA,0,2,2,0,220.24,jod
198770684-6,R,2,2,0,0,386.13,Dollar
933581569-1,c++,2,1,0,2,198.60,euro
559474833-4,r,0,2,2,2,325.02,Euro
830393564-X,PYTHON,0,0,2,0,255.22,Dollar
790391320-4,PYTHON,1,1,2,1,106.33,jod
768719089-0,java,1,1,0,1,487.69,euro
935373196-8,R,2,1,0,0,399.99,jod
920698143-9,PYTHON,1,1,0,2,482.87,USD
822480008-3,C++,0,2,0,2,146.83,Euro
572293802-5,python,2,1,1,0,366.98,JOD
730799962-5,java,1,2,0,1,212.70,Euro
442339232-1,r,1,2,2,2,191.33,Euro
039760052-6,python,0,2,0,2,290.96,JOD
247884094-4,PYTHON,1,1,2,0,199.03,Euro
853110649-4,R,2,1,0,2,392.52,USD
792813369-5,Python,2,0,1,2,466.25,USD
610009176-3,PYTHON,0,2,2,0,388.95,euro
349554928-5,R,0,0,2,1,306.71,jod
055756069-1,PYTHON,1,0,2,0,273.28,euro
332781471-6,C++,0,2,1,2,242.53,euro
294863667-1,python,0,1,2,1,421.59,JOD
744031988-5,R,0,1,0,0,293.60,jod
761550156-3,JAVA,0,2,1,2,192.62,JOD
401565361-0,C++,2,2,2,0,366.15,jod
581027487-0,python,1,0,0,1,233.19,Dollar
195811780-3,r,0,1,0,2,131.25,jod
166159961-3,,2,0,0,0,498.01,Dollar
951419517-5,PYTHON,2,2,2,2,338.19,jod
023240504-2,C++,0,2,2,2,369.30,Euro
211494568-5,JAVA,2,0,0,1,417.91,euro
253481544-X,Python,2,1,2,0,250.12,JOD
790436872-2,Python,2,0,0,2,285.47,JOD
220656752-0,PYTHON,1,0,0,2,472.55,euro
315722586-3,java,1,2,0,1,119.36,Euro
774307891-4,c++,0,2,1,2,293.40,Euro
880671655-7,C++,1,2,1,2,180.02,JOD
319034502-3,java,1,2,1,1,228.09,euro
802837017-9,C++,2,1,0,1,348.83,Euro
874693454-5,r,0,0,1,2,193.76,jod
460974521-6,python,0,2,0,2,122.96,Dollar
713594224-8,PYTHON,0,0,1,1,165.94,USD
337285002-5,PYTHON,1,1,0,1,441.15,USD
153207120-5,java,1,1,0,1,228.37,euro
655118447-2,PYTHON,0,1,1,2,422.12,euro
740574198-3,c++,0,1,2,2,165.74,JOD
526784899-9,python,2,0,0,1,181.04,euro
416923674-2,python,1,0,1,1,292.91,USD
278014755-5,PYTHON,1,1,0,1,321.07,USD
146012974-1,,2,0,0,2,110.43,USD
226717111-2,R,0,1,2,2,436.60,USD
647943723-3,Python,1,0,2,2,284.85,JOD
865901365-4,java,2,2,2,1,150.83,Euro
132193683-4,java,1,0,0,2,296.75,Euro
580511209-4,c++,0,2,1,2,496.64,JOD
249240405-6,R,2,2,0,2,446.36,jod
983050042-X,R,2,1,1,2,271.21,JOD
973400179-5,java,1,2,1,0,234.00,Dollar
055029916-5,Python,1,1,0,1,115.45,USD
665640124-4,JAVA,1,1,2,2,170.17,Euro
790715442-1,r,2,2,1,1,331.95,USD
396639002-7,python,1,2,0,0,426.79,Dollar
940663494-5,java,1,0,2,2,144.30,USD
486163177-7,Python,1,0,1,1,366.81,Euro
671682015-9,C++,1,2,0,1,208.88,JOD
277247147-0,PYTHON,0,1,2,2,192.87,Euro
517715109-3,Python,2,0,2,0,325.86,Euro
340595807-5,Python,2,2,2,2,267.38,Euro
481477009-X,r,0,1,2,0,234.04,euro
636120738-2,c++,1,2,1,2,287.05,euro
718975558-6,C++,1,0,1,0,103.82,jod
132232606-1,python,0,1,0,1,241.78,JOD
988073076-3,C++,1,2,2,0,466.79,USD
975209301-9,Python,0,1,2,1,197.62,JOD
602251852-0,JAVA,0,0,1,0,123.63,USD
735344395-2,java,2,0,2,0,327.62,JOD
593439348-0,PYTHON,1,2,1,2,115.09,euro
409642780-2,PYTHON,1,2,1,1,322.13,USD
800387112-3,c++,1,1,2,0,130.59,USD
940138689-7,JAVA,1,0,2,1,266.31,jod
987327302-6,,1,2,2,2,320.13,Euro
600986066-0,PYTHON,0,2,0,1,199.16,Euro
778664205-6,Python,1,1,0,2,186.73,Euro
537049548-3,,1,2,1,2,178.92,euro
627919169-9,java,2,1,1,1,276.55,euro
525501938-0,c++,2,2,1,2,489.41,euro
145985638-4,python,0,0,1,1,142.49,jod
169986121-8,Python,2,0,2,0,299.72,USD
773061509-6,python,2,1,2,1,133.56,euro
643466795-7,java,1,1,1,1,315.67,jod
374464883-4,r,2,0,2,0,399.60,jod
925258662-8,c++,2,2,2,1,113.78,JOD
374336137-X,c++,1,2,0,0,473.93,USD
262212850-9,python,2,2,1,2,310.91,Dollar
908701155-5,r,0,2,1,1,479.19,euro
819847183-9,c++,2,0,1,2,294.23,euro
498363583-1,C++,0,2,2,0,434.23,Euro
590080437-2,java,0,0,2,0,476.63,Euro
678329729-2,JAVA,0,0,1,1,386.91,Euro
895220342-9,Python,2,0,2,1,210.71,euro
049571106-3,C++,0,0,0,1,323.41,jod
772880158-9,c++,1,1,1,0,118.92,JOD
180187389-5,c++,1,1,2,1,171.93,jod
552003434-6,r,0,2,0,2,468.89,JOD
465976052-9,python,1,0,0,1,291.85,USD
500852893-9,R,1,0,0,0,195.68,USD
587741030-X,java,0,1,0,0,250.82,Dollar
986286309-9,java,2,1,1,0,344.41,euro
555937876-3,,0,2,2,1,445.13,jod
398720615-2,C++,2,1,2,1,124.24,USD
710751851-8,java,1,0,0,2,271.14,euro
846328089-7,r,2,0,0,1,154.36,USD
850626464-2,Python,1,1,0,0,277.04,Dollar
259773146-4,r,1,1,0,2,242.15,JOD
407853195-4,r,1,0,1,2,195.34,jod
168064824-1,java,2,2,1,1,127.08,USD
832305434-7,JAVA,2,0,2,2,289.85,Dollar
963211384-5,C++,0,0,0,0,355.54,Euro
885429177-3,C++,1,0,0,1,359.04,Dollar
151372105-4,JAVA,1,1,1,1,143.63,jod
980637499-1,C++,2,2,0,1,414.70,Euro
590633147-6,python,1,0,0,0,338.34,jod
933145866-5,c++,2,2,0,0,115.91,Dollar
143509750-5,PYTHON,0,0,0,2,175.74,JOD
693260858-8,PYTHON,2,0,2,1,301.95,Euro
841228726-6,java,0,0,1,2,134.63,Dollar
503667086-8,c++,0,1,1,0,260.87,JOD
085557831-9,,0,2,2,1,415.45,USD
629716552-1,JAVA,1,1,2,2,295.80,JOD
602572864-X,JAVA,0,2,2,1,465.91,jod
068895641-6,C++,1,0,1,1,289.94,euro
988844727-0,python,2,2,0,0,214.16,euro
604036900-0,PYTHON,2,2,1,0,308.35,euro
231596229-3,JAVA,1,1,1,2,183.02,jod
357593386-3,c++,2,2,1,0,231.54,euro
065939230-5,C++,2,1,1,1,126.87,Dollar
104117981-2,R,2,2,2,1,132.14,euro
454796686-9,r,2,0,2,1,326.96,euro
328484612-3,C++,0,1,0,2,185.88,Euro
370125896-1,Python,0,1,1,1,227.24,Euro
735082532-3,Python,1,1,1,2,495.23,Dollar
043131731-3,C++,0,1,0,2,137.26,euro
266014323-4,C++,0,1,2,1,350.22,jod
621298315-1,C++,1,2,2,2,389.33,Euro
473946912-X,C++,0,2,2,1,247.56,JOD
902238193-5,Python,2,1,1,2,432.62,USD
054500872-7,,1,2,1,2,432.02,jod
481657025-X,java,0,0,1,0,104.82,Euro
048394160-3,python,1,0,1,2,204.36,Euro
543989045-9,Python,0,2,0,2,366.70,Euro
075615080-9,Python,1,0,2,1,148.58,euro
336717225-1,JAVA,1,0,2,2,238.10,Euro
131700353-5,PYTHON,2,2,0,2,465.87,Dollar
632689161-2,c++,1,1,1,0,209.36,USD
977437744-3,JAVA,1,2,1,2,330.64,USD
040230880-8,R,0,2,0,2,302.84,JOD
019922891-4,JAVA,2,0,2,1,458.99,Dollar
094572393-8,Python,2,2,2,1,229.44,jod
078557773-4,C++,0,2,2,2,475.50,jod
329342600-X,c++,0,0,1,1,114.40,Euro
210183008-6,C++,2,0,1,1,345.82,USD
092285606-0,,0,2,0,2,456.50,Dollar
446860965-6,JAVA,2,2,2,0,343.83,Dollar
046864163-7,R,0,2,2,1,104.98,Euro
100491233-1,R,0,2,1,1,130.92,euro
756801661-7,PYTHON,2,2,2,1,459.47,JOD
767779101-8,Python,2,0,2,0,345.57,USD
581131900-2,Python,1,0,1,1,225.55,Dollar
890326400-2,C++,2,2,1,2,494.93,USD
988941156-3,R,0,2,2,1,418.80,JOD
071714617-0,r,0,2,0,2,425.79,euro
414419419-1,JAVA,0,0,0,1,339.69,jod
013276594-2,Python,2,1,0,1,280.89,USD
721202235-7,JAVA,0,2,0,1,413.36,JOD
436168286-0,r,1,0,1,1,408.18,USD
983958732-3,c++,1,1,2,1,358.20,Dollar
049891186-1,C++,0,1,1,1,448.49,Dollar
516252653-3,C++,0,0,0,2,378.59,jod
404639641-5,python,0,0,1,0,318.18,Euro
080165939-6,PYTHON,2,0,0,1,144.63,Dollar
758513441-X,C++,0,0,0,1,433.76,USD
193106234-X,python,1,2,1,2,148.82,euro
154558314-5,python,1,1,1,0,442.68,euro
183863763-X,JAVA,2,2,2,0,126.25,euro
627018839-3,JAVA,0,0,0,2,488.06,euro
649241201-X,PYTHON,1,1,1,0,455.88,jod
708654717-4,c++,1,1,1,1,264.58,JOD
080453481-0,c++,2,0,1,1,182.82,euro
141380421-7,Python,1,2,0,2,221.89,JOD
224722139-4,C++,1,0,1,0,270.13,Euro
920276165-5,Python,0,0,2,0,204.61,Dollar
055014151-0,R,1,2,2,2,201.73,jod
260558312-0,R,2,0,2,1,290.93,jod
628990368-3,C++,1,1,0,2,476.86,Euro
179780734-X,Python,1,1,1,2,102.36,jod
913058761-1,c++,1,2,2,0,382.88,Dollar
167549188-7,Python,2,0,2,1,450.99,euro
421273903-8,Python,0,0,1,0,318.32,Dollar
792928009-8,R,0,2,0,0,374.70,Dollar
481600717-2,R,0,0,1,0,364.08,Dollar
807372736-6,python,0,0,1,2,216.72,Euro
286210473-6,python,2,2,1,1,103.45,Euro
786632763-7,R,1,1,0,0,386.37,Dollar
658030321-2,java,1,1,0,1,108.43,euro
073953107-7,Python,2,0,0,0,245.47,Euro
134193760-7,python,0,2,0,1,307.47,Dollar
030222098-4,R,0,0,1,1,266.79,euro
426294270-8,java,1,0,1,2,404.59,USD
111533726-2,C++,1,2,1,2,376.11,Euro
622342616-X,python,2,0,0,0,186.05,Dollar
840101543-X,Python,2,1,0,0,192.56,Euro
517793920-0,R,2,0,0,1,241.72,jod
279308219-8,PYTHON,1,1,1,2,375.32,Dollar
103249527-8,c++,0,1,0,0,430.82,Euro
807986346-6,java,1,2,1,0,284.96,euro
058487501-0,c++,2,2,2,0,466.12,USD
886400537-4,R,2,0,1,1,330.39,euro
564385315-9,C++,2,2,1,1,179.04,jod
910171035-4,Python,1,2,1,0,140.58,Dollar
386843814-9,C++,2,0,1,1,420.04,JOD
175223920-2,c++,2,1,2,0,152.05,Euro
120288096-7,PYTHON,0,2,1,1,417.25,JOD
037660416-6,python,0,0,2,1,277.34,USD
869770193-7,c++,2,1,0,1,358.04,Dollar
004973297-8,java,0,0,1,1,389.66,JOD
053310286-3,r,2,2,1,2,263.32,jod
609673602-5,c++,0,0,1,0,297.02,JOD
616000253-8,,2,1,2,0,433.56,Euro
497400957-5,PYTHON,1,2,1,2,215.87,JOD
493679577-1,c++,0,0,0,2,399.37,USD
551944688-1,c++,0,0,0,2,420.99,USD
618489234-7,PYTHON,2,2,0,1,443.59,euro
338902168-X,r,0,1,1,0,223.63,JOD
430134087-4,c++,2,1,1,2,105.90,USD
986518023-5,c++,1,2,0,2,252.95,Dollar
716448294-2,c++,2,2,0,0,412.22,Euro
016522428-2,PYTHON,1,0,0,2,247.28,USD
856765425-4,c++,0,2,1,0,423.54,euro
381941105-4,R,0,0,2,1,277.19,Dollar
799282227-7,java,2,0,2,0,155.81,USD
475771317-7,Python,2,0,0,1,247.10,Dollar
286671490-3,,0,2,1,1,245.07,jod
628560182-8,PYTHON,2,2,2,1,397.18,JOD
835019256-9,,1,2,2,0,261.40,euro
093256217-5,Python,2,0,1,2,444.49,jod
675861523-5,PYTHON,0,0,2,1,351.64,USD
279140308-6,JAVA,0,0,0,0,213.92,JOD
943723488-4,R,2,2,0,0,160.80,euro
944178484-2,R,1,2,2,2,187.44,Euro
