Store_ID,City,Item_1,Item_2,Item_3,Item_4,Monthly_Sales,Currency
020864435-0,Amman,2,0,1,0,28958.21,JOD
043856833-8,A'zarqa,1,1,0,1,31142.65,USD
891822618-7,zaqra,1,1,2,0,21320.24,USD
507853379-6,zaqra,2,0,1,2,21844.24,USD
407289732-9,Zarqa,2,1,0,1,34077.36,JOD
337222877-4,,0,0,2,0,52620.91,USD
530767470-8,amman,2,1,1,0,24426.54,USD
294513936-7,A'zarqa,2,1,2,0,28110.80,JOD
691170292-5,Capital City,1,2,1,0,52458.02,JOD
780112161-9,Amman,2,1,2,2,38399.28,USD
861702580-8,Capital City,1,2,0,1,33596.93,USD
315622438-3,Zarqa,2,1,2,1,37442.87,JOD
431445697-3,Amman,0,2,0,2,34601.18,USD
764140661-0,A'zarqa,1,0,0,1,30432.05,JOD
389959340-5,A'zarqa,2,1,1,0,19966.02,JOD
859603367-X,amman,1,2,1,1,38989.73,JOD
841221178-2,Zarqa,0,0,2,1,19678.79,USD
111270406-X,Amman,1,2,0,0,26437.49,JOD
924516186-2,A'zarqa,1,1,0,1,21811.77,USD
250750438-2,Zarqa,1,1,0,1,38138.84,USD
863205089-3,zaqra,2,0,2,0,52385.69,JOD
648116137-1,Capital City,1,2,1,1,23665.81,JOD
962822900-1,Amman,0,0,0,0,49515.51,JOD
179644349-2,zaqra,2,0,1,0,38328.57,JOD
007853487-9,,1,2,1,2,21865.41,JOD
359356416-5,A'zarqa,1,2,0,0,31553.26,JOD
198670075-5,Amman,2,0,2,2,45492.53,JOD
009459209-8,Capital City,2,2,1,2,15668.27,JOD
874119268-0,zaqra,2,0,0,0,51485.37,JOD
998526441-X,Capital City,0,2,0,2,22648.71,USD
587553448-6,zaqra,0,1,0,2,28139.50,JOD
321315606-X,Capital City,1,2,0,2,49110.75,JOD
403490311-2,amman,0,2,1,2,28495.06,JOD
825552722-2,A'zarqa,1,2,1,1,51169.51,JOD
295116285-5,amman,2,2,1,1,24519.00,USD
485065903-9,zaqra,0,0,2,0,44207.82,USD
052982878-2,Zarqa,2,1,1,0,48736.38,JOD
170730074-7,amman,1,0,2,1,44219.22,JOD
136846883-7,amman,1,0,1,0,20079.10,JOD
540193229-4,Capital City,1,2,0,1,19751.52,JOD
496989444-2,A'zarqa,1,0,2,2,52623.51,JOD
966915964-4,Zarqa,0,2,0,0,23506.41,USD
640696779-8,A'zarqa,0,0,2,2,45795.81,JOD
847069768-4,Zarqa,2,1,2,2,16327.24,JOD
016912390-1,zaqra,0,2,2,2,34006.01,USD
213731892-X,Capital City,2,2,1,1,12899.10,JOD
661200689-7,zaqra,1,1,2,0,29154.98,USD
215765759-2,A'zarqa,1,0,2,2,24970.31,USD
223680233-1,zaqra,2,2,0,0,43140.62,JOD
843716009-X,A'zarqa,1,0,2,0,46944.33,JOD
941757932-0,amman,1,1,0,2,52293.65,JOD
214954964-6,Capital City,2,0,0,2,17255.12,USD
912077247-5,Capital City,0,0,2,2,20605.37,USD
683969794-0,Amman,0,1,2,0,29157.71,USD
245572163-9,A'zarqa,2,1,0,1,29993.08,USD
549344788-6,A'zarqa,0,1,1,1,41549.88,JOD
419418032-1,Amman,1,2,0,0,33798.19,JOD
271312121-3,,2,0,0,2,15147.04,USD
266936605-8,Zarqa,1,1,2,0,19679.87,JOD
911089223-0,zaqra,1,1,0,0,43927.10,USD
323313307-3,amman,1,0,1,0,29432.36,USD
125645153-3,Capital City,0,0,1,1,17148.20,USD
379046527-5,,1,1,2,2,38799.25,JOD
858107342-5,Zarqa,0,2,2,1,21633.00,JOD
372059586-2,A'zarqa,0,1,0,0,22193.82,USD
476219947-8,Zarqa,1,1,2,0,23125.33,USD
701748945-4,Capital City,0,1,2,1,30577.25,JOD
169516611-6,Capital City,2,2,0,1,18050.49,USD
536784129-5,zaqra,2,2,0,1,35151.02,JOD
163490057-X,Zarqa,0,1,0,1,35187.00,JOD
086100881-2,zaqra,0,0,0,1,18641.61,USD
469783796-7,Zarqa,2,2,0,1,21588.62,USD
546969504-2,Zarqa,1,1,2,2,39976.35,USD
014735707-1,A'zarqa,1,0,2,1,44707.36,USD
328757360-8,Zarqa,1,1,2,0,15008.35,USD
926436132-4,Capital City,0,2,1,1,22666.45,USD
481247550-3,,0,0,1,0,19755.85,JOD
272258737-8,Capital City,2,2,1,2,45238.17,JOD
757712629-2,,1,2,2,2,16298.74,JOD
332878594-9,A'zarqa,2,0,0,2,16939.52,JOD
243211025-0,A'zarqa,1,2,1,1,49051.91,JOD
509876722-9,Capital City,0,1,2,1,39173.29,USD
143461191-4,zaqra,2,0,0,2,26667.77,USD
588839084-4,Zarqa,1,0,1,1,36934.00,USD
537911426-1,Amman,2,0,0,0,19616.68,USD
759374587-2,amman,2,2,0,2,26447.78,USD
699020042-1,zaqra,1,1,0,1,15528.39,USD
523374268-3,Zarqa,1,1,0,0,27145.09,USD
892793954-9,Amman,1,1,2,2,16190.63,JOD
018608489-7,Zarqa,1,0,0,2,34930.82,USD
924198031-1,Amman,0,1,2,1,45642.07,USD
856739629-8,Capital City,1,2,1,1,14879.19,JOD
084500747-5,Amman,0,2,1,1,19632.16,USD
284053639-0,zaqra,2,0,2,0,36426.91,USD
483760383-1,Capital City,0,1,2,2,30216.42,JOD
970402964-0,A'zarqa,0,1,0,0,19946.10,JOD
866913435-7,zaqra,2,2,1,2,22413.71,USD
738677722-1,Amman,0,1,0,0,44046.24,USD
056517911-X,Capital City,2,2,2,1,14169.06,USD
689554633-2,amman,0,2,0,0,21859.58,USD
252480334-1,A'zarqa,1,1,1,1,39444.94,USD
007596436-8,Capital City,1,2,1,1,20399.59,USD
997757088-4,Zarqa,2,0,1,2,42599.24,JOD
008799455-0,A'zarqa,1,1,2,2,15790.90,USD
858700491-3,,0,0,0,0,18216.00,JOD
683896981-5,Zarqa,2,2,1,1,18100.84,JOD
991905571-9,Zarqa,1,2,2,2,42546.16,USD
189596330-3,zaqra,1,2,1,1,20856.75,USD
883811461-7,Zarqa,1,1,2,2,48153.33,JOD
082318647-4,amman,2,2,2,2,15722.46,JOD
780220000-8,A'zarqa,1,0,2,0,15438.24,JOD
779355096-X,Zarqa,0,2,1,1,43536.23,USD
280921315-1,amman,2,0,0,2,13727.78,USD
095456227-5,A'zarqa,2,2,1,1,49264.21,USD
379060478-X,,2,0,1,2,31718.67,USD
998575008-X,A'zarqa,1,0,1,2,22588.28,USD
770008503-X,Capital City,1,1,0,1,14763.67,USD
572900970-4,A'zarqa,1,0,1,2,13394.94,USD
394371817-4,Amman,2,2,1,1,20181.63,JOD
357421498-7,A'zarqa,0,2,2,2,25579.93,JOD
380834076-2,zaqra,2,0,0,2,21647.97,USD
003209535-X,Zarqa,0,2,2,2,34869.57,JOD
004508391-6,,0,0,1,1,23441.16,JOD
743270736-7,Capital City,1,1,1,2,34890.84,JOD
986970023-3,Amman,2,1,0,2,19679.10,USD
706123832-1,,0,2,2,0,17229.88,USD
576314969-6,amman,1,2,0,0,24467.90,USD
478600603-3,Zarqa,0,2,1,1,40182.59,USD
488940418-X,Zarqa,2,1,2,0,40938.00,USD
237384605-5,A'zarqa,2,0,1,0,13389.74,USD
189201218-9,Capital City,1,1,0,1,41262.15,JOD
813181069-0,zaqra,0,1,2,0,36263.25,JOD
560168235-6,Zarqa,1,1,1,1,35431.32,JOD
468107251-6,Zarqa,1,1,2,1,49737.31,JOD
334497539-0,Amman,1,2,1,2,28001.65,USD
198019798-9,Amman,1,2,0,0,32776.64,JOD
176496245-1,A'zarqa,0,0,0,1,26296.63,USD
971559915-X,Zarqa,1,1,0,0,37647.02,JOD
367450280-1,amman,1,0,2,0,20508.59,JOD
597620123-7,Capital City,1,1,0,1,31044.17,USD
513820676-1,,0,0,0,1,13110.56,USD
608116626-0,zaqra,2,0,0,2,34821.68,USD
752403676-0,Capital City,0,0,1,2,13256.88,USD
429862962-7,zaqra,0,2,2,1,17513.72,USD
088483429-8,amman,1,0,0,0,43121.69,USD
461750625-X,Amman,2,0,0,0,33413.77,USD
764103163-3,Amman,1,1,2,2,16920.76,JOD
086549710-9,A'zarqa,2,2,1,2,12156.29,JOD
555637062-1,Capital City,2,1,0,2,48685.52,JOD
484609988-1,zaqra,0,0,1,2,26596.21,USD
608139933-8,A'zarqa,2,0,2,0,52566.46,JOD
791080752-X,A'zarqa,0,1,1,1,45889.48,JOD
625388992-3,amman,2,0,2,0,27977.02,JOD
016402285-6,A'zarqa,0,2,0,1,48445.20,JOD
495733588-5,amman,1,1,1,0,49755.04,USD
863003334-7,Capital City,1,1,1,2,45556.88,JOD
409593412-3,A'zarqa,1,2,0,1,47857.99,JOD
409958016-4,Amman,1,0,0,1,17209.83,JOD
802511121-0,amman,0,1,0,2,44576.39,JOD
292117009-4,Capital City,2,2,2,2,46947.51,USD
633725957-2,Capital City,2,1,0,2,41006.71,JOD
923040533-7,Amman,2,1,1,0,31911.58,USD
411031018-0,amman,1,1,0,0,24685.77,JOD
424621803-0,Capital City,2,1,0,2,48027.22,JOD
145395145-8,zaqra,2,2,0,2,52169.31,USD
470079969-2,Zarqa,2,2,2,1,20571.87,USD
548628846-8,Capital City,2,1,0,0,19745.41,JOD
482666697-7,Amman,0,1,2,1,44171.71,JOD
440647401-3,A'zarqa,0,2,1,1,25551.42,USD
777034569-3,zaqra,2,0,1,0,32137.45,JOD
677495542-8,zaqra,1,2,2,1,29677.32,JOD
611198281-8,A'zarqa,1,1,1,2,32904.82,JOD
949861948-4,Capital City,0,0,1,0,41914.59,JOD
755197245-5,Amman,2,1,1,1,18047.50,JOD
983319269-6,Amman,0,2,1,2,39524.02,USD
283008228-1,A'zarqa,1,0,2,1,14250.77,JOD
184622221-4,zaqra,2,2,0,1,46974.28,JOD
608519596-6,A'zarqa,2,1,1,2,35176.27,JOD
464367129-7,Amman,1,2,1,0,21183.92,USD
787333960-2,amman,2,0,0,2,28175.08,JOD
984304681-1,Amman,0,2,2,0,39473.31,JOD
039436175-X,Capital City,2,0,2,2,48387.79,USD
608997706-3,amman,2,1,1,1,15668.46,USD
149014926-0,zaqra,2,0,0,1,47968.46,USD
223345121-X,amman,0,2,1,0,13402.74,JOD
091397204-5,Amman,1,0,2,2,13391.69,JOD
685276120-7,Capital City,2,0,1,2,21441.65,JOD
497630948-7,Zarqa,1,2,2,1,16287.55,JOD
455991962-3,A'zarqa,1,2,0,2,12828.38,JOD
119610150-7,Amman,0,1,1,1,35701.35,JOD
765795941-X,amman,1,1,0,2,22710.50,USD
780837711-2,amman,0,2,0,2,39848.38,USD
254254799-8,zaqra,0,0,1,0,30923.96,USD
918515528-4,Capital City,2,1,2,0,31717.33,USD
532048624-3,Capital City,1,1,1,0,24210.31,JOD
027177688-9,Amman,2,0,2,0,24323.37,JOD
462422536-8,,2,0,1,1,21578.52,JOD
542158854-8,Capital City,2,2,0,2,48005.20,USD
727507269-6,A'zarqa,0,0,2,0,34115.87,JOD
955428775-5,A'zarqa,2,0,0,2,22196.52,JOD
288403138-3,zaqra,1,2,1,0,30135.77,JOD
308567118-8,amman,1,0,2,2,42111.46,JOD
722819608-2,Amman,2,0,2,0,44406.50,USD
960993114-6,A'zarqa,2,2,1,2,14790.03,USD
059980269-3,A'zarqa,2,0,0,2,52267.47,JOD
493255373-0,Amman,1,1,2,2,18854.16,USD
509631350-6,Capital City,1,2,2,1,30903.53,JOD
618097676-7,amman,2,0,2,0,29881.34,USD
751866191-8,A'zarqa,2,2,2,2,27048.02,USD
691828880-6,Zarqa,1,1,2,1,16278.62,JOD
241447675-3,Zarqa,2,2,2,1,46024.49,JOD
759145663-6,Zarqa,1,0,0,1,14083.04,USD
475265769-4,A'zarqa,2,1,0,0,34276.56,JOD
384871785-9,amman,1,2,1,0,15487.46,USD
594821109-6,Zarqa,0,2,0,2,32348.45,JOD
635793028-8,A'zarqa,2,0,2,2,41799.12,JOD
614637922-0,amman,2,2,2,1,34786.47,USD
772892557-1,amman,1,0,0,2,31641.07,JOD
143272035-X,Capital City,0,2,2,2,47658.80,JOD
844606517-7,Zarqa,2,1,2,1,42295.74,USD
483507981-7,A'zarqa,2,0,1,1,16791.08,JOD
919987747-3,Capital City,1,0,0,0,39394.64,JOD
198177801-2,A'zarqa,0,2,2,2,28775.44,JOD
899046618-0,Amman,0,0,2,0,28161.12,USD
356379580-0,zaqra,2,2,2,0,28780.88,USD
762673690-7,amman,1,1,0,2,24371.27,USD
808803968-1,Amman,1,2,1,2,41542.69,USD
029843493-8,zaqra,1,2,2,1,35729.72,USD
109858797-9,A'zarqa,1,2,0,1,34113.48,JOD
799630422-X,Capital City,2,2,0,0,42617.74,JOD
248479498-3,Amman,0,1,2,1,24189.53,JOD
052115962-8,,0,0,0,1,12645.79,JOD
888885420-7,Amman,0,2,0,1,18053.91,USD
347896166-1,zaqra,1,1,2,0,20836.39,USD
283404446-5,Zarqa,1,0,2,0,16203.31,JOD
587213609-9,Zarqa,2,1,2,1,33483.27,USD
466927218-7,amman,1,0,0,2,47593.77,JOD
191214231-7,Zarqa,1,1,1,0,51819.02,JOD
279712136-8,amman,0,0,0,2,16293.83,JOD
732207361-4,Capital City,1,0,0,2,17893.84,JOD
314820079-9,Capital City,2,1,0,0,31780.07,USD
777294066-1,Capital City,2,2,2,1,38425.24,USD
308150129-6,zaqra,2,2,2,2,44366.88,JOD
775816050-6,Zarqa,2,1,1,0,37826.44,JOD
637667977-3,Capital City,2,1,1,2,15761.81,USD
753499999-5,Capital City,1,1,0,0,50348.59,USD
714343143-5,zaqra,1,1,0,2,37852.57,JOD
101323551-7,zaqra,2,0,0,2,12295.85,JOD
235845362-5,Zarqa,1,2,2,1,30393.76,USD
400268784-8,amman,2,2,1,1,44748.93,JOD
525918282-0,A'zarqa,2,2,0,0,28289.18,USD
145096331-5,amman,0,0,0,2,35944.03,JOD
308719543-X,,0,2,0,2,45736.22,JOD
835817496-9,amman,2,1,2,2,19025.64,USD
430733938-X,Capital City,0,1,0,0,35197.96,JOD
874374927-5,Amman,2,0,0,2,32931.76,USD
552557973-1,Zarqa,1,2,2,0,24765.29,USD
055426270-3,A'zarqa,1,0,0,1,17994.51,USD
005651752-1,Zarqa,0,0,2,0,15484.31,JOD
145397167-X,Zarqa,0,0,2,2,42399.72,JOD
835216899-1,Capital City,0,2,0,1,45422.53,JOD
050580489-1,A'zarqa,0,1,0,2,41429.73,USD
367193798-X,Amman,0,1,0,2,34990.07,USD
711284772-9,Capital City,1,2,1,2,13964.60,JOD
069906594-1,amman,0,0,1,0,49064.96,USD
194104385-2,Zarqa,2,1,2,2,42642.65,JOD
563450641-7,A'zarqa,2,0,0,1,32917.09,JOD
367237946-8,Capital City,1,2,2,2,30764.53,JOD
570811084-8,Amman,1,1,1,1,30843.32,JOD
057866704-5,Amman,1,2,2,1,30245.92,JOD
150489786-2,Amman,0,1,2,2,14310.75,USD
397148568-5,amman,0,0,2,1,19083.16,USD
400135693-7,Zarqa,0,0,0,0,43199.25,USD
471163999-3,Capital City,0,2,0,1,38685.65,USD
866843495-0,amman,0,0,0,1,51968.17,JOD
838855150-7,Amman,0,2,2,2,19112.20,JOD
548064408-4,Zarqa,1,1,0,1,32873.81,USD
303898309-8,zaqra,0,1,1,1,48672.64,JOD
785875257-X,Amman,1,2,1,2,44596.39,USD
345694358-X,zaqra,2,2,1,2,46460.18,USD
484059408-2,A'zarqa,0,1,2,1,15176.07,JOD
708922608-5,Amman,1,0,0,0,14890.63,USD
459700325-8,zaqra,0,0,1,1,29237.93,USD
403946797-3,amman,1,1,1,1,21541.65,JOD
190275644-4,zaqra,1,0,2,0,43402.25,JOD
455932254-6,amman,0,1,0,1,13179.16,USD
693911864-0,zaqra,2,0,1,1,48344.11,USD
616570155-8,amman,0,2,1,2,16880.54,USD
940375725-6,Zarqa,0,1,0,2,19072.09,JOD
669882813-0,zaqra,1,0,1,1,12728.87,JOD
897016949-0,Amman,0,0,0,1,42369.19,USD
637727416-5,Capital City,2,0,2,1,27617.57,USD
700480460-7,zaqra,2,1,1,2,44020.32,USD
180711390-6,Capital City,1,0,0,2,27276.47,USD
858339888-7,A'zarqa,0,0,1,1,38665.17,USD
271427129-4,Amman,0,1,0,0,15649.35,USD
342456504-0,Amman,1,0,1,1,24060.80,JOD
600365793-6,Amman,1,2,0,0,36364.80,USD
748357020-2,Zarqa,2,2,1,1,43530.81,USD
970275458-5,Amman,0,0,1,2,33950.20,USD
238354784-0,amman,1,2,0,1,29105.26,USD
998466902-5,amman,2,2,2,1,19511.20,JOD
875659855-6,A'zarqa,1,1,1,2,31873.41,USD
163351578-8,Amman,2,0,2,0,39627.35,JOD
445830846-7,zaqra,2,2,1,0,52090.85,JOD
723920839-7,amman,2,2,1,2,18483.12,USD
139433819-8,Amman,2,1,2,0,15295.87,JOD
861629525-9,zaqra,2,2,1,2,46604.59,USD
903412747-8,zaqra,2,2,1,2,51887.02,USD
423910506-4,Capital City,2,2,2,1,22947.17,USD
839909927-9,Capital City,2,1,2,0,17934.95,USD
602135233-5,zaqra,0,1,2,2,50782.73,JOD
208979975-7,zaqra,2,1,0,1,52178.30,USD
726765345-6,Capital City,1,0,0,2,34823.52,USD
942543932-X,A'zarqa,0,2,0,0,39199.33,USD
542556208-X,zaqra,0,0,1,1,29445.15,JOD
450405398-5,amman,0,1,0,2,45513.81,USD
179808035-4,A'zarqa,1,2,2,0,42589.94,USD
318171623-5,amman,2,0,1,2,17192.10,JOD
156214129-5,A'zarqa,2,0,2,1,40616.74,JOD
718467103-1,zaqra,1,0,2,0,27297.39,JOD
501539697-X,Capital City,2,2,0,0,14143.52,USD
809452130-9,zaqra,2,0,2,0,44971.98,JOD
007730355-5,Amman,0,1,0,0,28935.32,JOD
050697607-6,Capital City,0,2,2,1,43208.62,JOD
170173082-0,amman,0,2,2,0,25358.07,JOD
109033975-5,amman,0,2,2,1,24946.58,JOD
869117619-9,Zarqa,1,2,2,0,12904.91,USD
262961853-6,zaqra,0,2,0,2,46959.83,USD
513177773-9,zaqra,1,2,1,1,22082.01,USD
340936577-X,amman,2,2,2,0,29676.80,JOD
649299218-0,A'zarqa,2,2,1,2,28835.33,JOD
038773568-2,Amman,0,0,1,1,37302.45,JOD
393492942-7,Zarqa,1,0,2,2,46053.47,USD
082582899-6,Capital City,0,0,1,0,12879.68,USD
790513299-4,A'zarqa,1,2,1,0,35897.00,JOD
501279723-X,Capital City,2,2,1,0,29400.43,USD
187786654-7,A'zarqa,1,1,1,0,35220.03,USD
942096344-6,zaqra,1,0,0,0,19442.04,JOD
665352618-6,Amman,2,1,1,2,39768.37,USD
070929236-8,Zarqa,1,1,0,0,29151.17,USD
245823566-2,Zarqa,2,2,2,0,48616.28,USD
527249541-1,Amman,2,1,0,0,29243.45,USD
998154035-8,Amman,1,1,0,2,15210.13,USD
490847891-0,amman,2,2,2,1,38500.70,JOD
093938931-2,Zarqa,2,0,2,0,22032.44,JOD
864802799-3,Amman,1,0,0,0,23799.53,USD
732569499-7,Amman,1,0,0,1,21083.53,JOD
917402022-6,zaqra,2,1,0,1,22948.63,USD
628637629-1,Amman,0,0,1,2,48095.64,USD
472274088-7,Amman,0,2,2,2,38439.57,JOD
228568659-5,zaqra,2,1,1,0,21955.90,USD
369967067-8,amman,2,2,0,2,41279.83,JOD
835140547-7,,1,1,2,2,39450.37,JOD
507258134-9,amman,2,2,0,0,27799.41,USD
682170038-9,Zarqa,0,0,0,2,50598.59,JOD
661995482-0,zaqra,0,1,1,0,17669.47,JOD
306823582-0,Zarqa,0,2,1,0,27874.18,JOD
392159893-1,A'zarqa,1,2,2,1,46877.28,USD
928268225-0,A'zarqa,0,1,1,1,27923.08,USD
305099248-4,Capital City,1,2,2,0,12737.65,JOD
287090221-2,zaqra,2,2,0,0,19754.16,JOD
123518522-2,Zarqa,2,1,0,0,46721.76,JOD
270884233-1,A'zarqa,1,2,2,1,52446.22,USD
976820931-3,Zarqa,0,0,0,1,41673.34,USD
399504396-8,zaqra,1,2,0,1,21286.42,JOD
807917965-4,Zarqa,2,1,2,1,14804.13,USD
832088256-7,amman,1,1,0,2,37833.21,USD
496999518-4,amman,2,1,1,2,43205.88,JOD
210014043-4,zaqra,1,1,0,1,31669.52,USD
270794061-5,Amman,0,0,1,2,31992.83,USD
013213770-4,Zarqa,1,0,1,2,18160.83,JOD
450734403-4,A'zarqa,0,0,0,2,23335.74,JOD
850460914-6,Capital City,2,1,2,1,29842.33,JOD
600921647-8,amman,2,2,2,1,49786.81,JOD
401829020-9,Amman,0,2,0,2,26125.34,JOD
957256321-1,Zarqa,1,2,0,0,52946.85,USD
220588816-1,Capital City,2,0,1,0,28472.10,USD
107069047-3,Amman,2,2,0,2,36600.33,JOD
760521609-2,zaqra,0,1,2,0,28395.59,JOD
364497768-2,Capital City,0,1,1,2,13038.70,USD
722961425-2,A'zarqa,2,1,0,1,52884.20,JOD
363817981-8,Amman,0,2,0,2,36051.19,JOD
797822962-9,amman,2,0,0,2,30248.39,USD
578181304-7,Amman,0,1,1,1,21303.51,USD
434504101-5,amman,1,1,2,2,23526.67,JOD
008559934-4,Amman,2,2,1,0,45833.25,JOD
478270457-7,Capital City,0,1,1,2,28662.16,JOD
114079930-4,Capital City,0,2,2,2,37899.49,JOD
732099354-6,zaqra,2,1,2,0,34351.45,USD
467906786-1,A'zarqa,2,0,1,0,42170.75,USD
303729807-3,Amman,1,1,1,0,50069.50,JOD
833966970-2,Capital City,0,2,1,0,29778.27,JOD
590625397-1,Capital City,1,0,0,0,22567.11,JOD
343282150-6,zaqra,0,1,0,2,50444.03,USD
237641555-1,Amman,2,0,0,1,33744.44,USD
314753041-8,A'zarqa,1,1,2,2,34492.81,JOD
096867595-6,A'zarqa,2,2,2,0,31226.81,JOD
359987233-3,amman,1,1,0,1,51864.78,JOD
000810197-3,Zarqa,1,1,0,2,18124.19,USD
475844569-9,Zarqa,0,2,2,2,19633.08,JOD
616114204-X,,2,1,2,0,44824.82,JOD
092990477-X,Capital City,0,1,1,1,25432.56,JOD
911644647-X,zaqra,1,1,1,1,13292.65,USD
758004702-0,,0,0,1,1,32679.91,JOD
599438570-0,Amman,0,1,1,2,44063.06,JOD
341909611-9,Capital City,2,1,1,2,30473.87,JOD
371849065-X,A'zarqa,1,1,2,0,23756.14,JOD
146793631-6,A'zarqa,0,1,0,0,40082.92,USD
054040717-8,Zarqa,2,0,1,0,14439.11,USD
863081633-3,Zarqa,2,1,2,1,16954.86,USD
973596172-5,A'zarqa,1,2,2,2,41565.91,USD
354224339-6,A'zarqa,0,2,1,0,37451.84,JOD
716286839-8,Amman,1,0,1,0,22458.24,JOD
868041430-1,Amman,0,1,1,1,28680.06,JOD
857011255-6,A'zarqa,0,2,2,0,20957.26,USD
452191220-6,Amman,0,0,2,0,43891.98,USD
323306242-7,Zarqa,2,1,0,1,33251.47,USD
277372376-7,zaqra,1,2,0,1,45378.72,JOD
534374632-2,Capital City,2,0,1,1,23142.32,USD
459200259-8,zaqra,1,1,2,0,47568.21,JOD
979196987-6,zaqra,2,2,0,1,46975.61,JOD
302231633-X,Capital City,0,2,1,2,33122.38,JOD
935924050-8,,1,1,1,1,34065.39,USD
578646787-2,Zarqa,1,0,1,1,35759.84,USD
295112473-2,A'zarqa,0,1,2,0,42344.78,USD
504663480-5,A'zarqa,0,0,1,0,20099.90,USD
224057617-0,Zarqa,2,2,0,1,29380.18,JOD
568734336-9,amman,1,0,2,0,20114.38,JOD
489888377-X,Amman,2,1,0,1,16754.22,JOD
645124093-1,amman,1,2,0,0,44810.08,JOD
149313214-8,Amman,2,1,1,2,27923.79,JOD
332813556-1,zaqra,0,0,0,1,15707.36,USD
168184324-2,A'zarqa,2,1,0,2,51389.64,JOD
376969681-6,Amman,1,2,0,1,36102.99,JOD
924511574-7,Amman,1,0,0,1,46836.54,JOD
266373382-2,amman,1,2,2,2,41893.05,JOD
045205120-7,Amman,0,0,0,2,18407.38,USD
220510475-6,Amman,1,1,2,1,32993.37,JOD
178708703-4,Zarqa,1,2,1,2,52509.98,USD
408418313-X,Zarqa,1,2,2,0,26823.68,USD
284746053-5,amman,0,0,0,0,48109.73,USD
826004432-3,amman,1,2,1,0,28617.79,USD
570713144-2,A'zarqa,2,0,1,1,41014.56,JOD
376533943-1,zaqra,0,1,0,1,26292.50,USD
693982989-X,Capital City,0,2,2,0,47261.59,JOD
482938406-9,Capital City,1,1,0,2,33448.45,JOD
150964479-2,Amman,2,1,2,0,27301.99,USD
278638716-7,A'zarqa,0,1,2,1,26217.57,JOD
465916087-4,Capital City,1,2,2,0,36284.54,JOD
421994083-9,Amman,1,0,1,2,13574.25,USD
240030844-6,A'zarqa,1,2,0,2,35457.66,USD
737602111-6,Capital City,2,0,1,1,44900.38,JOD
763881241-7,A'zarqa,1,0,1,1,27714.06,USD
642489014-9,Capital City,0,1,0,1,39378.01,USD
038198087-1,amman,0,1,2,0,47948.33,JOD
702163269-X,Capital City,0,0,1,0,51749.69,USD
725857159-0,A'zarqa,0,2,1,0,27551.20,USD
046746533-9,Zarqa,1,0,2,1,22985.37,JOD
305394468-5,Zarqa,1,2,2,0,25899.73,JOD
792520146-0,Capital City,0,1,0,0,13622.13,JOD
788477814-9,Amman,2,2,1,2,15422.77,JOD
828799792-5,amman,2,2,0,0,51761.58,USD
371475343-5,Capital City,1,1,2,0,20940.15,USD
460362226-0,Capital City,0,1,1,2,29470.56,USD
379654874-1,A'zarqa,2,1,0,1,38725.25,JOD
975065491-9,A'zarqa,0,1,0,1,17387.58,USD
331123206-2,Zarqa,0,1,0,1,35726.65,USD
382326741-8,A'zarqa,1,0,0,0,23532.35,JOD
293745344-9,A'zarqa,1,2,1,2,45674.44,USD
474451978-4,zaqra,1,0,1,1,44321.14,JOD
004860576-X,Amman,0,2,0,2,23740.82,JOD
684307393-X,Capital City,2,2,1,0,42629.49,JOD
184942038-6,amman,1,1,0,2,21256.76,USD
889572114-4,zaqra,1,0,2,1,22379.21,USD
666742460-7,Amman,0,1,0,2,50793.22,JOD
005565133-X,Capital City,2,2,0,2,16726.14,USD
417184176-3,Amman,0,2,2,1,29844.55,JOD
155974538-X,,0,2,0,1,17402.55,USD
770672240-6,amman,1,0,0,2,28064.38,JOD
632827515-3,Amman,2,2,1,2,31316.31,JOD
182712915-8,Capital City,2,1,1,0,32351.51,USD
487392878-8,Capital City,0,2,2,0,37604.75,JOD
624755227-0,zaqra,1,1,1,2,19850.49,USD
437563664-5,zaqra,0,1,2,2,41066.72,USD
406092097-5,Zarqa,2,2,1,0,28446.32,JOD
604963327-4,zaqra,1,1,0,0,43738.69,JOD
830088012-7,amman,1,1,1,2,41727.72,JOD
057451486-4,Capital City,2,0,2,1,32112.71,JOD
656709423-0,A'zarqa,1,2,1,2,49504.24,JOD
272789489-9,Amman,0,0,1,0,20265.06,USD
779690208-5,amman,1,2,0,0,31706.39,USD
528740475-1,zaqra,2,0,0,2,34146.84,USD
871083464-8,Capital City,1,2,2,2,51905.75,JOD
452576621-2,Amman,2,0,0,2,41527.50,JOD
562299169-2,amman,0,2,0,0,29506.84,USD
398337331-3,amman,1,2,1,2,46999.01,JOD
055594306-2,Capital City,2,0,0,0,15268.83,USD
499600752-4,zaqra,2,1,0,0,37083.13,JOD
200437344-X,Amman,1,2,0,0,41041.21,USD
788695165-4,Capital City,1,1,0,0,23485.45,USD
982599067-8,Capital City,0,0,0,2,23237.99,USD
012713008-X,Capital City,0,2,0,1,13858.40,JOD
507270529-3,A'zarqa,2,1,2,2,34030.18,USD
736991793-2,amman,0,2,2,0,21399.80,JOD
403626721-3,amman,0,2,2,1,38372.78,JOD
504151371-6,A'zarqa,2,2,1,0,24720.52,USD
590974559-X,Capital City,1,0,0,1,14515.41,JOD
019460732-1,A'zarqa,0,0,2,1,45900.74,USD
